buyer_department,renewal_count,renewal_value
Department of National Defence,1086,8324256857.96
Public Services and Procurement Canada,997,7018916544.37
Veterans Affairs Canada,9,1737960817.29
Fisheries and Oceans Canada,202,1319721488.46
"Immigration, Refugees and Citizenship Canada",41,518658901.12
Royal Canadian Mounted Police,148,401433252.6
Canada Border Services Agency (CBSA),58,359355642.13
Correctional Service of Canada,69,331738287.01
"Innovation, Science and Economic Development Canada",109,266325239.12
Global Affairs Canada,52,263385112.88
Department of Employment and Social Development (ESDC),37,230468562.93
Canadian Coast Guard (CCG),124,175443921.12
Canadian Space Agency,57,159744450.42
Environment and Climate Change Canada,98,147014184.11
Employment and Social Development Canada,1,131620048.0
Parks Canada Agency (PC),55,128193539.24
Department of Indigenous Services (ISC),31,94174883.55
Department of Transport (TC),92,88802380.77
Public Health Agency of Canada,88,87967045.92
National Research Council Canada,21,78910477.42
Agriculture and Agri-Food Canada,68,77250426.7
Natural Resources Canada,143,74832395.72
Department of Health (HC),111,64693977.17
Canada Border Services Agency,8,45375323.31
Defence Research and Development Canada (DRDC),41,40741396.02
Treasury Board of Canada Secretariat,13,35805640.42
Canadian Nuclear Safety Commission (CNSC),11,35550751.97
Statistics Canada (StatCan),38,29542577.72
Canada Border Services Agency - (Administered Activities) (CBSA),10,23079397.88
Crown-Indigenous Relations and Northern Affairs Canada (CIRNAC),8,21211092.63
Canadian Food Inspection Agency (CFIA),39,16161932.17
Department of Public Safety and Emergency Preparedness (PS),9,11320454.3
Parks Canada,1,11202235.0
Department of Justice (JUS),12,10261695.45
Office of the Superintendent of Financial Institutions (OSFI),2,10046409.16
INDIGENOUS AND NORTHERN AFFAIRS CANADA,1,8543000.0
Canadian Intellectual Property Office (CIPO),2,7354112.02
Library and Archives of Canada (LAC),3,6220793.91
Canadian Pari-Mutuel Agency (CPMA),1,5423672.38
Receiver General,1,5117000.0
Privy Council Office (PCO),10,4837494.88
Canada Revenue Agency (CRA),11,4527534.15
Department of Finance (FIN),6,3888648.0
Canadian Commercial Corporation,1,3823343.0
Statistics Canada,3,3336701.82
Elections Canada (Elections),8,2701794.26
Department of Canadian Heritage (PCH),9,2587774.56
Royal Military College of Canada (RMCC),9,2383870.03
Labour Program,1,2373000.0
ADMINISTRATIVE TRIBUNALS SUPPORT SERVICE OF CANADA,1,2124480.0
Translation Bureau,14,2120514.53
Leaders' Debates Commission,1,2034000.0
Courts Administration Service,1,1882944.6
MARINE ATLANTIC INC.,1,1591789.0
Canadian Heritage,1,1488984.05
Health Canada,3,1136303.37
National Battlefields Commission (NBC),2,1035225.81
Canadian Special Operations Forces Command (CANSOFCOM),1,1027890.42
Supreme Court of Canada,1,936554.0
Canadian Grain Commission (CGC),7,907189.05
Measurement Canada (MC),4,857572.8
Polar Knowledge Canada (POLAR),2,763313.61
Polar Knowledge Canada,1,750000.0
Courts Administration Service (CAS),4,720370.42
Canadian Radio-Television and Telecommunications Commission (CRTC),7,713762.29
Canada Energy Regulator (CER),4,711806.47
Canadian Human Rights Commission (CHRC),3,696291.39
Office of Infrastructure of Canada,1,609351.0
Canadian High Arctic Research Station (CHARS),1,560000.0
Bank of Canada,1,556664.93
Department of Women and Gender Equality (WAGE),2,541806.0
Public Service Commission (PSC),2,341423.83
Office of the Auditor General (OAG),1,277664.63
Financial Transactions and Reports Analysis Centre of Canada (FINTRAC),1,259656.09
Canada School of Public Service (CSPS),1,232095.9
Social Sciences and Humanities Research Council (SSHRC),1,226000.0
Atlantic Canada Opportunities Agency (ACOA),1,220076.47
Canadian Transportation Agency (CTA),2,195904.71
Canadian Army (CA),1,194083.15
Office of the Parliamentary Budget Officer (PBO),1,192756.7
Office of the Director of Public Prosecutions (PPSC),3,167143.55
Natural Sciences and Engineering Research Council (NSERC),1,164781.88
Canadian Nuclear Safety Commission,2,156681.0
Canadian Police College (CPC),1,144868.5
The National Battlefields Commission (NBC),1,129174.41
Administrative Tribunals Support Service of Canada (ATSSC),1,112914.92
Service Canada (ServCan),1,100476.65
Canadian Institutes of Health Research (CIHR),1,99242.86
Royal Canadian Navy (RCN),1,97970.35
Canada Mortgage and Housing Corporation (CNHC),1,93198.74
Canada School of Public Service,1,75996.0
Office of Infrastructure of Canada (INFC),1,50287.72
Invest in Canada Hub,1,45200.0
Impact Assessment Agency of Canada (IAAC),1,43624.96
Canadian Nuclear Safety Commission / Canadian Nuclear Safety Commission,1,33765.0
Law Commission of Canada,1,21042.0
INDIGENOUS SERVICES CANADA,1,10989.25
Shared Services Canada (SSC),1,10228.49
