canonical_expression_id,canonical_expression,canonical_expression_key,canonicalization_method,normalized_expression_ids,expression_hash,source_count,total_frequency,source_ids,source_types,max_quality_score,max_confidence,created_at
CPX2-000002,Solicitation Amendment,solicitation amendment,exact_canonical_dictionary_match,NPE-000002;NPE-000016;NPE-000039,33642826d71c3ae4a337b12b4619382606d34f27bdf822f5b8609a3a0c238068,8,58,SA-000019;SA-000064;SA-000088;SA-000621;SP-000019;SP-000064;SP-000088;SP-000621,filtered_alias;filtered_pattern,17,0.74,2026-06-28 02:37:22
CPX2-000001,National Cemetery Operations,national cemetery operations,exact_canonical_dictionary_match,NPE-000001,b0969ad0bcda66480977f368f272b10bf3bdd95aa13b1ac0965d43a50c396d54,3,46,SA-000007;SP-000007;SPO-000001,filtered_alias;filtered_pattern;semantic_object_v1,20,0.86,2026-06-28 02:37:22
CPX2-000003,National Cemetery Administration,national cemetery administration,exact_canonical_dictionary_match,NPE-000003;NPE-000024,78cc788339ff4467b7e47091ee3bce80fca52cc56d6a163875968da28dae1431,6,44,SA-000047;SA-000048;SA-000411;SP-000047;SP-000048;SP-000411,filtered_alias;filtered_pattern,16,0.66,2026-06-28 02:37:22
CPX2-000010,Solicitation Number,solicitation number,exact_canonical_dictionary_match,NPE-000010;NPE-000012,112f62d6f50a0eb0a593245e3dfdfbe509d38cb958b4e4a7fd1a525272125c44,4,30,SA-000051;SA-000063;SP-000051;SP-000063,filtered_alias;filtered_pattern,11,0.57,2026-06-28 02:37:22
CPX2-000004,Firm Fixed Price,firm fixed price,exact_canonical_dictionary_match,NPE-000004;NPE-000031,e0ca52afd8ac4bc0fb9ad6f6180139a1794040ea1540d4ec135eb17f1ef9c72f,4,25,SP-000055;SP-000071;SP-000109;SPO-000020,filtered_pattern;semantic_object_v1,20,0.78,2026-06-28 02:37:22
CPX2-000006,Unit Price,unit price,exact_canonical_dictionary_match,NPE-000006;NPE-000042,ddf02bda9a62594826c2a4d163b06e75fccf26d520cdc692674dce31c90eb2e9,5,24,SA-000073;SA-000851;SP-000073;SP-000852;SPO-000026,filtered_alias;filtered_pattern;semantic_object_v1,20,0.78,2026-06-28 02:37:22
CPX2-000007,Contracting Officer,contracting officer,exact_canonical_dictionary_match,NPE-000007;NPE-000048,44d3e6326abcd76279e2fdec6630731028c78603918c4f7c9f8e083ec1000e06,5,22,SA-000092;SA-000610;SP-000092;SP-000610;SPO-000033,filtered_alias;filtered_pattern;semantic_object_v1,20,0.78,2026-06-28 02:37:22
CPX2-000009,Performance Work Statement,performance work statement,exact_canonical_dictionary_match,NPE-000009;NPE-000040,c32803b3daf84a845a72fb8086d45207279da4cfea306102be09df57bcf1327f,5,22,SA-000176;SA-000630;SP-000176;SP-000630;SPO-000057,filtered_alias;filtered_pattern;semantic_object_v1,20,0.86,2026-06-28 02:37:22
CPX2-000005,Solicitation Amendment or Modification,solicitation amendment or modification,exact_canonical_dictionary_match,NPE-000005,17e6a3988aea69ecb88f88f32d8f2cc3762c69075aaf8c2b11af617062e8aed9,3,18,SA-000090;SP-000083;SP-000090,filtered_alias;filtered_pattern,11,0.54,2026-06-28 02:37:22
CPX2-000008,Evaluation Factors,evaluation factors,exact_canonical_dictionary_match,NPE-000008,7b8a8f4dfd043fe33e55fdb5a8505954bf130a6fb84fff74f1bf3740b41ac2ff,3,16,SA-000081;SP-000081;SPO-000025,filtered_alias;filtered_pattern;semantic_object_v1,20,0.78,2026-06-28 02:37:22
CPX2-000011,Table of Contents,table of contents,exact_canonical_dictionary_match,NPE-000011,4e375225bec866870d6922150714d1ec8d089ec4165be6be86929d7ddc8cdf5f,3,16,SA-000127;SP-000127;SPO-000044,filtered_alias;filtered_pattern;semantic_object_v1,20,0.78,2026-06-28 02:37:22
CPX2-000012,Offerors Shall,offerors shall,title_case_short_expression,NPE-000013,0ec89f95ae9f25251f6516429a7c831e9c1d33bedfc4ad3f74c3c3b0b7b2beee,2,14,SA-000061;SP-000061,filtered_alias;filtered_pattern,10,0.54,2026-06-28 02:37:22
CPX2-000013,Past Performance,past performance,exact_canonical_dictionary_match,NPE-000014,79b7e8a17c92f2dcd498d06aea63e7a9790cad8e3ecffbc4fd072f4fd946a35e,2,14,SA-000062;SP-000062,filtered_alias;filtered_pattern,10,0.54,2026-06-28 02:37:22
CPX2-000025,Request for Information,request for information,exact_canonical_dictionary_match,NPE-000028;NPE-000043,fda24d8ee10cd29441ed4304d5ee5a554596ec9871d51b5b726cf6685eea495a,4,14,SA-000442;SA-000760;SP-000442;SP-000760,filtered_alias;filtered_pattern,16,0.56,2026-06-28 02:37:22
