candidate_value,frequency,proposed_labels,quality_score,recommendation
SECTION,2137,compliance_or_clause;buyer_process_or_document,80,promote_candidate
DFARS,405,compliance_or_clause,80,promote_candidate
SCHEDULE,133,contract_vehicle_or_method;deliverable_or_plan,80,promote_candidate
EXHIBIT,132,buyer_process_or_document,80,promote_candidate
EVALUATION,62,buyer_process_or_document,80,promote_candidate
ATTACHMENT,31,buyer_process_or_document,80,promote_candidate
AMENDMENT,22,buyer_process_or_document,80,promote_candidate
Section,5123,compliance_or_clause;buyer_process_or_document,70,promote_candidate
Attachment,549,buyer_process_or_document,70,promote_candidate
Template,96,deliverable_or_plan,70,promote_candidate
Offeror,93,buyer_process_or_document,70,promote_candidate
Proposal,92,buyer_process_or_document,70,promote_candidate
Volume,89,buyer_process_or_document,70,promote_candidate
Schedule,70,contract_vehicle_or_method;deliverable_or_plan,70,promote_candidate
Award,57,buyer_process_or_document,70,promote_candidate
Report,38,deliverable_or_plan,70,promote_candidate
Regulation,37,compliance_or_clause,70,promote_candidate
Exhibit,33,buyer_process_or_document,70,promote_candidate
SOLICITATION/CONTRACT,30,buyer_process_or_document,70,promote_candidate
Officer,26,staffing_or_role,70,promote_candidate
Amendment,23,buyer_process_or_document,70,promote_candidate
CERTIFICATION,22,certification_or_standard,70,promote_candidate
Website,20,technology_or_system,70,promote_candidate
AWARD,18,buyer_process_or_document,70,promote_candidate
HP135,136,unclassified,60,review
SF-1449,49,unclassified,60,review
Wage,38,compliance_or_clause,60,promote_candidate
Plan,32,deliverable_or_plan,60,promote_candidate
Checklist,15,deliverable_or_plan,60,promote_candidate
Database,12,technology_or_system,60,promote_candidate
Personnel,12,staffing_or_role,60,promote_candidate
Evaluation,11,buyer_process_or_document,60,promote_candidate
SOLICITATION/MODIFICATION,11,buyer_process_or_document,60,promote_candidate
AMENDMENT/MODIFICATION,11,buyer_process_or_document,60,promote_candidate
REGISTER,7,deliverable_or_plan,60,promote_candidate
CLAUSES,281,unclassified,50,review
CONTINUATION,183,unclassified,50,review
PROVISIONS,149,unclassified,50,review
BLOCKS,122,unclassified,50,review
REQUIREMENTS,116,unclassified,50,review
INSTRUCTIONS,105,unclassified,50,review
DWGLIST,96,unclassified,50,review
DOCUMENTS,95,unclassified,50,review
MECHANICAL,83,unclassified,50,review
SERVICES,79,unclassified,50,review
ATTACHMENTS,77,unclassified,50,review
GENERAL,76,unclassified,50,review
VIEWS,64,unclassified,50,review
SPECIAL,62,unclassified,50,review
FACTORS,62,unclassified,50,review
SUPPLIES,61,unclassified,50,review
OFFERORS,56,unclassified,50,review
TERMS,55,unclassified,50,review
CONDITIONS,55,unclassified,50,review
DETAILS,48,unclassified,50,review
PACKAGING,47,unclassified,50,review
MARKING,47,unclassified,50,review
INSPECTION,47,unclassified,50,review
DESCRIPTIONS,45,unclassified,50,review
INFORMATION,43,unclassified,50,review
SUMMARY,40,unclassified,50,review
APPLIES,37,unclassified,50,review
STATEMENT,36,unclassified,50,review
FURNISHED,36,unclassified,50,review
TABLE,36,unclassified,50,review
CONTENTS,36,unclassified,50,review
REFERENCE,35,unclassified,50,review
OTHER,33,unclassified,50,review
COVER,32,unclassified,50,review
PROJECT,31,unclassified,50,review
PRICES/COSTS,30,unclassified,50,review
EXHIBITS,30,unclassified,50,review
ITEMS,28,unclassified,50,review
PERFORMANCE,26,unclassified,50,review
SPECIFIC,25,unclassified,50,review
TASKS,25,unclassified,50,review
A001,24,unclassified,50,review
