entity_id,entity_type,entity_value,notice_id,opportunity_title,source_file,requirement_id,confidence
ENT-000001,proposal_component,Volume V,4238a30a23b544cf94743e18c87feccb,Selective Service System Website Modernization,4238a30a23b544cf94743e18c87feccb_1.bin,REQ-000001,0.75
ENT-000002,experience_requirement,Past Performance,4238a30a23b544cf94743e18c87feccb,Selective Service System Website Modernization,4238a30a23b544cf94743e18c87feccb_1.bin,REQ-000004,0.8
ENT-000003,proposal_component,Volume I,4238a30a23b544cf94743e18c87feccb,Selective Service System Website Modernization,4238a30a23b544cf94743e18c87feccb_1.bin,REQ-000004,0.8
ENT-000004,proposal_component,Volume II,4238a30a23b544cf94743e18c87feccb,Selective Service System Website Modernization,4238a30a23b544cf94743e18c87feccb_1.bin,REQ-000004,0.8
ENT-000005,proposal_component,Volume III,4238a30a23b544cf94743e18c87feccb,Selective Service System Website Modernization,4238a30a23b544cf94743e18c87feccb_1.bin,REQ-000004,0.8
ENT-000006,proposal_component,Volume IV,4238a30a23b544cf94743e18c87feccb,Selective Service System Website Modernization,4238a30a23b544cf94743e18c87feccb_1.bin,REQ-000004,0.8
ENT-000007,proposal_component,Administrative Proposal,4238a30a23b544cf94743e18c87feccb,Selective Service System Website Modernization,4238a30a23b544cf94743e18c87feccb_1.bin,REQ-000004,0.8
ENT-000008,proposal_component,Technical Proposal,4238a30a23b544cf94743e18c87feccb,Selective Service System Website Modernization,4238a30a23b544cf94743e18c87feccb_1.bin,REQ-000004,0.8
ENT-000009,proposal_component,Price Proposal,4238a30a23b544cf94743e18c87feccb,Selective Service System Website Modernization,4238a30a23b544cf94743e18c87feccb_1.bin,REQ-000004,0.8
ENT-000010,evaluation_method,Price,4238a30a23b544cf94743e18c87feccb,Selective Service System Website Modernization,4238a30a23b544cf94743e18c87feccb_1.bin,REQ-000004,0.8
ENT-000011,experience_requirement,recent and relevant,4238a30a23b544cf94743e18c87feccb,Selective Service System Website Modernization,4238a30a23b544cf94743e18c87feccb_1.bin,REQ-000017,0.75
ENT-000012,certification,fedramp,4238a30a23b544cf94743e18c87feccb,Selective Service System Website Modernization,4238a30a23b544cf94743e18c87feccb_1.bin,REQ-000022,0.65
ENT-000013,evaluation_method,risk,4238a30a23b544cf94743e18c87feccb,Selective Service System Website Modernization,4238a30a23b544cf94743e18c87feccb_2.bin,REQ-000023,0.7
ENT-000014,compliance_clause,Section 889,4238a30a23b544cf94743e18c87feccb,Selective Service System Website Modernization,4238a30a23b544cf94743e18c87feccb_2.bin,REQ-000023,0.7
ENT-000015,evaluation_method,best value,4238a30a23b544cf94743e18c87feccb,Selective Service System Website Modernization,4238a30a23b544cf94743e18c87feccb_2.bin,REQ-000028,0.85
ENT-000016,staffing_role,key personnel,4238a30a23b544cf94743e18c87feccb,Selective Service System Website Modernization,4238a30a23b544cf94743e18c87feccb_2.bin,REQ-000036,0.65
ENT-000017,evaluation_method,best value,dc7183e7aab342788a9dff786e444f8a,JSCG-P Cristobal Colon Base Life Support,dc7183e7aab342788a9dff786e444f8a_1.bin,REQ-000097,0.75
ENT-000018,evaluation_method,price,dc7183e7aab342788a9dff786e444f8a,JSCG-P Cristobal Colon Base Life Support,dc7183e7aab342788a9dff786e444f8a_1.bin,REQ-000099,0.75
ENT-000019,staffing_role,key personnel,dc7183e7aab342788a9dff786e444f8a,JSCG-P Cristobal Colon Base Life Support,dc7183e7aab342788a9dff786e444f8a_1.bin,REQ-000103,0.65
ENT-000020,experience_requirement,past performance,dc7183e7aab342788a9dff786e444f8a,JSCG-P Cristobal Colon Base Life Support,dc7183e7aab342788a9dff786e444f8a_2.bin,REQ-000107,0.7
ENT-000021,evaluation_method,LPTA,dc7183e7aab342788a9dff786e444f8a,JSCG-P Cristobal Colon Base Life Support,dc7183e7aab342788a9dff786e444f8a_5.bin,REQ-000143,0.8
ENT-000022,evaluation_method,Lowest Price Technically Acceptable,dc7183e7aab342788a9dff786e444f8a,JSCG-P Cristobal Colon Base Life Support,dc7183e7aab342788a9dff786e444f8a_5.bin,REQ-000143,0.8
ENT-000023,evaluation_method,Technical Capability,dc7183e7aab342788a9dff786e444f8a,JSCG-P Cristobal Colon Base Life Support,dc7183e7aab342788a9dff786e444f8a_5.bin,REQ-000143,0.8
ENT-000024,compliance_clause,FAR,dc7183e7aab342788a9dff786e444f8a,JSCG-P Cristobal Colon Base Life Support,dc7183e7aab342788a9dff786e444f8a_5.bin,REQ-000143,0.8
ENT-000025,experience_requirement,recent and relevant,dc7183e7aab342788a9dff786e444f8a,JSCG-P Cristobal Colon Base Life Support,dc7183e7aab342788a9dff786e444f8a_5.bin,REQ-000156,0.75
ENT-000026,evaluation_method,PRICE,b9d0ecdbad264ff4a301649e05fdf09f,Socket Head Cap Screws,b9d0ecdbad264ff4a301649e05fdf09f_2.bin,REQ-000173,0.8
ENT-000027,evaluation_method,lpta,b9d0ecdbad264ff4a301649e05fdf09f,Socket Head Cap Screws,b9d0ecdbad264ff4a301649e05fdf09f_2.bin,REQ-000177,0.75
ENT-000028,clearance,secret,b9d0ecdbad264ff4a301649e05fdf09f,Socket Head Cap Screws,b9d0ecdbad264ff4a301649e05fdf09f_2.bin,REQ-000183,0.65
ENT-000029,clearance,cui,b9d0ecdbad264ff4a301649e05fdf09f,Socket Head Cap Screws,b9d0ecdbad264ff4a301649e05fdf09f_2.bin,REQ-000183,0.65
ENT-000030,evaluation_method,Price,71ca1faee86e4a5e9cbbaf154af5bd47,7195--Solar Shades - B3 PACT,71ca1faee86e4a5e9cbbaf154af5bd47_1.bin,REQ-000192,0.7
ENT-000031,compliance_clause,FAR,71ca1faee86e4a5e9cbbaf154af5bd47,7195--Solar Shades - B3 PACT,71ca1faee86e4a5e9cbbaf154af5bd47_1.bin,REQ-000192,0.7
ENT-000032,evaluation_method,best value,71ca1faee86e4a5e9cbbaf154af5bd47,7195--Solar Shades - B3 PACT,71ca1faee86e4a5e9cbbaf154af5bd47_1.bin,REQ-000198,0.75
ENT-000033,clearance,top secret,71ca1faee86e4a5e9cbbaf154af5bd47,7195--Solar Shades - B3 PACT,71ca1faee86e4a5e9cbbaf154af5bd47_1.bin,REQ-000208,0.7
ENT-000034,clearance,secret,71ca1faee86e4a5e9cbbaf154af5bd47,7195--Solar Shades - B3 PACT,71ca1faee86e4a5e9cbbaf154af5bd47_1.bin,REQ-000208,0.7
