edge_index_id,edge_id,edge_key,relationship_type,source_node_id,target_node_id,lookup_status,created_at
KGEDX-000001,KGEDGE-000001,kgnode2_000003_has_pricing_structure_kgnode2_000013,has_pricing_structure,KGNODE2-000003,KGNODE2-000013,active,2026-06-29 05:21:45
KGEDX-000002,KGEDGE-000002,kgnode2_000003_has_pricing_structure_kgnode2_000029,has_pricing_structure,KGNODE2-000003,KGNODE2-000029,active,2026-06-29 05:21:45
KGEDX-000003,KGEDGE-000003,kgnode2_000006_uses_evaluation_factor_kgnode2_000014,uses_evaluation_factor,KGNODE2-000006,KGNODE2-000014,active,2026-06-29 05:21:45
KGEDX-000004,KGEDGE-000004,kgnode2_000019_requires_submission_instruction_kgnode2_000001,requires_submission_instruction,KGNODE2-000019,KGNODE2-000001,active,2026-06-29 05:21:45
KGEDX-000005,KGEDGE-000005,kgnode2_000005_requires_supplier_capability_kgnode2_000016,requires_supplier_capability,KGNODE2-000005,KGNODE2-000016,active,2026-06-29 05:21:45
KGEDX-000006,KGEDGE-000006,kgnode2_000005_requires_supplier_capability_kgnode2_000021,requires_supplier_capability,KGNODE2-000005,KGNODE2-000021,active,2026-06-29 05:21:45
KGEDX-000007,KGEDGE-000007,kgnode2_000025_requires_supplier_capability_kgnode2_000016,requires_supplier_capability,KGNODE2-000025,KGNODE2-000016,active,2026-06-29 05:21:45
KGEDX-000008,KGEDGE-000008,kgnode2_000025_requires_supplier_capability_kgnode2_000021,requires_supplier_capability,KGNODE2-000025,KGNODE2-000021,active,2026-06-29 05:21:45
KGEDX-000009,KGEDGE-000009,kgnode2_000022_affects_price_kgnode2_000013,affects_price,KGNODE2-000022,KGNODE2-000013,active,2026-06-29 05:21:45
KGEDX-000010,KGEDGE-000010,kgnode2_000022_affects_price_kgnode2_000029,affects_price,KGNODE2-000022,KGNODE2-000029,active,2026-06-29 05:21:45
KGEDX-000011,KGEDGE-000011,kgnode2_000004_issues_or_receives_kgnode2_000001,issues_or_receives,KGNODE2-000004,KGNODE2-000001,active,2026-06-29 05:21:45
KGEDX-000012,KGEDGE-000012,kgnode2_000012_shapes_source_selection_kgnode2_000006,shapes_source_selection,KGNODE2-000012,KGNODE2-000006,active,2026-06-29 05:21:45
KGEDX-000013,KGEDGE-000013,kgnode2_000017_shapes_source_selection_kgnode2_000006,shapes_source_selection,KGNODE2-000017,KGNODE2-000006,active,2026-06-29 05:21:45
KGEDX-000014,KGEDGE-000014,kgnode2_000020_shapes_source_selection_kgnode2_000006,shapes_source_selection,KGNODE2-000020,KGNODE2-000006,active,2026-06-29 05:21:45
KGEDX-000015,KGEDGE-000015,kgnode2_000023_shapes_source_selection_kgnode2_000006,shapes_source_selection,KGNODE2-000023,KGNODE2-000006,active,2026-06-29 05:21:45
KGEDX-000016,KGEDGE-000016,kgnode2_000024_shapes_source_selection_kgnode2_000006,shapes_source_selection,KGNODE2-000024,KGNODE2-000006,active,2026-06-29 05:21:45
KGEDX-000017,KGEDGE-000017,kgnode2_000028_shapes_source_selection_kgnode2_000006,shapes_source_selection,KGNODE2-000028,KGNODE2-000006,active,2026-06-29 05:21:45
KGEDX-000018,KGEDGE-000018,kgnode2_000002_specializes_requirement_kgnode2_000005,specializes_requirement,KGNODE2-000002,KGNODE2-000005,active,2026-06-29 05:21:45
KGEDX-000019,KGEDGE-000019,kgnode2_000002_specializes_requirement_kgnode2_000025,specializes_requirement,KGNODE2-000002,KGNODE2-000025,active,2026-06-29 05:21:45
KGEDX-000020,KGEDGE-000020,kgnode2_000012_defines_submission_context_kgnode2_000001,defines_submission_context,KGNODE2-000012,KGNODE2-000001,active,2026-06-29 05:21:45
KGEDX-000021,KGEDGE-000021,kgnode2_000017_defines_submission_context_kgnode2_000001,defines_submission_context,KGNODE2-000017,KGNODE2-000001,active,2026-06-29 05:21:45
KGEDX-000022,KGEDGE-000022,kgnode2_000020_defines_submission_context_kgnode2_000001,defines_submission_context,KGNODE2-000020,KGNODE2-000001,active,2026-06-29 05:21:45
KGEDX-000023,KGEDGE-000023,kgnode2_000023_defines_submission_context_kgnode2_000001,defines_submission_context,KGNODE2-000023,KGNODE2-000001,active,2026-06-29 05:21:45
KGEDX-000024,KGEDGE-000024,kgnode2_000024_defines_submission_context_kgnode2_000001,defines_submission_context,KGNODE2-000024,KGNODE2-000001,active,2026-06-29 05:21:45
KGEDX-000025,KGEDGE-000025,kgnode2_000028_defines_submission_context_kgnode2_000001,defines_submission_context,KGNODE2-000028,KGNODE2-000001,active,2026-06-29 05:21:45
KGEDX-000026,KGEDGE-000026,kgnode2_000022_affects_pricing_kgnode2_000013,affects_pricing,KGNODE2-000022,KGNODE2-000013,active,2026-06-29 05:21:45
