requirement_object_id,object_type,object_text,mandatory_flag,source_requirement_id,notice_id,opportunity_title,source_file,source_category,source_confidence,object_confidence
ROBJ-000001,evaluation_factor,evaluation factors. Please confirm whether Volume V is e | Section 2 | Section L | Section 2.4. Please clarify the level and format of det,unknown,REQ-000001,4238a30a23b544cf94743e18c87feccb,Selective Service System Website Modernization,4238a30a23b544cf94743e18c87feccb_1.bin,certification,0.75,0.75
ROBJ-000002,proposal_volume,Volume I – Administrative Proposal • Volume II – Technical Proposal • Volume III – Past Per,unknown,REQ-000004,4238a30a23b544cf94743e18c87feccb,Selective Service System Website Modernization,4238a30a23b544cf94743e18c87feccb_1.bin,certification,0.8,0.75
ROBJ-000003,proposal_volume,Volume II – Technical Proposal • Volume III – Past Performance • Volume IV – Price Proposal,unknown,REQ-000004,4238a30a23b544cf94743e18c87feccb,Selective Service System Website Modernization,4238a30a23b544cf94743e18c87feccb_1.bin,certification,0.8,0.75
ROBJ-000004,proposal_volume,Volume III – Past Performance • Volume IV – Price Proposal • Volume V – Contract Documentatio,unknown,REQ-000004,4238a30a23b544cf94743e18c87feccb,Selective Service System Website Modernization,4238a30a23b544cf94743e18c87feccb_1.bin,certification,0.8,0.75
ROBJ-000005,proposal_volume,Volume IV – Price Proposal • Volume V – Contract Documentation Offerors should prepare and s,yes,REQ-000004,4238a30a23b544cf94743e18c87feccb,Selective Service System Website Modernization,4238a30a23b544cf94743e18c87feccb_1.bin,certification,0.8,0.9
ROBJ-000006,proposal_volume,Volume V – Contract Documentation Offerors should prepare and submit all five volumes in ac,yes,REQ-000004,4238a30a23b544cf94743e18c87feccb,Selective Service System Website Modernization,4238a30a23b544cf94743e18c87feccb_1.bin,certification,0.8,0.9
ROBJ-000007,evaluation_factor,Past Performance,unknown,REQ-000004,4238a30a23b544cf94743e18c87feccb,Selective Service System Website Modernization,4238a30a23b544cf94743e18c87feccb_1.bin,certification,0.8,0.55
ROBJ-000008,evaluation_factor,Price,unknown,REQ-000004,4238a30a23b544cf94743e18c87feccb,Selective Service System Website Modernization,4238a30a23b544cf94743e18c87feccb_1.bin,certification,0.8,0.55
ROBJ-000009,experience_requirement,Past Performance • Volume IV – Price Proposal • Volume V – Contract Documentation Offerors should prepare and submit all five volumes in,yes,REQ-000004,4238a30a23b544cf94743e18c87feccb,Selective Service System Website Modernization,4238a30a23b544cf94743e18c87feccb_1.bin,certification,0.8,0.8
ROBJ-000010,evaluation_factor,"Evaluation Factors -Table 1 identifies Volume V as “Factor 5 – Contract Documentation,” but Section 52.212-2 lists only four evaluation fa",unknown,REQ-000008,4238a30a23b544cf94743e18c87feccb,Selective Service System Website Modernization,4238a30a23b544cf94743e18c87feccb_1.bin,evaluation,0.85,0.65
