alias_id,candidate_alias,suggested_family,frequency,confidence,review_status,created_at
SA-000001,the government,Unclassified,39,0.98,pending,2026-06-27 13:28:41
SA-000002,the contractor,Unclassified,31,0.98,pending,2026-06-27 13:28:41
SA-000003,shall be,Unclassified,28,0.98,pending,2026-06-27 13:28:41
SA-000004,the following,Unclassified,25,0.98,pending,2026-06-27 13:28:41
SA-000005,with the,Unclassified,18,0.98,pending,2026-06-27 13:28:41
SA-000006,request for,Unclassified,17,0.98,pending,2026-06-27 13:28:41
SA-000007,national cemetery,Unclassified,17,0.98,pending,2026-06-27 13:28:41
SA-000008,in accordance,Unclassified,16,0.98,pending,2026-06-27 13:28:41
SA-000009,accordance with,Unclassified,16,0.98,pending,2026-06-27 13:28:41
SA-000010,in accordance with,Unclassified,16,0.98,pending,2026-06-27 13:28:41
SA-000011,of solicitation,Administrative,16,0.98,pending,2026-06-27 13:28:41
SA-000012,department of,Unclassified,16,0.98,pending,2026-06-27 13:28:41
SA-000013,accounting clerk,Unclassified,15,0.95,pending,2026-06-27 13:28:41
SA-000014,customer service,Unclassified,15,0.95,pending,2026-06-27 13:28:41
SA-000015,service representative,Unclassified,15,0.95,pending,2026-06-27 13:28:41
SA-000016,customer service representative,Unclassified,15,0.95,pending,2026-06-27 13:28:41
SA-000017,the solicitation,Unclassified,14,0.92,pending,2026-06-27 13:28:41
SA-000018,amendment of,Administrative,13,0.89,pending,2026-06-27 13:28:41
SA-000019,amendment of solicitation,Administrative,13,0.89,pending,2026-06-27 13:28:41
SA-000020,set forth,Administrative,12,0.86,pending,2026-06-27 13:28:41
SA-000021,forth in,Administrative,12,0.86,pending,2026-06-27 13:28:41
SA-000022,set forth in,Administrative,12,0.86,pending,2026-06-27 13:28:41
SA-000023,or services,Unclassified,12,0.86,pending,2026-06-27 13:28:41
SA-000024,administered by,Unclassified,11,0.83,pending,2026-06-27 13:28:41
SA-000025,provide the,Unclassified,11,0.83,pending,2026-06-27 13:28:41
SA-000026,interior design,Unclassified,11,0.83,pending,2026-06-27 13:28:41
SA-000027,data entry,Unclassified,11,0.83,pending,2026-06-27 13:28:41
SA-000028,to submit,Unclassified,10,0.8,pending,2026-06-27 13:28:41
SA-000029,accordance with the,Unclassified,10,0.8,pending,2026-06-27 13:28:41
SA-000030,in accordance with the,Unclassified,10,0.8,pending,2026-06-27 13:28:41
SA-000031,of veterans,Unclassified,10,0.8,pending,2026-06-27 13:28:41
SA-000032,veterans affairs,Unclassified,10,0.8,pending,2026-06-27 13:28:41
SA-000033,department of veterans,Unclassified,10,0.8,pending,2026-06-27 13:28:41
SA-000034,of veterans affairs,Unclassified,10,0.8,pending,2026-06-27 13:28:41
SA-000035,department of veterans affairs,Unclassified,10,0.8,pending,2026-06-27 13:28:41
SA-000036,this notice,Unclassified,10,0.8,pending,2026-06-27 13:28:41
