discovery_id,candidate_pattern,frequency,status,created_at
SD-000001,modernization faq,1,review,2026-06-27 13:28:41
SD-000002,faq june,1,review,2026-06-27 13:28:41
SD-000003,2026 section,1,review,2026-06-27 13:28:41
SD-000004,1 solicitation,1,review,2026-06-27 13:28:41
SD-000005,solicitation administration,1,review,2026-06-27 13:28:41
SD-000006,administration proposal,1,review,2026-06-27 13:28:41
SD-000007,submission q1,1,review,2026-06-27 13:28:41
SD-000008,1 proposal,1,review,2026-06-27 13:28:41
SD-000009,volume clarification,1,review,2026-06-27 13:28:41
SD-000010,clarification section,1,review,2026-06-27 13:28:41
SD-000011,a states,1,review,2026-06-27 13:28:41
SD-000012,states four,1,review,2026-06-27 13:28:41
SD-000013,separately submitted,1,review,2026-06-27 13:28:41
SD-000014,volumes but,1,review,2026-06-27 13:28:41
SD-000015,but then,1,review,2026-06-27 13:28:41
SD-000016,then enumerates,1,review,2026-06-27 13:28:41
SD-000017,enumerates five,1,review,2026-06-27 13:28:41
SD-000018,volumes i,1,review,2026-06-27 13:28:41
SD-000019,website modernization faq,1,review,2026-06-27 13:28:41
SD-000020,modernization faq june,1,review,2026-06-27 13:28:41
SD-000021,faq june 18,1,review,2026-06-27 13:28:41
SD-000022,june 18 2026,1,review,2026-06-27 13:28:41
SD-000023,18 2026 section,1,review,2026-06-27 13:28:41
SD-000024,2026 section 1,1,review,2026-06-27 13:28:41
SD-000025,section 1 solicitation,1,review,2026-06-27 13:28:41
SD-000026,1 solicitation administration,1,review,2026-06-27 13:28:41
SD-000027,solicitation administration proposal,1,review,2026-06-27 13:28:41
SD-000028,administration proposal submission,1,review,2026-06-27 13:28:41
SD-000029,proposal submission q1,1,review,2026-06-27 13:28:41
SD-000030,submission q1 1,1,review,2026-06-27 13:28:41
SD-000031,q1 1 proposal,1,review,2026-06-27 13:28:41
SD-000032,1 proposal volume,1,review,2026-06-27 13:28:41
SD-000033,proposal volume clarification,1,review,2026-06-27 13:28:41
SD-000034,volume clarification section,1,review,2026-06-27 13:28:41
SD-000035,clarification section l,1,review,2026-06-27 13:28:41
SD-000036,section l 2,1,review,2026-06-27 13:28:41
SD-000037,2 a states,1,review,2026-06-27 13:28:41
SD-000038,a states four,1,review,2026-06-27 13:28:41
SD-000039,states four 4,1,review,2026-06-27 13:28:41
SD-000040,4 separately submitted,1,review,2026-06-27 13:28:41
SD-000041,separately submitted bound,1,review,2026-06-27 13:28:41
SD-000042,bound volumes but,1,review,2026-06-27 13:28:41
SD-000043,volumes but then,1,review,2026-06-27 13:28:41
SD-000044,but then enumerates,1,review,2026-06-27 13:28:41
SD-000045,then enumerates five,1,review,2026-06-27 13:28:41
SD-000046,enumerates five volumes,1,review,2026-06-27 13:28:41
SD-000047,five volumes i,1,review,2026-06-27 13:28:41
SD-000048,volumes i ii,1,review,2026-06-27 13:28:41
SD-000049,i ii iii,1,review,2026-06-27 13:28:41
SD-000050,ii iii iv,1,review,2026-06-27 13:28:41
SD-000051,iii iv v,1,review,2026-06-27 13:28:41
SD-000052,system website modernization faq,1,review,2026-06-27 13:28:41
SD-000053,website modernization faq june,1,review,2026-06-27 13:28:41
SD-000054,modernization faq june 18,1,review,2026-06-27 13:28:41
SD-000055,faq june 18 2026,1,review,2026-06-27 13:28:41
SD-000056,june 18 2026 section,1,review,2026-06-27 13:28:41
SD-000057,18 2026 section 1,1,review,2026-06-27 13:28:41
SD-000058,2026 section 1 solicitation,1,review,2026-06-27 13:28:41
SD-000059,section 1 solicitation administration,1,review,2026-06-27 13:28:41
SD-000060,1 solicitation administration proposal,1,review,2026-06-27 13:28:41
SD-000061,solicitation administration proposal submission,1,review,2026-06-27 13:28:41
SD-000062,administration proposal submission q1,1,review,2026-06-27 13:28:41
SD-000063,proposal submission q1 1,1,review,2026-06-27 13:28:41
SD-000064,submission q1 1 proposal,1,review,2026-06-27 13:28:41
SD-000065,q1 1 proposal volume,1,review,2026-06-27 13:28:41
SD-000066,1 proposal volume clarification,1,review,2026-06-27 13:28:41
SD-000067,proposal volume clarification section,1,review,2026-06-27 13:28:41
SD-000068,volume clarification section l,1,review,2026-06-27 13:28:41
SD-000069,clarification section l 2,1,review,2026-06-27 13:28:41
SD-000070,section l 2 a,1,review,2026-06-27 13:28:41
SD-000071,l 2 a states,1,review,2026-06-27 13:28:41
SD-000072,2 a states four,1,review,2026-06-27 13:28:41
SD-000073,a states four 4,1,review,2026-06-27 13:28:41
SD-000074,states four 4 separately,1,review,2026-06-27 13:28:41
SD-000075,four 4 separately submitted,1,review,2026-06-27 13:28:41
SD-000076,4 separately submitted bound,1,review,2026-06-27 13:28:41
SD-000077,separately submitted bound volumes,1,review,2026-06-27 13:28:41
SD-000078,submitted bound volumes but,1,review,2026-06-27 13:28:41
SD-000079,bound volumes but then,1,review,2026-06-27 13:28:41
SD-000080,volumes but then enumerates,1,review,2026-06-27 13:28:41
SD-000081,but then enumerates five,1,review,2026-06-27 13:28:41
SD-000082,then enumerates five volumes,1,review,2026-06-27 13:28:41
SD-000083,enumerates five volumes i,1,review,2026-06-27 13:28:41
SD-000084,five volumes i ii,1,review,2026-06-27 13:28:41
SD-000085,volumes i ii iii,1,review,2026-06-27 13:28:41
SD-000086,i ii iii iv,1,review,2026-06-27 13:28:41
SD-000087,ii iii iv v,1,review,2026-06-27 13:28:41
SD-000088,is expected,1,review,2026-06-27 13:28:41
SD-000089,submit four,1,review,2026-06-27 13:28:41
SD-000090,four bound,1,review,2026-06-27 13:28:41
SD-000091,volumes or,1,review,2026-06-27 13:28:41
SD-000092,five separate,1,review,2026-06-27 13:28:41
SD-000093,separate volumes,1,review,2026-06-27 13:28:41
SD-000094,whether the offeror,1,review,2026-06-27 13:28:41
SD-000095,the offeror is,1,review,2026-06-27 13:28:41
SD-000096,offeror is expected,1,review,2026-06-27 13:28:41
SD-000097,is expected to,1,review,2026-06-27 13:28:41
SD-000098,expected to submit,1,review,2026-06-27 13:28:41
SD-000099,to submit four,1,review,2026-06-27 13:28:41
SD-000100,submit four bound,1,review,2026-06-27 13:28:41
SD-000101,four bound volumes,1,review,2026-06-27 13:28:41
SD-000102,bound volumes or,1,review,2026-06-27 13:28:41
SD-000103,volumes or five,1,review,2026-06-27 13:28:41
SD-000104,or five separate,1,review,2026-06-27 13:28:41
SD-000105,five separate volumes,1,review,2026-06-27 13:28:41
SD-000106,confirm whether the offeror,1,review,2026-06-27 13:28:41
SD-000107,whether the offeror is,1,review,2026-06-27 13:28:41
SD-000108,the offeror is expected,1,review,2026-06-27 13:28:41
SD-000109,offeror is expected to,1,review,2026-06-27 13:28:41
SD-000110,is expected to submit,1,review,2026-06-27 13:28:41
SD-000111,expected to submit four,1,review,2026-06-27 13:28:41
SD-000112,to submit four bound,1,review,2026-06-27 13:28:41
SD-000113,submit four bound volumes,1,review,2026-06-27 13:28:41
SD-000114,four bound volumes or,1,review,2026-06-27 13:28:41
SD-000115,bound volumes or five,1,review,2026-06-27 13:28:41
SD-000116,volumes or five separate,1,review,2026-06-27 13:28:41
SD-000117,or five separate volumes,1,review,2026-06-27 13:28:41
SD-000118,the reference,1,review,2026-06-27 13:28:41
SD-000119,separately electronically,1,review,2026-06-27 13:28:41
SD-000120,electronically submitted,1,review,2026-06-27 13:28:41
SD-000121,volumes is,1,review,2026-06-27 13:28:41
SD-000122,a typographical,1,review,2026-06-27 13:28:41
SD-000123,typographical error,1,review,2026-06-27 13:28:41
SD-000124,the reference to,1,review,2026-06-27 13:28:41
SD-000125,reference to four,1,review,2026-06-27 13:28:41
SD-000126,to four 4,1,review,2026-06-27 13:28:41
SD-000127,4 separately electronically,1,review,2026-06-27 13:28:41
SD-000128,separately electronically submitted,1,review,2026-06-27 13:28:41
SD-000129,electronically submitted bound,1,review,2026-06-27 13:28:41
SD-000130,bound volumes is,1,review,2026-06-27 13:28:41
SD-000131,volumes is a,1,review,2026-06-27 13:28:41
SD-000132,is a typographical,1,review,2026-06-27 13:28:41
SD-000133,a typographical error,1,review,2026-06-27 13:28:41
SD-000134,the reference to four,1,review,2026-06-27 13:28:41
SD-000135,reference to four 4,1,review,2026-06-27 13:28:41
SD-000136,to four 4 separately,1,review,2026-06-27 13:28:41
SD-000137,four 4 separately electronically,1,review,2026-06-27 13:28:41
SD-000138,4 separately electronically submitted,1,review,2026-06-27 13:28:41
SD-000139,separately electronically submitted bound,1,review,2026-06-27 13:28:41
SD-000140,electronically submitted bound volumes,1,review,2026-06-27 13:28:41
SD-000141,submitted bound volumes is,1,review,2026-06-27 13:28:41
SD-000142,bound volumes is a,1,review,2026-06-27 13:28:41
SD-000143,volumes is a typographical,1,review,2026-06-27 13:28:41
SD-000144,is a typographical error,1,review,2026-06-27 13:28:41
SD-000145,submit five,1,review,2026-06-27 13:28:41
SD-000146,5 proposal,1,review,2026-06-27 13:28:41
SD-000147,proposal volumes,1,review,2026-06-27 13:28:41
SD-000148,volumes as,1,review,2026-06-27 13:28:41
SD-000149,as identified,1,review,2026-06-27 13:28:41
SD-000150,identified in,1,review,2026-06-27 13:28:41
SD-000151,shall submit five,1,review,2026-06-27 13:28:41
SD-000152,submit five 5,1,review,2026-06-27 13:28:41
SD-000153,five 5 proposal,1,review,2026-06-27 13:28:41
SD-000154,5 proposal volumes,1,review,2026-06-27 13:28:41
SD-000155,proposal volumes as,1,review,2026-06-27 13:28:41
SD-000156,volumes as identified,1,review,2026-06-27 13:28:41
SD-000157,as identified in,1,review,2026-06-27 13:28:41
SD-000158,identified in the,1,review,2026-06-27 13:28:41
SD-000159,offerors shall submit five,1,review,2026-06-27 13:28:41
SD-000160,shall submit five 5,1,review,2026-06-27 13:28:41
SD-000161,submit five 5 proposal,1,review,2026-06-27 13:28:41
SD-000162,five 5 proposal volumes,1,review,2026-06-27 13:28:41
SD-000163,5 proposal volumes as,1,review,2026-06-27 13:28:41
SD-000164,proposal volumes as identified,1,review,2026-06-27 13:28:41
SD-000165,volumes as identified in,1,review,2026-06-27 13:28:41
SD-000166,as identified in the,1,review,2026-06-27 13:28:41
SD-000167,identified in the solicitation,1,review,2026-06-27 13:28:41
SD-000168,volume i,1,review,2026-06-27 13:28:41
SD-000169,i administrative,1,review,2026-06-27 13:28:41
SD-000170,administrative proposal,1,review,2026-06-27 13:28:41
SD-000171,volume ii,1,review,2026-06-27 13:28:41
SD-000172,ii technical,1,review,2026-06-27 13:28:41
SD-000173,technical proposal,1,review,2026-06-27 13:28:41
SD-000174,volume iii,1,review,2026-06-27 13:28:41
SD-000175,iii past,1,review,2026-06-27 13:28:41
SD-000176,performance volume,1,review,2026-06-27 13:28:41
SD-000177,volume iv,1,review,2026-06-27 13:28:41
SD-000178,iv price,1,review,2026-06-27 13:28:41
SD-000179,documentation offerors,1,review,2026-06-27 13:28:41
SD-000180,offerors should,1,review,2026-06-27 13:28:41
SD-000181,should prepare,1,review,2026-06-27 13:28:41
SD-000182,prepare and,1,review,2026-06-27 13:28:41
SD-000183,submit all,1,review,2026-06-27 13:28:41
SD-000184,all five,1,review,2026-06-27 13:28:41
SD-000185,volumes in,1,review,2026-06-27 13:28:41
SD-000186,the proposal,1,review,2026-06-27 13:28:41
SD-000187,proposal instructions,1,review,2026-06-27 13:28:41
SD-000188,and content,1,review,2026-06-27 13:28:41
SD-000189,content requirements,1,review,2026-06-27 13:28:41
SD-000190,requirements provided,1,review,2026-06-27 13:28:41
SD-000191,volume i administrative,1,review,2026-06-27 13:28:41
SD-000192,i administrative proposal,1,review,2026-06-27 13:28:41
SD-000193,administrative proposal volume,1,review,2026-06-27 13:28:41
SD-000194,proposal volume ii,1,review,2026-06-27 13:28:41
SD-000195,volume ii technical,1,review,2026-06-27 13:28:41
SD-000196,ii technical proposal,1,review,2026-06-27 13:28:41
SD-000197,technical proposal volume,1,review,2026-06-27 13:28:41
SD-000198,proposal volume iii,1,review,2026-06-27 13:28:41
SD-000199,volume iii past,1,review,2026-06-27 13:28:41
SD-000200,iii past performance,1,review,2026-06-27 13:28:41
SD-000201,past performance volume,1,review,2026-06-27 13:28:41
SD-000202,performance volume iv,1,review,2026-06-27 13:28:41
SD-000203,volume iv price,1,review,2026-06-27 13:28:41
SD-000204,iv price proposal,1,review,2026-06-27 13:28:41
SD-000205,price proposal volume,1,review,2026-06-27 13:28:41
SD-000206,proposal volume v,1,review,2026-06-27 13:28:41
SD-000207,contract documentation offerors,1,review,2026-06-27 13:28:41
SD-000208,documentation offerors should,1,review,2026-06-27 13:28:41
SD-000209,offerors should prepare,1,review,2026-06-27 13:28:41
SD-000210,should prepare and,1,review,2026-06-27 13:28:41
SD-000211,prepare and submit,1,review,2026-06-27 13:28:41
SD-000212,and submit all,1,review,2026-06-27 13:28:41
SD-000213,submit all five,1,review,2026-06-27 13:28:41
SD-000214,all five volumes,1,review,2026-06-27 13:28:41
SD-000215,five volumes in,1,review,2026-06-27 13:28:41
SD-000216,volumes in accordance,1,review,2026-06-27 13:28:41
SD-000217,with the proposal,1,review,2026-06-27 13:28:41
SD-000218,the proposal instructions,1,review,2026-06-27 13:28:41
SD-000219,proposal instructions and,1,review,2026-06-27 13:28:41
SD-000220,instructions and content,1,review,2026-06-27 13:28:41
SD-000221,and content requirements,1,review,2026-06-27 13:28:41
SD-000222,content requirements provided,1,review,2026-06-27 13:28:41
SD-000223,requirements provided in,1,review,2026-06-27 13:28:41
SD-000224,volume i administrative proposal,1,review,2026-06-27 13:28:41
SD-000225,i administrative proposal volume,1,review,2026-06-27 13:28:41
SD-000226,administrative proposal volume ii,1,review,2026-06-27 13:28:41
SD-000227,proposal volume ii technical,1,review,2026-06-27 13:28:41
SD-000228,volume ii technical proposal,1,review,2026-06-27 13:28:41
SD-000229,ii technical proposal volume,1,review,2026-06-27 13:28:41
SD-000230,technical proposal volume iii,1,review,2026-06-27 13:28:41
SD-000231,proposal volume iii past,1,review,2026-06-27 13:28:41
SD-000232,volume iii past performance,1,review,2026-06-27 13:28:41
SD-000233,iii past performance volume,1,review,2026-06-27 13:28:41
SD-000234,past performance volume iv,1,review,2026-06-27 13:28:41
SD-000235,performance volume iv price,1,review,2026-06-27 13:28:41
SD-000236,volume iv price proposal,1,review,2026-06-27 13:28:41
SD-000237,iv price proposal volume,1,review,2026-06-27 13:28:41
SD-000238,price proposal volume v,1,review,2026-06-27 13:28:41
SD-000239,proposal volume v contract,1,review,2026-06-27 13:28:41
SD-000240,v contract documentation offerors,1,review,2026-06-27 13:28:41
SD-000241,contract documentation offerors should,1,review,2026-06-27 13:28:41
SD-000242,documentation offerors should prepare,1,review,2026-06-27 13:28:41
SD-000243,offerors should prepare and,1,review,2026-06-27 13:28:41
SD-000244,should prepare and submit,1,review,2026-06-27 13:28:41
SD-000245,prepare and submit all,1,review,2026-06-27 13:28:41
SD-000246,and submit all five,1,review,2026-06-27 13:28:41
SD-000247,submit all five volumes,1,review,2026-06-27 13:28:41
SD-000248,all five volumes in,1,review,2026-06-27 13:28:41
SD-000249,five volumes in accordance,1,review,2026-06-27 13:28:41
SD-000250,volumes in accordance with,1,review,2026-06-27 13:28:41
SD-000251,accordance with the proposal,1,review,2026-06-27 13:28:41
SD-000252,with the proposal instructions,1,review,2026-06-27 13:28:41
SD-000253,the proposal instructions and,1,review,2026-06-27 13:28:41
SD-000254,proposal instructions and content,1,review,2026-06-27 13:28:41
SD-000255,instructions and content requirements,1,review,2026-06-27 13:28:41
SD-000256,and content requirements provided,1,review,2026-06-27 13:28:41
SD-000257,content requirements provided in,1,review,2026-06-27 13:28:41
SD-000258,requirements provided in the,1,review,2026-06-27 13:28:41
SD-000259,factors table,1,review,2026-06-27 13:28:41
SD-000260,1 identifies,1,review,2026-06-27 13:28:41
SD-000261,identifies volume,1,review,2026-06-27 13:28:41
SD-000262,as factor,1,review,2026-06-27 13:28:41
SD-000263,documentation but,1,review,2026-06-27 13:28:41
SD-000264,but section,1,review,2026-06-27 13:28:41
SD-000265,section 52,1,review,2026-06-27 13:28:41
SD-000266,only four,1,review,2026-06-27 13:28:41
SD-000267,four evaluation,1,review,2026-06-27 13:28:41
SD-000268,q1 2 evaluation,1,review,2026-06-27 13:28:41
SD-000269,2 evaluation factors,1,review,2026-06-27 13:28:41
SD-000270,evaluation factors table,1,review,2026-06-27 13:28:41
SD-000271,factors table 1,1,review,2026-06-27 13:28:41
SD-000272,table 1 identifies,1,review,2026-06-27 13:28:41
SD-000273,1 identifies volume,1,review,2026-06-27 13:28:41
SD-000274,identifies volume v,1,review,2026-06-27 13:28:41
SD-000275,volume v as,1,review,2026-06-27 13:28:41
SD-000276,v as factor,1,review,2026-06-27 13:28:41
SD-000277,as factor 5,1,review,2026-06-27 13:28:41
SD-000278,factor 5 contract,1,review,2026-06-27 13:28:41
SD-000279,5 contract documentation,1,review,2026-06-27 13:28:41
SD-000280,contract documentation but,1,review,2026-06-27 13:28:41
SD-000281,documentation but section,1,review,2026-06-27 13:28:41
SD-000282,but section 52,1,review,2026-06-27 13:28:41
SD-000283,section 52 212,1,review,2026-06-27 13:28:41
SD-000284,212 2 lists,1,review,2026-06-27 13:28:41
SD-000285,2 lists only,1,review,2026-06-27 13:28:41
SD-000286,lists only four,1,review,2026-06-27 13:28:41
SD-000287,only four evaluation,1,review,2026-06-27 13:28:41
SD-000288,four evaluation factors,1,review,2026-06-27 13:28:41
SD-000289,q1 2 evaluation factors,1,review,2026-06-27 13:28:41
SD-000290,2 evaluation factors table,1,review,2026-06-27 13:28:41
SD-000291,evaluation factors table 1,1,review,2026-06-27 13:28:41
SD-000292,factors table 1 identifies,1,review,2026-06-27 13:28:41
SD-000293,table 1 identifies volume,1,review,2026-06-27 13:28:41
SD-000294,1 identifies volume v,1,review,2026-06-27 13:28:41
SD-000295,identifies volume v as,1,review,2026-06-27 13:28:41
SD-000296,volume v as factor,1,review,2026-06-27 13:28:41
SD-000297,v as factor 5,1,review,2026-06-27 13:28:41
SD-000298,as factor 5 contract,1,review,2026-06-27 13:28:41
SD-000299,factor 5 contract documentation,1,review,2026-06-27 13:28:41
SD-000300,5 contract documentation but,1,review,2026-06-27 13:28:41
SD-000301,contract documentation but section,1,review,2026-06-27 13:28:41
SD-000302,documentation but section 52,1,review,2026-06-27 13:28:41
SD-000303,but section 52 212,1,review,2026-06-27 13:28:41
SD-000304,section 52 212 2,1,review,2026-06-27 13:28:41
SD-000305,52 212 2 lists,1,review,2026-06-27 13:28:41
SD-000306,212 2 lists only,1,review,2026-06-27 13:28:41
SD-000307,2 lists only four,1,review,2026-06-27 13:28:41
SD-000308,lists only four evaluation,1,review,2026-06-27 13:28:41
SD-000309,only four evaluation factors,1,review,2026-06-27 13:28:41
