filtered_pattern_id,semantic_pattern,frequency,dominant_family,original_confidence,quality_score,adjusted_confidence,quality_hits,status,created_at
SP-000007,national cemetery,17,Unclassified,0.98,13,0.73,cemetery,quality_accepted,2026-06-27 17:34:06
SP-000011,of solicitation,16,Administrative,0.98,13,0.73,solicitation,quality_accepted,2026-06-27 17:34:06
SP-000013,accounting clerk,15,Unclassified,0.95,10,0.67,,quality_accepted,2026-06-27 17:34:06
SP-000014,customer service,15,Unclassified,0.95,10,0.67,,quality_accepted,2026-06-27 17:34:06
SP-000015,service representative,15,Unclassified,0.95,10,0.67,,quality_accepted,2026-06-27 17:34:06
SP-000016,customer service representative,15,Unclassified,0.95,11,0.69,,quality_accepted,2026-06-27 17:34:06
SP-000018,amendment of,13,Administrative,0.89,13,0.68,amendment,quality_accepted,2026-06-27 17:34:06
SP-000019,amendment of solicitation,13,Administrative,0.89,17,0.74,amendment;solicitation,quality_accepted,2026-06-27 17:34:06
SP-000024,administered by,11,Unclassified,0.83,13,0.65,nist,quality_accepted,2026-06-27 17:34:06
SP-000026,interior design,11,Unclassified,0.83,10,0.61,,quality_accepted,2026-06-27 17:34:06
SP-000027,data entry,11,Unclassified,0.83,10,0.61,,quality_accepted,2026-06-27 17:34:06
SP-000037,entry operator,10,Unclassified,0.8,10,0.59,,quality_accepted,2026-06-27 17:34:06
SP-000038,general clerk,10,Unclassified,0.8,10,0.59,,quality_accepted,2026-06-27 17:34:06
SP-000039,data entry operator,10,Unclassified,0.8,11,0.6,,quality_accepted,2026-06-27 17:34:06
SP-000040,section 1,9,Unclassified,0.77,9,0.56,,quality_accepted,2026-06-27 17:34:06
SP-000041,the offeror,9,Unclassified,0.77,12,0.6,offeror,quality_accepted,2026-06-27 17:34:06
SP-000045,please provide,9,Unclassified,0.77,9,0.56,,quality_accepted,2026-06-27 17:34:06
SP-000047,cemetery administration,9,Unclassified,0.77,15,0.65,cemetery;nist,quality_accepted,2026-06-27 17:34:06
SP-000048,national cemetery administration,9,Unclassified,0.77,16,0.66,cemetery;nist,quality_accepted,2026-06-27 17:34:06
SP-000049,small business,9,Unclassified,0.77,9,0.56,,quality_accepted,2026-06-27 17:34:06
SP-000051,solicitation number,8,Administrative,0.74,11,0.57,solicitation,quality_accepted,2026-06-27 17:34:06
SP-000055,fixed price,8,Evaluation,0.74,8,0.53,,quality_accepted,2026-06-27 17:34:06
SP-000057,additional information,8,Unclassified,0.74,8,0.53,,quality_accepted,2026-06-27 17:34:06
SP-000059,clerk ii,8,Unclassified,0.74,8,0.53,,quality_accepted,2026-06-27 17:34:06
SP-000060,clerk iii,8,Unclassified,0.74,8,0.53,,quality_accepted,2026-06-27 17:34:06
SP-000061,offerors shall,7,Unclassified,0.71,10,0.54,offeror,quality_accepted,2026-06-27 17:34:06
SP-000062,past performance,7,Proposal,0.71,10,0.54,past performance,quality_accepted,2026-06-27 17:34:06
SP-000063,of solicitation number,7,Administrative,0.71,11,0.56,solicitation,quality_accepted,2026-06-27 17:34:06
SP-000064,amendment of solicitation number,7,Administrative,0.71,15,0.62,amendment;solicitation,quality_accepted,2026-06-27 17:34:06
SP-000071,firm fixed price,7,Evaluation,0.71,8,0.51,,quality_accepted,2026-06-27 17:34:06
SP-000073,unit price,7,Commercial,0.71,15,0.62,unit price,quality_accepted,2026-06-27 17:34:06
SP-000081,evaluation factors,6,Evaluation,0.68,14,0.58,evaluation;evaluation factors,quality_accepted,2026-06-27 17:34:06
SP-000082,quote for,6,Unclassified,0.68,9,0.51,quote,quality_accepted,2026-06-27 17:34:06
SP-000083,solicitation modification,6,Administrative,0.68,9,0.51,solicitation,quality_accepted,2026-06-27 17:34:06
SP-000085,of solicitation modification,6,Administrative,0.68,10,0.52,solicitation,quality_accepted,2026-06-27 17:34:06
SP-000086,solicitation modification of,6,Administrative,0.68,10,0.52,solicitation,quality_accepted,2026-06-27 17:34:06
SP-000088,amendment of solicitation modification,6,Administrative,0.68,14,0.58,amendment;solicitation,quality_accepted,2026-06-27 17:34:06
SP-000089,of solicitation modification of,6,Administrative,0.68,11,0.54,solicitation,quality_accepted,2026-06-27 17:34:06
SP-000090,solicitation modification of contract,6,Administrative,0.68,11,0.54,solicitation,quality_accepted,2026-06-27 17:34:06
SP-000092,contracting officer,6,Unclassified,0.68,14,0.58,contracting officer,quality_accepted,2026-06-27 17:34:06
SP-000096,administered by if,6,Unclassified,0.68,10,0.52,nist,quality_accepted,2026-06-27 17:34:06
SP-000100,administered by if other,6,Unclassified,0.68,11,0.54,nist,quality_accepted,2026-06-27 17:34:06
SP-000101,by if other than,6,Unclassified,0.68,8,0.49,,quality_accepted,2026-06-27 17:34:06
SP-000102,if other than item,6,Unclassified,0.68,8,0.49,,quality_accepted,2026-06-27 17:34:06
SP-000109,a firm fixed price,6,Evaluation,0.68,8,0.49,,quality_accepted,2026-06-27 17:34:06
SP-000111,synopsis solicitation,6,Unclassified,0.68,9,0.51,solicitation,quality_accepted,2026-06-27 17:34:06
SP-000115,1 qty 1 ton,6,Unclassified,0.68,8,0.49,,quality_accepted,2026-06-27 17:34:06
SP-000116,qty 1 ton each,6,Unclassified,0.68,8,0.49,,quality_accepted,2026-06-27 17:34:06
SP-000118,solicitation for,6,Unclassified,0.68,9,0.51,solicitation,quality_accepted,2026-06-27 17:34:06
SP-000122,the same,6,Unclassified,0.68,9,0.51,sam,quality_accepted,2026-06-27 17:34:06
