semantic_object_id,semantic_object_type_id,semantic_object_type,canonical_name,domain_id,domain_name,subdomain_name,intent,lifecycle_state,evidence_count,supporting_pattern_ids,supporting_expression_ids,official_registry_id,ontology_domain_id,knowledge_graph_node_id,embedding_id,confidence,governance_status,pkv_version,created_at,updated_at
SPO-000001,SOT-000014,Domain Specific Requirement,National Cemetery Operations,,Domain-Specific Operations,,Domain Requirement,candidate,12,SP-000007;SP-000047;SP-000048;SP-000392;SP-000393;SP-000406;SP-000410;SP-000411,SA-000007;SA-000047;SA-000048;SA-000411,OPR-000006,PDO-PERF-001,,,0.86,auto_interpreted,PKV-1.2,2026-06-27 22:40:30,2026-06-27 22:40:30
SPO-000002,,Uninterpreted Pattern,of solicitation,,,,Needs Semantic Interpretation Review,draft,2,SP-000011,SA-000011,OPR-000009,PDO-ACQ-001,,,0.3,needs_review,PKV-1.2,2026-06-27 22:40:30,2026-06-27 22:40:30
SPO-000003,,Uninterpreted Pattern,accounting clerk,,,,Needs Semantic Interpretation Review,draft,2,SP-000013,SA-000013,OPR-000011,PDO-DOC-001,,,0.3,needs_review,PKV-1.2,2026-06-27 22:40:30,2026-06-27 22:40:30
SPO-000004,,Uninterpreted Pattern,customer service,,,,Needs Semantic Interpretation Review,draft,2,SP-000014,SA-000014,OPR-000006,PDO-PERF-001,,,0.3,needs_review,PKV-1.2,2026-06-27 22:40:30,2026-06-27 22:40:30
SPO-000005,,Uninterpreted Pattern,service representative,,,,Needs Semantic Interpretation Review,draft,2,SP-000015,SA-000015,OPR-000003,PDO-PERF-001,,,0.3,needs_review,PKV-1.2,2026-06-27 22:40:30,2026-06-27 22:40:30
SPO-000006,,Uninterpreted Pattern,customer service representative,,,,Needs Semantic Interpretation Review,draft,2,SP-000016,SA-000016,OPR-000006,PDO-PERF-001,,,0.3,needs_review,PKV-1.2,2026-06-27 22:40:30,2026-06-27 22:40:30
SPO-000007,,Uninterpreted Pattern,amendment of,,,,Needs Semantic Interpretation Review,draft,2,SP-000018,SA-000018,OPR-000022,PDO-SUB-001,,,0.3,needs_review,PKV-1.2,2026-06-27 22:40:30,2026-06-27 22:40:30
SPO-000008,SOT-000005,Submission Instruction,Solicitation Amendment Acknowledgement,,Submission and Proposal Management,,Submission Compliance,candidate,11,SP-000019;SP-000064;SP-000088;SP-000330;SP-000342;SP-000343;SP-000621,SA-000019;SA-000064;SA-000088;SA-000621,OPR-000009,PDO-ACQ-001,,,0.78,auto_interpreted,PKV-1.2,2026-06-27 22:40:30,2026-06-27 22:40:30
SPO-000009,,Uninterpreted Pattern,administered by,,,,Needs Semantic Interpretation Review,draft,2,SP-000024,SA-000024,OPR-000005,PDO-LOG-001,,,0.3,needs_review,PKV-1.2,2026-06-27 22:40:30,2026-06-27 22:40:30
SPO-000010,,Uninterpreted Pattern,interior design,,,,Needs Semantic Interpretation Review,draft,2,SP-000026,SA-000026,OPR-000011,PDO-DOC-001,,,0.3,needs_review,PKV-1.2,2026-06-27 22:40:30,2026-06-27 22:40:30
SPO-000011,,Uninterpreted Pattern,data entry,,,,Needs Semantic Interpretation Review,draft,2,SP-000027,SA-000027,OPR-000001,PDO-SUB-001,,,0.3,needs_review,PKV-1.2,2026-06-27 22:40:30,2026-06-27 22:40:30
SPO-000012,,Uninterpreted Pattern,entry operator,,,,Needs Semantic Interpretation Review,draft,2,SP-000037,SA-000037,OPR-000006,PDO-PERF-001,,,0.3,needs_review,PKV-1.2,2026-06-27 22:40:30,2026-06-27 22:40:30
SPO-000013,,Uninterpreted Pattern,general clerk,,,,Needs Semantic Interpretation Review,draft,2,SP-000038,SA-000038,OPR-000001,PDO-SUB-001,,,0.3,needs_review,PKV-1.2,2026-06-27 22:40:30,2026-06-27 22:40:30
SPO-000014,,Uninterpreted Pattern,data entry operator,,,,Needs Semantic Interpretation Review,draft,2,SP-000039,SA-000039,OPR-000006,PDO-PERF-001,,,0.3,needs_review,PKV-1.2,2026-06-27 22:40:30,2026-06-27 22:40:30
SPO-000015,,Uninterpreted Pattern,section 1,,,,Needs Semantic Interpretation Review,draft,1,SP-000040,,OPR-000009,PDO-ACQ-001,,,0.3,needs_review,PKV-1.2,2026-06-27 22:40:30,2026-06-27 22:40:30
SPO-000016,,Uninterpreted Pattern,the offeror,,,,Needs Semantic Interpretation Review,draft,2,SP-000041,SA-000041,OPR-000006,PDO-PERF-001,,,0.3,needs_review,PKV-1.2,2026-06-27 22:40:30,2026-06-27 22:40:30
SPO-000017,,Uninterpreted Pattern,please provide,,,,Needs Semantic Interpretation Review,draft,1,SP-000045,,OPR-000001,PDO-SUB-001,,,0.3,needs_review,PKV-1.2,2026-06-27 22:40:30,2026-06-27 22:40:30
SPO-000018,,Uninterpreted Pattern,small business,,,,Needs Semantic Interpretation Review,draft,1,SP-000049,,OPR-000004,PDO-SUB-001,,,0.3,needs_review,PKV-1.2,2026-06-27 22:40:30,2026-06-27 22:40:30
SPO-000019,SOT-000015,Acquisition Metadata,Solicitation Metadata,,Acquisition Strategy,,Acquisition Metadata,candidate,10,SP-000051;SP-000063;SP-000198;SP-000428;SP-000429;SP-000761;SP-000822,SA-000051;SA-000063;SA-000821,OPR-000009,PDO-ACQ-001,,,0.78,auto_interpreted,PKV-1.2,2026-06-27 22:40:30,2026-06-27 22:40:30
SPO-000020,SOT-000001,Contract Type,Firm Fixed Price,,Commercial and Pricing,,Contract Type,candidate,4,SP-000055;SP-000071;SP-000109;SP-000660,,OPR-000007,PDO-LOG-001,,,0.78,auto_interpreted,PKV-1.2,2026-06-27 22:40:30,2026-06-27 22:40:30
SPO-000021,,Uninterpreted Pattern,additional information,,,,Needs Semantic Interpretation Review,draft,1,SP-000057,,OPR-000010,PDO-SUB-001,,,0.3,needs_review,PKV-1.2,2026-06-27 22:40:30,2026-06-27 22:40:30
SPO-000022,,Uninterpreted Pattern,clerk ii,,,,Needs Semantic Interpretation Review,draft,1,SP-000059,,OPR-000007,PDO-LOG-001,,,0.3,needs_review,PKV-1.2,2026-06-27 22:40:30,2026-06-27 22:40:30
SPO-000023,,Uninterpreted Pattern,clerk iii,,,,Needs Semantic Interpretation Review,draft,1,SP-000060,,OPR-000007,PDO-LOG-001,,,0.3,needs_review,PKV-1.2,2026-06-27 22:40:30,2026-06-27 22:40:30
SPO-000024,,Uninterpreted Pattern,offerors shall,,,,Needs Semantic Interpretation Review,draft,2,SP-000061,SA-000061,OPR-000011,PDO-DOC-001,,,0.3,needs_review,PKV-1.2,2026-06-27 22:40:30,2026-06-27 22:40:30
SPO-000025,SOT-000003,Evaluation Factor,Evaluation Factors,,Evaluation and Source Selection,,Evaluation Factor,candidate,4,SP-000062;SP-000081,SA-000062;SA-000081,OPR-000008,PDO-SUB-001,,,0.78,auto_interpreted,PKV-1.2,2026-06-27 22:40:30,2026-06-27 22:40:30
SPO-000026,SOT-000007,Pricing Structure,Unit Price,,Commercial and Pricing,,Pricing,candidate,4,SP-000073;SP-000852,SA-000073;SA-000851,OPR-000004,PDO-SUB-001,,,0.78,auto_interpreted,PKV-1.2,2026-06-27 22:40:30,2026-06-27 22:40:30
SPO-000027,,Uninterpreted Pattern,quote for,,,,Needs Semantic Interpretation Review,draft,1,SP-000082,,OPR-000006,PDO-PERF-001,,,0.3,needs_review,PKV-1.2,2026-06-27 22:40:30,2026-06-27 22:40:30
SPO-000028,,Uninterpreted Pattern,solicitation modification,,,,Needs Semantic Interpretation Review,draft,1,SP-000083,,OPR-000009,PDO-ACQ-001,,,0.3,needs_review,PKV-1.2,2026-06-27 22:40:30,2026-06-27 22:40:30
SPO-000029,,Uninterpreted Pattern,of solicitation modification,,,,Needs Semantic Interpretation Review,draft,2,SP-000085,SA-000085,OPR-000009,PDO-ACQ-001,,,0.3,needs_review,PKV-1.2,2026-06-27 22:40:30,2026-06-27 22:40:30
SPO-000030,,Uninterpreted Pattern,solicitation modification of,,,,Needs Semantic Interpretation Review,draft,2,SP-000086,SA-000086,OPR-000009,PDO-ACQ-001,,,0.3,needs_review,PKV-1.2,2026-06-27 22:40:30,2026-06-27 22:40:30
SPO-000031,,Uninterpreted Pattern,of solicitation modification of,,,,Needs Semantic Interpretation Review,draft,2,SP-000089,SA-000089,OPR-000009,PDO-ACQ-001,,,0.3,needs_review,PKV-1.2,2026-06-27 22:40:30,2026-06-27 22:40:30
SPO-000032,,Uninterpreted Pattern,solicitation modification of contract,,,,Needs Semantic Interpretation Review,draft,2,SP-000090,SA-000090,OPR-000009,PDO-ACQ-001,,,0.3,needs_review,PKV-1.2,2026-06-27 22:40:30,2026-06-27 22:40:30
SPO-000033,SOT-000006,Procurement Role,Contracting Officer,,Acquisition Strategy,,Procurement Role,candidate,4,SP-000092;SP-000610,SA-000092;SA-000610,OPR-000005,PDO-LOG-001,,,0.78,auto_interpreted,PKV-1.2,2026-06-27 22:40:30,2026-06-27 22:40:30
SPO-000034,,Uninterpreted Pattern,administered by if,,,,Needs Semantic Interpretation Review,draft,2,SP-000096,SA-000096,OPR-000005,PDO-LOG-001,,,0.3,needs_review,PKV-1.2,2026-06-27 22:40:30,2026-06-27 22:40:30
SPO-000035,,Uninterpreted Pattern,administered by if other,,,,Needs Semantic Interpretation Review,draft,2,SP-000100,SA-000100,OPR-000005,PDO-LOG-001,,,0.3,needs_review,PKV-1.2,2026-06-27 22:40:30,2026-06-27 22:40:30
SPO-000036,,Uninterpreted Pattern,by if other than,,,,Needs Semantic Interpretation Review,draft,1,SP-000101,,OPR-000006,PDO-PERF-001,,,0.3,needs_review,PKV-1.2,2026-06-27 22:40:30,2026-06-27 22:40:30
SPO-000037,,Uninterpreted Pattern,if other than item,,,,Needs Semantic Interpretation Review,draft,1,SP-000102,,OPR-000007,PDO-LOG-001,,,0.3,needs_review,PKV-1.2,2026-06-27 22:40:30,2026-06-27 22:40:30
SPO-000038,,Uninterpreted Pattern,synopsis solicitation,,,,Needs Semantic Interpretation Review,draft,1,SP-000111,,OPR-000009,PDO-ACQ-001,,,0.3,needs_review,PKV-1.2,2026-06-27 22:40:30,2026-06-27 22:40:30
SPO-000039,,Uninterpreted Pattern,1 qty 1 ton,,,,Needs Semantic Interpretation Review,draft,1,SP-000115,,OPR-000006,PDO-PERF-001,,,0.3,needs_review,PKV-1.2,2026-06-27 22:40:30,2026-06-27 22:40:30
SPO-000040,,Uninterpreted Pattern,qty 1 ton each,,,,Needs Semantic Interpretation Review,draft,1,SP-000116,,OPR-000009,PDO-ACQ-001,,,0.3,needs_review,PKV-1.2,2026-06-27 22:40:30,2026-06-27 22:40:30
SPO-000041,,Uninterpreted Pattern,solicitation for,,,,Needs Semantic Interpretation Review,draft,1,SP-000118,,OPR-000009,PDO-ACQ-001,,,0.3,needs_review,PKV-1.2,2026-06-27 22:40:30,2026-06-27 22:40:30
SPO-000042,,Uninterpreted Pattern,the same,,,,Needs Semantic Interpretation Review,draft,1,SP-000122,,OPR-000003,PDO-PERF-001,,,0.3,needs_review,PKV-1.2,2026-06-27 22:40:30,2026-06-27 22:40:30
SPO-000043,,Uninterpreted Pattern,for proposal,,,,Needs Semantic Interpretation Review,draft,1,SP-000123,,OPR-000010,PDO-SUB-001,,,0.3,needs_review,PKV-1.2,2026-06-27 22:40:30,2026-06-27 22:40:30
SPO-000044,SOT-000013,Document Structure Object,Table of Contents,,Document Structure and Administrative Forms,,Document Structure,candidate,4,SP-000127;SP-000164;SP-000619,SA-000127,OPR-000012,PDO-COMP-001,,,0.78,auto_interpreted,PKV-1.2,2026-06-27 22:40:30,2026-06-27 22:40:30
SPO-000045,,Uninterpreted Pattern,fringe benefits required follow,,,,Needs Semantic Interpretation Review,draft,1,SP-000151,,OPR-000015,PDO-PERF-001,,,0.3,needs_review,PKV-1.2,2026-06-27 22:40:30,2026-06-27 22:40:30
SPO-000046,,Uninterpreted Pattern,benefits required follow the,,,,Needs Semantic Interpretation Review,draft,1,SP-000152,,OPR-000015,PDO-PERF-001,,,0.3,needs_review,PKV-1.2,2026-06-27 22:40:30,2026-06-27 22:40:30
SPO-000047,,Uninterpreted Pattern,required follow the occupational,,,,Needs Semantic Interpretation Review,draft,1,SP-000153,,OPR-000006,PDO-PERF-001,,,0.3,needs_review,PKV-1.2,2026-06-27 22:40:30,2026-06-27 22:40:30
