candidate_value,frequency,proposed_labels,quality_score,recommendation
BLOCK,2,unclassified,0,reject_candidate
QUOTE,2,buyer_process_or_document,0,reject_candidate
Type,2,unclassified,0,reject_candidate
TOTAL,2,unclassified,0,reject_candidate
Long,2,unclassified,0,reject_candidate
Clin,2,unclassified,0,reject_candidate
City,2,unclassified,0,reject_candidate
Park,2,unclassified,0,reject_candidate
Hous,2,unclassified,0,reject_candidate
Same,3,unclassified,0,reject_candidate
Food,3,unclassified,0,reject_candidate
Drug,3,unclassified,0,reject_candidate
THAT,3,unclassified,0,reject_candidate
Camp,3,unclassified,0,reject_candidate
Test,4,unclassified,0,reject_candidate
Gate,4,unclassified,0,reject_candidate
Email,5,unclassified,0,reject_candidate
Time,6,unclassified,0,reject_candidate
WITH,7,unclassified,0,reject_candidate
AMOUNT,8,unclassified,0,reject_candidate
Total,8,unclassified,0,reject_candidate
Unit,9,unclassified,0,reject_candidate
Offers,14,unclassified,0,reject_candidate
Name,14,unclassified,0,reject_candidate
GOVERNMENT,14,unclassified,0,reject_candidate
DATE,16,unclassified,0,reject_candidate
Address,18,unclassified,0,reject_candidate
Quotes,18,unclassified,0,reject_candidate
United,19,unclassified,0,reject_candidate
States,19,unclassified,0,reject_candidate
Item,21,unclassified,0,reject_candidate
UNIT,22,unclassified,0,reject_candidate
Date,25,unclassified,0,reject_candidate
CONTRACTOR,25,unclassified,0,reject_candidate
Federal,38,unclassified,0,reject_candidate
ITEM,49,unclassified,0,reject_candidate
PRICE,52,unclassified,0,reject_candidate
Vendor,53,unclassified,0,reject_candidate
Block,54,unclassified,0,reject_candidate
CODE,55,unclassified,0,reject_candidate
THIS,56,unclassified,0,reject_candidate
Government,61,unclassified,0,reject_candidate
This,64,unclassified,0,reject_candidate
NUMBER,108,unclassified,0,reject_candidate
Price,112,unclassified,0,reject_candidate
Code,130,unclassified,0,reject_candidate
Description,159,unclassified,0,reject_candidate
PAGE,236,unclassified,0,reject_candidate
DESCRIPTION,237,unclassified,0,reject_candidate
Number,333,unclassified,0,reject_candidate
Contractor,338,unclassified,0,reject_candidate
Page,378,unclassified,0,reject_candidate
Contract,652,unclassified,0,reject_candidate
CONTRACT,659,unclassified,0,reject_candidate
DPAS,2,unclassified,10,reject_candidate
HOUR,2,unclassified,10,reject_candidate
Version,2,unclassified,10,reject_candidate
Basis,2,unclassified,10,reject_candidate
Capability,2,unclassified,10,reject_candidate
Lowest,2,unclassified,10,reject_candidate
Technically,2,unclassified,10,reject_candidate
Simplified,2,unclassified,10,reject_candidate
Procedures,2,unclassified,10,reject_candidate
Although,2,unclassified,10,reject_candidate
DUTY,2,unclassified,10,reject_candidate
SHIP,2,unclassified,10,reject_candidate
Gravel,2,unclassified,10,reject_candidate
PAST,2,unclassified,10,reject_candidate
Dollar,2,unclassified,10,reject_candidate
Type/Extent,2,unclassified,10,reject_candidate
Subcontracting,2,unclassified,10,reject_candidate
Percentage,2,unclassified,10,reject_candidate
Supply/Services,2,unclassified,10,reject_candidate
Position,2,unclassified,10,reject_candidate
Compliance,2,unclassified,10,reject_candidate
SDVOSBs,2,unclassified,10,reject_candidate
VOSBs,2,unclassified,10,reject_candidate
Beach,2,unclassified,10,reject_candidate
Healthcare,2,unclassified,10,reject_candidate
