candidate_value,frequency,proposed_labels,quality_score,recommendation
SECTION,2137,compliance_or_clause;buyer_process_or_document,80,promote_candidate
DFARS,405,compliance_or_clause,80,promote_candidate
SCHEDULE,133,contract_vehicle_or_method;deliverable_or_plan,80,promote_candidate
EXHIBIT,132,buyer_process_or_document,80,promote_candidate
EVALUATION,62,buyer_process_or_document,80,promote_candidate
ATTACHMENT,31,buyer_process_or_document,80,promote_candidate
AMENDMENT,22,buyer_process_or_document,80,promote_candidate
Section,5123,compliance_or_clause;buyer_process_or_document,70,promote_candidate
Attachment,549,buyer_process_or_document,70,promote_candidate
Template,96,deliverable_or_plan,70,promote_candidate
Offeror,93,buyer_process_or_document,70,promote_candidate
Proposal,92,buyer_process_or_document,70,promote_candidate
Volume,89,buyer_process_or_document,70,promote_candidate
Schedule,70,contract_vehicle_or_method;deliverable_or_plan,70,promote_candidate
Award,57,buyer_process_or_document,70,promote_candidate
Report,38,deliverable_or_plan,70,promote_candidate
Regulation,37,compliance_or_clause,70,promote_candidate
Exhibit,33,buyer_process_or_document,70,promote_candidate
SOLICITATION/CONTRACT,30,buyer_process_or_document,70,promote_candidate
Officer,26,staffing_or_role,70,promote_candidate
Amendment,23,buyer_process_or_document,70,promote_candidate
CERTIFICATION,22,certification_or_standard,70,promote_candidate
Website,20,technology_or_system,70,promote_candidate
AWARD,18,buyer_process_or_document,70,promote_candidate
Wage,38,compliance_or_clause,60,promote_candidate
Plan,32,deliverable_or_plan,60,promote_candidate
Checklist,15,deliverable_or_plan,60,promote_candidate
Database,12,technology_or_system,60,promote_candidate
Personnel,12,staffing_or_role,60,promote_candidate
Evaluation,11,buyer_process_or_document,60,promote_candidate
SOLICITATION/MODIFICATION,11,buyer_process_or_document,60,promote_candidate
AMENDMENT/MODIFICATION,11,buyer_process_or_document,60,promote_candidate
REGISTER,7,deliverable_or_plan,60,promote_candidate
Questionnaire,8,deliverable_or_plan,50,promote_candidate
Software,8,technology_or_system,50,promote_candidate
WAGE,7,compliance_or_clause,50,promote_candidate
CERTIFICATE,3,certification_or_standard,50,promote_candidate
PROPOSAL,2,buyer_process_or_document,50,promote_candidate
LISTING/GSA,2,contract_vehicle_or_method,50,promote_candidate
REPORT,2,deliverable_or_plan,50,promote_candidate
VOLUME,2,buyer_process_or_document,50,promote_candidate
