graph_version,edge_id,edge_key,source_node_id,source_node_name,source_node_type,target_node_id,target_node_name,target_node_type,relationship_type,confidence,evidence_basis,created_at
KG-1.0,KGEDGE-000001,kgnode2_000003_has_pricing_structure_kgnode2_000013,KGNODE2-000003,Firm Fixed Price,Contract Type,KGNODE2-000013,Unit Price,Pricing Structure,has_pricing_structure,0.72,semantic_object_relationship_registry_v1,2026-06-29 15:40:03
KG-1.0,KGEDGE-000002,kgnode2_000003_has_pricing_structure_kgnode2_000029,KGNODE2-000003,Firm Fixed Price,Contract Type,KGNODE2-000029,Payment and Invoice,Pricing Structure,has_pricing_structure,0.72,semantic_object_relationship_registry_v1,2026-06-29 15:40:03
KG-1.0,KGEDGE-000003,kgnode2_000006_uses_evaluation_factor_kgnode2_000014,KGNODE2-000006,Award Basis,Evaluation Method,KGNODE2-000014,Evaluation Factors,Evaluation Factor,uses_evaluation_factor,0.72,semantic_object_relationship_registry_v1,2026-06-29 15:40:03
KG-1.0,KGEDGE-000004,kgnode2_000019_requires_submission_instruction_kgnode2_000001,KGNODE2-000019,Proposal Volume,Proposal Structure,KGNODE2-000001,Solicitation Amendment,Submission Instruction,requires_submission_instruction,0.72,semantic_object_relationship_registry_v1,2026-06-29 15:40:03
KG-1.0,KGEDGE-000005,kgnode2_000005_requires_supplier_capability_kgnode2_000016,KGNODE2-000005,Performance Work Statement,Technical Requirement,KGNODE2-000016,Past Performance,Supplier Qualification,requires_supplier_capability,0.72,semantic_object_relationship_registry_v1,2026-06-29 15:40:03
KG-1.0,KGEDGE-000006,kgnode2_000005_requires_supplier_capability_kgnode2_000021,KGNODE2-000005,Performance Work Statement,Technical Requirement,KGNODE2-000021,Small Business Set-Aside,Supplier Qualification,requires_supplier_capability,0.72,semantic_object_relationship_registry_v1,2026-06-29 15:40:03
KG-1.0,KGEDGE-000007,kgnode2_000025_requires_supplier_capability_kgnode2_000016,KGNODE2-000025,Statement of Work,Technical Requirement,KGNODE2-000016,Past Performance,Supplier Qualification,requires_supplier_capability,0.72,semantic_object_relationship_registry_v1,2026-06-29 15:40:03
KG-1.0,KGEDGE-000008,kgnode2_000025_requires_supplier_capability_kgnode2_000021,KGNODE2-000025,Statement of Work,Technical Requirement,KGNODE2-000021,Small Business Set-Aside,Supplier Qualification,requires_supplier_capability,0.72,semantic_object_relationship_registry_v1,2026-06-29 15:40:03
KG-1.0,KGEDGE-000009,kgnode2_000022_affects_price_kgnode2_000013,KGNODE2-000022,Place of Performance,Delivery Requirement,KGNODE2-000013,Unit Price,Pricing Structure,affects_price,0.72,semantic_object_relationship_registry_v1,2026-06-29 15:40:03
KG-1.0,KGEDGE-000010,kgnode2_000022_affects_price_kgnode2_000029,KGNODE2-000022,Place of Performance,Delivery Requirement,KGNODE2-000029,Payment and Invoice,Pricing Structure,affects_price,0.72,semantic_object_relationship_registry_v1,2026-06-29 15:40:03
KG-1.0,KGEDGE-000011,kgnode2_000004_issues_or_receives_kgnode2_000001,KGNODE2-000004,Contracting Officer,Procurement Role,KGNODE2-000001,Solicitation Amendment,Submission Instruction,issues_or_receives,0.72,semantic_object_relationship_registry_v1,2026-06-29 15:40:03
KG-1.0,KGEDGE-000012,kgnode2_000012_shapes_source_selection_kgnode2_000006,KGNODE2-000012,Solicitation Number,Acquisition Metadata,KGNODE2-000006,Award Basis,Evaluation Method,shapes_source_selection,0.72,semantic_object_relationship_registry_v1,2026-06-29 15:40:03
KG-1.0,KGEDGE-000013,kgnode2_000017_shapes_source_selection_kgnode2_000006,KGNODE2-000017,Request for Information,Acquisition Metadata,KGNODE2-000006,Award Basis,Evaluation Method,shapes_source_selection,0.72,semantic_object_relationship_registry_v1,2026-06-29 15:40:03
KG-1.0,KGEDGE-000014,kgnode2_000020_shapes_source_selection_kgnode2_000006,KGNODE2-000020,Combined Synopsis Solicitation,Acquisition Metadata,KGNODE2-000006,Award Basis,Evaluation Method,shapes_source_selection,0.72,semantic_object_relationship_registry_v1,2026-06-29 15:40:03
KG-1.0,KGEDGE-000015,kgnode2_000023_shapes_source_selection_kgnode2_000006,KGNODE2-000023,Method of Solicitation,Acquisition Metadata,KGNODE2-000006,Award Basis,Evaluation Method,shapes_source_selection,0.72,semantic_object_relationship_registry_v1,2026-06-29 15:40:03
KG-1.0,KGEDGE-000016,kgnode2_000024_shapes_source_selection_kgnode2_000006,KGNODE2-000024,Request for Proposal,Acquisition Metadata,KGNODE2-000006,Award Basis,Evaluation Method,shapes_source_selection,0.72,semantic_object_relationship_registry_v1,2026-06-29 15:40:03
KG-1.0,KGEDGE-000017,kgnode2_000028_shapes_source_selection_kgnode2_000006,KGNODE2-000028,Request for Quotation,Acquisition Metadata,KGNODE2-000006,Award Basis,Evaluation Method,shapes_source_selection,0.72,semantic_object_relationship_registry_v1,2026-06-29 15:40:03
KG-1.0,KGEDGE-000018,kgnode2_000002_specializes_requirement_kgnode2_000005,KGNODE2-000002,National Cemetery Operations,Domain Specific Requirement,KGNODE2-000005,Performance Work Statement,Technical Requirement,specializes_requirement,0.72,semantic_object_relationship_registry_v1,2026-06-29 15:40:03
KG-1.0,KGEDGE-000019,kgnode2_000002_specializes_requirement_kgnode2_000025,KGNODE2-000002,National Cemetery Operations,Domain Specific Requirement,KGNODE2-000025,Statement of Work,Technical Requirement,specializes_requirement,0.72,semantic_object_relationship_registry_v1,2026-06-29 15:40:03
KG-1.0,KGEDGE-000020,kgnode2_000012_defines_submission_context_kgnode2_000001,KGNODE2-000012,Solicitation Number,Acquisition Metadata,KGNODE2-000001,Solicitation Amendment,Submission Instruction,defines_submission_context,0.74,domain_inference,2026-06-29 15:40:03
KG-1.0,KGEDGE-000021,kgnode2_000017_defines_submission_context_kgnode2_000001,KGNODE2-000017,Request for Information,Acquisition Metadata,KGNODE2-000001,Solicitation Amendment,Submission Instruction,defines_submission_context,0.74,domain_inference,2026-06-29 15:40:03
KG-1.0,KGEDGE-000022,kgnode2_000020_defines_submission_context_kgnode2_000001,KGNODE2-000020,Combined Synopsis Solicitation,Acquisition Metadata,KGNODE2-000001,Solicitation Amendment,Submission Instruction,defines_submission_context,0.74,domain_inference,2026-06-29 15:40:03
