ranking_id,search_result_id,search_request_id,node_id,rank,final_score,exact_score,lexical_score,relationship_score,confidence_score,domain_boost,created_at
GSRANK-000001,GSRES-000001,GSRQ-000001,KGNODE2-000003,1,0.984,,1.0,0.3333,0.84,0.15,2026-06-29 22:06:49
GSRANK-000002,GSRES-000002,GSRQ-000001,KGNODE2-000013,2,0.629,,1.0,1.0,0.79,0.15,2026-06-29 22:06:49
GSRANK-000003,GSRES-000003,GSRQ-000001,KGNODE2-000029,3,0.6201,,1.0,1.0,0.701,0.15,2026-06-29 22:06:49
GSRANK-000004,GSRES-000004,GSRQ-000001,KGNODE2-000006,4,0.482,,1.0,1.0,0.82,0.0,2026-06-29 22:06:49
GSRANK-000005,GSRES-000005,GSRQ-000001,KGNODE2-000022,5,0.2073,,0.3333,0.3333,0.74,0.0,2026-06-29 22:06:49
GSRANK-000006,GSRES-000006,GSRQ-000002,KGNODE2-000014,1,0.924,,1.0,0.75,0.74,0.15,2026-06-29 22:06:49
GSRANK-000007,GSRES-000007,GSRQ-000002,KGNODE2-000006,2,0.8945,,1.0,0.5,0.82,0.15,2026-06-29 22:06:49
GSRANK-000008,GSRES-000008,GSRQ-000002,KGNODE2-000003,3,0.3215,,0.5,0.75,0.84,0.0,2026-06-29 22:06:49
GSRANK-000009,GSRES-000009,GSRQ-000002,KGNODE2-000012,4,0.3152,,0.5,0.75,0.777,0.0,2026-06-29 22:06:49
GSRANK-000010,GSRES-000010,GSRQ-000002,KGNODE2-000020,5,0.3144,,0.5,0.75,0.769,0.0,2026-06-29 22:06:49
GSRANK-000011,GSRES-000011,GSRQ-000002,KGNODE2-000017,6,0.3136,,0.5,0.75,0.761,0.0,2026-06-29 22:06:49
GSRANK-000012,GSRES-000012,GSRQ-000002,KGNODE2-000024,7,0.3118,,0.5,0.75,0.743,0.0,2026-06-29 22:06:49
GSRANK-000013,GSRES-000013,GSRQ-000002,KGNODE2-000023,8,0.3093,,0.5,0.75,0.718,0.0,2026-06-29 22:06:49
GSRANK-000014,GSRES-000014,GSRQ-000002,KGNODE2-000028,9,0.3087,,0.5,0.75,0.712,0.0,2026-06-29 22:06:49
GSRANK-000015,GSRES-000015,GSRQ-000003,KGNODE2-000005,1,0.8686,,0.6,1.0,0.811,0.15,2026-06-29 22:06:49
GSRANK-000016,GSRES-000016,GSRQ-000003,KGNODE2-000016,2,0.5734,,0.8,1.0,0.734,0.15,2026-06-29 22:06:49
GSRANK-000017,GSRES-000017,GSRQ-000003,KGNODE2-000021,3,0.5706,,0.8,1.0,0.706,0.15,2026-06-29 22:06:49
GSRANK-000018,GSRES-000018,GSRQ-000003,KGNODE2-000025,4,0.5227,,0.6,1.0,0.727,0.15,2026-06-29 22:06:49
GSRANK-000019,GSRES-000019,GSRQ-000003,KGNODE2-000002,5,0.329,,0.6,0.6,0.89,0.0,2026-06-29 22:06:49
GSRANK-000020,GSRES-000020,GSRQ-000003,KGNODE2-000007,6,0.172,,0.2,0.2,0.92,0.0,2026-06-29 22:06:49
GSRANK-000021,GSRES-000021,GSRQ-000003,KGNODE2-000013,7,0.159,,0.2,0.2,0.79,0.0,2026-06-29 22:06:49
GSRANK-000022,GSRES-000022,GSRQ-000003,KGNODE2-000022,8,0.154,,0.2,0.2,0.74,0.0,2026-06-29 22:06:49
GSRANK-000023,GSRES-000023,GSRQ-000003,KGNODE2-000029,9,0.1501,,0.2,0.2,0.701,0.0,2026-06-29 22:06:49
GSRANK-000024,GSRES-000024,GSRQ-000004,KGNODE2-000016,1,0.7234,,0.5,0.25,0.734,0.15,2026-06-29 22:06:49
GSRANK-000025,GSRES-000025,GSRQ-000004,KGNODE2-000021,2,0.6256,,0.75,0.25,0.706,0.15,2026-06-29 22:06:49
GSRANK-000026,GSRES-000026,GSRQ-000004,KGNODE2-000005,3,0.4811,,1.0,1.0,0.811,0.0,2026-06-29 22:06:49
GSRANK-000027,GSRES-000027,GSRQ-000004,KGNODE2-000025,4,0.4727,,1.0,1.0,0.727,0.0,2026-06-29 22:06:49
GSRANK-000028,GSRES-000028,GSRQ-000004,KGNODE2-000007,5,0.192,,0.25,0.25,0.92,0.0,2026-06-29 22:06:49
GSRANK-000029,GSRES-000029,GSRQ-000004,KGNODE2-000002,6,0.189,,0.25,0.25,0.89,0.0,2026-06-29 22:06:49
