endpoint_id,api_id,service_name,method,route,description,source_file,record_count,status,created_at
ENDPOINT-000001,PRODAPI-000001,semantic_search,POST,/api/v1/search,Semantic graph search endpoint,C:\ProcurementIntelligence\11_intelligence_products\graph_search\graph_search_results_v1.csv,77,active,2026-07-02 17:38:10
ENDPOINT-000002,PRODAPI-000001,question_answering,POST,/api/v1/ask,Graph-backed procurement question answering endpoint,C:\ProcurementIntelligence\11_intelligence_products\question_answering\qa_answer_registry_v1.csv,8,active,2026-07-02 17:38:10
ENDPOINT-000003,PRODAPI-000001,opportunity_intelligence,POST,/api/v1/opportunity/intelligence,Opportunity intelligence endpoint,C:\ProcurementIntelligence\11_intelligence_products\opportunity_intelligence\opportunity_summary_registry_v1.csv,1,active,2026-07-02 17:38:10
ENDPOINT-000004,PRODAPI-000001,supplier_intelligence,POST,/api/v1/supplier/intelligence,Supplier fit and readiness endpoint,C:\ProcurementIntelligence\11_intelligence_products\supplier_intelligence\supplier_score_registry_v1.csv,1,active,2026-07-02 17:38:10
ENDPOINT-000005,PRODAPI-000001,department_intelligence,POST,/api/v1/department/intelligence,Department buying profile endpoint,C:\ProcurementIntelligence\11_intelligence_products\department_intelligence\department_intelligence_summary_registry_v1.csv,1,active,2026-07-02 17:38:10
ENDPOINT-000006,PRODAPI-000001,similar_opportunities,POST,/api/v1/opportunity/similar,Similar opportunity matching endpoint,C:\ProcurementIntelligence\11_intelligence_products\recommendation_engine\similar_opportunity_match_registry_v1.csv,4,active,2026-07-02 17:38:10
ENDPOINT-000007,PRODAPI-000001,recommendations,POST,/api/v1/recommendations,Action recommendation endpoint,C:\ProcurementIntelligence\11_intelligence_products\recommendation_engine\recommendation_registry_v1.csv,9,active,2026-07-02 17:38:10
ENDPOINT-000008,PRODAPI-000001,graph_analytics,GET,/api/v1/graph/analytics,Graph analytics endpoint,C:\ProcurementIntelligence\11_intelligence_products\graph_analytics\graph_analytics_summary_registry_v1.csv,1,active,2026-07-02 17:38:10
ENDPOINT-000009,PRODAPI-000001,ai_procurement_analyst,POST,/api/v1/analyst,AI Procurement Analyst endpoint,C:\ProcurementIntelligence\11_intelligence_products\ai_procurement_analyst\analyst_assessment_registry_v1.csv,1,active,2026-07-02 17:38:10
ENDPOINT-000010,PRODAPI-000001,health,GET,/api/v1/health,API health check endpoint,,1,active,2026-07-02 17:38:10
