reject_id,reason,structured_requirement_id,opportunity_title,source_file,requirement_statement
CREJ-000001,document_or_process_artifact,SREQ-000009,Selective Service System Website Modernization,4238a30a23b544cf94743e18c87feccb_2.bin,RATING BOARD (FOB) DESTINATION RATED ORDER UNDER 14.METHOD OF SOLICITATION REQUEST UNLESS BLOCK IS MARKED THE DEFENSE PRIORITIES REQUEST INVITATION FOR AND ALLOCATIONS FOR QUOTE FOR BID PROPOSAL SEE SCHEDULE SYSTEM - DPAS (15 CFR 700) (RFQ) (IFB) (RFP) 15.DELIVER TO CODE 16.ADMINISTERED BY CODE 90MC00 See Schedule Same As Issuing Office 17a.
CREJ-000002,document_or_process_artifact,SREQ-000010,Selective Service System Website Modernization,4238a30a23b544cf94743e18c87feccb_3.bin,RATING BOARD (FOB) DESTINATION RATED ORDER UNDER 14.METHOD OF SOLICITATION REQUEST UNLESS BLOCK IS MARKED THE DEFENSE PRIORITIES REQUEST INVITATION FOR AND ALLOCATIONS FOR QUOTE FOR BID PROPOSAL SEE SCHEDULE SYSTEM - DPAS (15 CFR 700) (RFQ) (IFB) (RFP) 15.DELIVER TO CODE 16.ADMINISTERED BY CODE 90MC00 See Schedule Same As Issuing Office 17a.
CREJ-000003,document_or_process_artifact,SREQ-000011,Selective Service System Website Modernization,4238a30a23b544cf94743e18c87feccb_4.bin,AMENDMENT OF SOLICITATION/MODIFICATION OF CONTRACT 1.
CREJ-000004,document_or_process_artifact,SREQ-000012,Selective Service System Website Modernization,4238a30a23b544cf94743e18c87feccb_4.bin,"ADMINISTERED BY CODE SSS National Headquarters (NHQ) Selective Service System, 1501 Wilson Blvd, Suite 700 Same As Issuing Office Arlington, VA, 22209, US (Number, street, county, State and ZIP Code) (X) 8."
CREJ-000005,document_or_process_artifact,SREQ-000013,Selective Service System Website Modernization,4238a30a23b544cf94743e18c87feccb_4.bin,AMENDMENT OF SOLICITATION NUMBER 90MC0026R0004 181 (SEE ITEM 11) 9B.
CREJ-000006,document_or_process_artifact,SREQ-000014,Selective Service System Website Modernization,4238a30a23b544cf94743e18c87feccb_4.bin,THIS ITEM ONLY APPLIES TO AMENDMENTS OF SOLICITATIONS □ (8) � The above numbered solicitation is amended as set forth in Item 14.
CREJ-000007,document_or_process_artifact,SREQ-000015,Selective Service System Website Modernization,4238a30a23b544cf94743e18c87feccb_4.bin,"Offers must acknowledge receipt of this amendment prior to the hour and date specified in the solicitation or as amended, by one of the following methods:"
CREJ-000008,document_or_process_artifact,SREQ-000016,Selective Service System Website Modernization,4238a30a23b544cf94743e18c87feccb_4.bin,"(a) By completing items 8 and 15, and returning _____ copies of the amendment;"
CREJ-000009,document_or_process_artifact,SREQ-000017,Selective Service System Website Modernization,4238a30a23b544cf94743e18c87feccb_4.bin,(b) By acknowledging receipt of this amendment on each copy of the offer submitted;
CREJ-000010,document_or_process_artifact,SREQ-000018,Selective Service System Website Modernization,4238a30a23b544cf94743e18c87feccb_4.bin,or (c) By separate letter or electronic communication which includes a reference to the solicitation and amendment numbers.
CREJ-000011,document_or_process_artifact,SREQ-000019,Selective Service System Website Modernization,4238a30a23b544cf94743e18c87feccb_5.bin,"We are currently in the process of preparing our proposal for the Selective Service System Website Modernization Requirement, Solicitation Number 90MC0026R0004."
CREJ-000012,document_or_process_artifact,SREQ-000021,Selective Service System Website Modernization,4238a30a23b544cf94743e18c87feccb_6.bin,CONTRACT ID CODE PAGE OF PAGES AMENDMENT OF SOLICITATION/MODIFICATION OF CONTRACT 2.
CREJ-000013,reject_false_certification,SREQ-000022,Selective Service System Website Modernization,4238a30a23b544cf94743e18c87feccb_6.bin,ADMINISTERED BY (If other than Item 6) CODE 8.
CREJ-000014,document_or_process_artifact,SREQ-000023,Selective Service System Website Modernization,4238a30a23b544cf94743e18c87feccb_6.bin,AMENDMENT OF SOLICITATION NUMBER 9B.
CREJ-000015,document_or_process_artifact,SREQ-000024,Selective Service System Website Modernization,4238a30a23b544cf94743e18c87feccb_6.bin,THIS ITEM ONLY APPLIES TO AMENDMENTS OF SOLICITATIONS The above numbered solicitation is amended as set forth in Item 14.
CREJ-000016,document_or_process_artifact,SREQ-000025,Selective Service System Website Modernization,4238a30a23b544cf94743e18c87feccb_6.bin,"Offers must acknowledge receipt of this amendment prior to the hour and date specified in the solicitation or as amended, by one of the following methods:"
CREJ-000017,document_or_process_artifact,SREQ-000026,Selective Service System Website Modernization,4238a30a23b544cf94743e18c87feccb_6.bin,"(a) By completing items 8 and 15, and returning copies of the amendment;"
CREJ-000018,document_or_process_artifact,SREQ-000027,Selective Service System Website Modernization,4238a30a23b544cf94743e18c87feccb_6.bin,(b) By acknowledging receipt of this amendment on each copy of the offer submitted;
CREJ-000019,document_or_process_artifact,SREQ-000028,Selective Service System Website Modernization,4238a30a23b544cf94743e18c87feccb_6.bin,or (c) By separate letter or electronic communication which includes a reference to the solicitation and amendment numbers.
CREJ-000020,document_or_process_artifact,SREQ-000029,Selective Service System Website Modernization,4238a30a23b544cf94743e18c87feccb_6.bin,"If by virtue of this amendment you desire to change an offer already submitted, such change may be made by letter or electronic communication, provided each letter or electronic"
CREJ-000021,document_or_process_artifact,SREQ-000038,JSCG-P Cristobal Colon Base Life Support,dc7183e7aab342788a9dff786e444f8a_4.bin,METHOD OF SOLICITATION REQUEST UNLESS BLOCK IS MARKED THE DEFENSE PRIORITIES REQUEST INVITATION FOR AND ALLOCATIONS FOR QUOTE FOR BID PROPOSAL SEE SCHEDULE SYSTEM - DPAS (15 CFR 700) (RFQ) (IFB) (RFP) 15.
CREJ-000022,document_or_process_artifact,SREQ-000039,JSCG-P Cristobal Colon Base Life Support,dc7183e7aab342788a9dff786e444f8a_4.bin,SUBMIT INVOICES TO ADDRESS SHOWN IN BLOCK 18a UNLESS BLOCK OFFER BELOW IS CHECKED SEE ADDENDUM 19.
CREJ-000023,document_or_process_artifact,SREQ-000040,JSCG-P Cristobal Colon Base Life Support,dc7183e7aab342788a9dff786e444f8a_4.bin,ITEM NUMBER SCHEDULE OF SUPPLIES/SERVICES QUANTITY UNIT UNIT PRICE AMOUNT (Use Reverse and/or Attach Additional Shee
CREJ-000024,document_or_process_artifact,SREQ-000051,JSCG-P Cristobal Colon Base Life Support,dc7183e7aab342788a9dff786e444f8a_6.bin,CONTRACT ID CODE PAGE OF PAGES AMENDMENT OF SOLICITATION/MODIFICATION OF CONTRACT 2.
CREJ-000025,reject_false_certification,SREQ-000052,JSCG-P Cristobal Colon Base Life Support,dc7183e7aab342788a9dff786e444f8a_6.bin,ADMINISTERED BY (If other than Item 6) CODE 8.
CREJ-000026,document_or_process_artifact,SREQ-000053,JSCG-P Cristobal Colon Base Life Support,dc7183e7aab342788a9dff786e444f8a_6.bin,AMENDMENT OF SOLICITATION NUMBER 9B.
CREJ-000027,document_or_process_artifact,SREQ-000054,JSCG-P Cristobal Colon Base Life Support,dc7183e7aab342788a9dff786e444f8a_6.bin,THIS ITEM ONLY APPLIES TO AMENDMENTS OF SOLICITATIONS The above numbered solicitation is amended as set forth in Item 14.
CREJ-000028,document_or_process_artifact,SREQ-000055,JSCG-P Cristobal Colon Base Life Support,dc7183e7aab342788a9dff786e444f8a_6.bin,"Offers must acknowledge receipt of this amendment prior to the hour and date specified in the solicitation or as amended, by one of the following methods:"
CREJ-000029,document_or_process_artifact,SREQ-000056,JSCG-P Cristobal Colon Base Life Support,dc7183e7aab342788a9dff786e444f8a_6.bin,"(a) By completing items 8 and 15, and returning copies of the amendment;"
CREJ-000030,document_or_process_artifact,SREQ-000057,JSCG-P Cristobal Colon Base Life Support,dc7183e7aab342788a9dff786e444f8a_6.bin,(b) By acknowledging receipt of this amendment on each copy of the offer submitted;
CREJ-000031,document_or_process_artifact,SREQ-000058,JSCG-P Cristobal Colon Base Life Support,dc7183e7aab342788a9dff786e444f8a_6.bin,or (c) By separate letter or electronic communication which includes a reference to the solicitation and amendment numbers.
