canonical_requirement_id,structured_requirement_id,notice_id,opportunity_title,source_file,requirement_type,named_value,actor,action,artifact_type,artifact,quantity,condition,mandatory_flag,business_value,source_statement,confidence
CREQ-000001,SREQ-000001,4238a30a23b544cf94743e18c87feccb,Selective Service System Website Modernization,4238a30a23b544cf94743e18c87feccb_1.bin,proposal_requirement,,,,proposal_volume,proposal volume,four (4,,unknown,medium,"Selective Service System Website Modernization FAQ June 18, 2026 Section 1 – Solicitation Administration & Proposal Submission Q1.1 – Proposal volume clarification - Section L 2.a states four (4) separately submitted bound Volumes but then enumerates five Volumes (I, II, III, IV, V).",0.55
CREQ-000002,SREQ-000002,4238a30a23b544cf94743e18c87feccb,Selective Service System Website Modernization,4238a30a23b544cf94743e18c87feccb_1.bin,review_required,,offeror,submit,proposal_volume,offer,,,unknown,review,Please confirm whether the offeror is expected to submit four bound volumes or five separate volumes.,0.9
CREQ-000003,SREQ-000003,4238a30a23b544cf94743e18c87feccb,Selective Service System Website Modernization,4238a30a23b544cf94743e18c87feccb_1.bin,proposal_requirement,five (5) proposal volumes,offeror,submit,proposal_volume,five (5) proposal volumes,five (5,,yes,medium,Offerors shall submit five (5) proposal volumes as identified in the solicitation:,0.95
CREQ-000004,SREQ-000004,4238a30a23b544cf94743e18c87feccb,Selective Service System Website Modernization,4238a30a23b544cf94743e18c87feccb_1.bin,experience_requirement,Past Performance,offeror,submit,proposal_volume,technical proposal,,in accordance with the proposal instructions and content requirements provided in the solicitation,unknown,high,• Volume I – Administrative Proposal • Volume II – Technical Proposal • Volume III – Past Performance • Volume IV – Price Proposal • Volume V – Contract Documentation Offerors should prepare and submit all five volumes in accordance with the proposal instructions and content requirements provided in the solicitation.,0.9
CREQ-000005,SREQ-000005,4238a30a23b544cf94743e18c87feccb,Selective Service System Website Modernization,4238a30a23b544cf94743e18c87feccb_1.bin,evaluation_requirement,Evaluation Factors,,,proposal_volume,contract documentation,,,unknown,high,"Q1.2) Evaluation Factors -Table 1 identifies Volume V as “Factor 5 – Contract Documentation,” but Section 52.212-2 lists only four evaluation factors.",0.55
CREQ-000006,SREQ-000006,4238a30a23b544cf94743e18c87feccb,Selective Service System Website Modernization,4238a30a23b544cf94743e18c87feccb_1.bin,review_required,,,,certification_or_standard,nist,,,unknown,review,Please confirm whether Volume V is evaluated as a separate factor or treated as an administrative/compliance volume only.,0.55
CREQ-000007,SREQ-000007,4238a30a23b544cf94743e18c87feccb,Selective Service System Website Modernization,4238a30a23b544cf94743e18c87feccb_1.bin,evaluation_requirement,Evaluation Factor,,,proposal_volume,contract documentation,,,unknown,high,Volume V – Contract Documentation corresponds to Evaluation Factor 5.,0.55
CREQ-000008,SREQ-000008,4238a30a23b544cf94743e18c87feccb,Selective Service System Website Modernization,4238a30a23b544cf94743e18c87feccb_1.bin,operational_requirement,,offeror,submit,proposal_volume,offer,,in accordance with the solicitation instructions,yes,medium,Offerors shall submit Volume V in accordance with the solicitation instructions.,0.95
CREQ-000009,SREQ-000020,4238a30a23b544cf94743e18c87feccb,Selective Service System Website Modernization,4238a30a23b544cf94743e18c87feccb_5.bin,experience_requirement,past performance,,,proposal_volume,past performance,,"If you will not be available on June 30, 2026, for verification of this past performance evaluation, please indicate anothe",unknown,high,"If you will not be available on June 30, 2026, for verification of this past performance evaluation, please indicate another POC for the contacting officer/contract specialist to contact.",0.55
CREQ-000010,SREQ-000030,dc7183e7aab342788a9dff786e444f8a,JSCG-P Cristobal Colon Base Life Support,dc7183e7aab342788a9dff786e444f8a_1.bin,staffing_requirement,personnel,government,,certification_or_standard,nist,,,unknown,high,"This is a non-personal services contract under which the personnel rendering the service(s) are not subject, either by the contract's terms or by the manner of its administration, to the supervision and control usually prevailing in relationships between the Government and its employees.",0.7
CREQ-000011,SREQ-000031,dc7183e7aab342788a9dff786e444f8a,JSCG-P Cristobal Colon Base Life Support,dc7183e7aab342788a9dff786e444f8a_1.bin,staffing_requirement,adequate workforce,contractor,maintain,staffing_or_personnel,adequate workforce,,within this Performance Work Statement (PWS),yes,high,The Contractor shall always maintain an adequate workforce for performance of all tasks defined within this Performance Work Statement (PWS).,0.95
CREQ-000012,SREQ-000032,dc7183e7aab342788a9dff786e444f8a,JSCG-P Cristobal Colon Base Life Support,dc7183e7aab342788a9dff786e444f8a_1.bin,operational_requirement,complete the services daily,contractor,complete,,,,"Unless otherwise specified, the Contractor's shall complete the services daily and be readily available for emergency support",yes,medium,"Unless otherwise specified, the Contractor's shall complete the services daily and be readily available for emergency support.",0.85
CREQ-000013,SREQ-000033,dc7183e7aab342788a9dff786e444f8a,JSCG-P Cristobal Colon Base Life Support,dc7183e7aab342788a9dff786e444f8a_1.bin,review_required,,,maintain,,,,,yes,review,Consideration must be made for local holidays due to local labor laws to maintain this schedule.,0.7
CREQ-000014,SREQ-000034,dc7183e7aab342788a9dff786e444f8a,JSCG-P Cristobal Colon Base Life Support,dc7183e7aab342788a9dff786e444f8a_2.bin,review_required,,,support,,,,,unknown,review,"This requirement is for base life support services at Cristobal Colon, formerly known as Fort Sherman, Panama.",0.6
CREQ-000015,SREQ-000035,dc7183e7aab342788a9dff786e444f8a,JSCG-P Cristobal Colon Base Life Support,dc7183e7aab342788a9dff786e444f8a_2.bin,staffing_requirement,staffing,,perform,staffing_or_personnel,staffing,,,yes,high,"and all necessary staffing, management and maintenance required to perform these services.",0.85
CREQ-000016,SREQ-000036,dc7183e7aab342788a9dff786e444f8a,JSCG-P Cristobal Colon Base Life Support,dc7183e7aab342788a9dff786e444f8a_2.bin,proposal_requirement,quote,,submit,proposal_volume,quote,,by 15:00 PM CST on 24 June 2026,unknown,medium,2.1 You are invited to submit a quote/offer in response to Solicitation W912CL-26-R- A004 by 15:00 PM CST on 24 June 2026.,0.75
CREQ-000017,SREQ-000037,dc7183e7aab342788a9dff786e444f8a,JSCG-P Cristobal Colon Base Life Support,dc7183e7aab342788a9dff786e444f8a_2.bin,pricing_requirement,Firm Fixed Price,offeror,award,proposal_volume,quote,,"As a result of this solicitation, the Government intends to award a Firm Fixed Price (FFP) contract resulting from this solicitation to",unknown,medium,"As a result of this solicitation, the Government intends to award a Firm Fixed Price (FFP) contract resulting from this solicitation to the responsible offeror whose quote conforms to these instructions and will be most advantageous to the Government, considering the lowest price technically acce",0.9
CREQ-000018,SREQ-000041,dc7183e7aab342788a9dff786e444f8a,JSCG-P Cristobal Colon Base Life Support,dc7183e7aab342788a9dff786e444f8a_5.bin,evaluation_requirement,Basis for Award,,award,evaluation_or_award,basis for award,,,unknown,high,52.212-2 - EVALUATION--COMMERCIAL PRODUCTS AND COMMERCIAL SERVICES (NOV 2021) Basis for Award.,0.75
CREQ-000019,SREQ-000042,dc7183e7aab342788a9dff786e444f8a,JSCG-P Cristobal Colon Base Life Support,dc7183e7aab342788a9dff786e444f8a_5.bin,review_required,,offeror,award,proposal_volume,offer,,,unknown,review,"The Government will award a contract resulting from this solicitation to the responsible offeror whose offer conforming to the solicitation will be most advantageous to the Government, price and other factors considered.",0.9
CREQ-000020,SREQ-000043,dc7183e7aab342788a9dff786e444f8a,JSCG-P Cristobal Colon Base Life Support,dc7183e7aab342788a9dff786e444f8a_5.bin,review_required,,,evaluate,proposal_volume,quote,,,yes,review,The following factors shall be used to evaluate quotes:,0.8
CREQ-000021,SREQ-000044,dc7183e7aab342788a9dff786e444f8a,JSCG-P Cristobal Colon Base Life Support,dc7183e7aab342788a9dff786e444f8a_5.bin,experience_requirement,Past Performance,,,proposal_volume,past performance,,"in accordance with Federal Acquisition Regulation (FAR) part 13, Simplified Acquisition Procedures and FAR part 12, Acquisition of Commerci",unknown,high,"a) Technical Capability b) Past Performance c) Price This competitive best value selection will be conducted using the Lowest Price Technically Acceptable (LPTA) selection process in accordance with Federal Acquisition Regulation (FAR) part 13, Simplified Acquisition Procedures and FAR part 12, Acquisition of Commercial Items.",0.55
CREQ-000022,SREQ-000045,dc7183e7aab342788a9dff786e444f8a,JSCG-P Cristobal Colon Base Life Support,dc7183e7aab342788a9dff786e444f8a_5.bin,experience_requirement,past performance,,award,proposal_volume,past performance,,,unknown,high,"Although the technical capability factor is of paramount consideration in the award of the contract, past performance and price are also important to the overall contract award decision.",0.75
CREQ-000023,SREQ-000046,dc7183e7aab342788a9dff786e444f8a,JSCG-P Cristobal Colon Base Life Support,dc7183e7aab342788a9dff786e444f8a_5.bin,evaluation_requirement,technical capability,offeror,award,proposal_volume,quote,,"in accordance with FAR Part 9, whose quote conforms to the solicitations requirements and is the lowest evaluated price with an “Acceptable",unknown,high,"One award will be made to the offeror who is deemed responsible in accordance with FAR Part 9, whose quote conforms to the solicitations requirements and is the lowest evaluated price with an “Acceptable” rating in the technical capability assessment.",0.9
