canonical_statement_id,source_count,duplicate_count,opportunity_title,normalized_text_hash,lineage_complete
CGS-000001,2,1,Selective Service System Website Modernization,d122a7f52b89c9e595d7d205562642df106d0843c7b9fb094855e96d2723b04e,yes
CGS-000002,1,0,Selective Service System Website Modernization,ea2ae80103dd31bf14d4ddd5cd538ffbaa88ef36eebaea9f4dd53a066524b64f,yes
CGS-000003,1,0,Selective Service System Website Modernization,dcc63003ca8b1295365c66300b7b1af34269b82ecb7b8bdf9c6fa0a9c8b99ba6,yes
CGS-000004,1,0,Selective Service System Website Modernization,a4a75732a52dfeb971d014ccc8de12a461acf748269b2c73809370f674140526,yes
CGS-000005,4,3,Selective Service System Website Modernization,7fb370b10c05e949752fefae3c3ec56d40b86dfef377615d9e2b73a15a94a6be,yes
CGS-000006,2,1,Selective Service System Website Modernization,7440fbb3c8d0a33664a553131cde8f0b3d814e18bbf89beb5bc2dbac2afe8849,yes
CGS-000007,2,1,Selective Service System Website Modernization,bb2fca3ccb1e176e35c9f0ea6ce3016c8d84050703f89c84a21ca20e97410bd7,yes
CGS-000008,2,1,Selective Service System Website Modernization,8a3830a9d4307cb63acc5304553f80afc3bb7516731bb3d34158765f0b363d3c,yes
CGS-000009,1,0,Selective Service System Website Modernization,5b0c13c920571826dc127c69f5c7a0857719c78024c8a252719165f6ecf5e331,yes
CGS-000010,1,0,Selective Service System Website Modernization,ebb6f91591503a725482ce569c3cc8763bf27e50d9a4fb56d94a1e4ad6608a9e,yes
CGS-000011,4,3,Selective Service System Website Modernization,98e28c884895109bc17a6211dc54b563c6a406defd97e97f9dc814276cd69f68,yes
CGS-000012,1,0,Selective Service System Website Modernization,c44bc12bbf080be458a95135cd2157b4efe65956c263d01d9eadb53363ac0441,yes
CGS-000013,1,0,Selective Service System Website Modernization,2a4e918b40303580d8ca86099735a9e6008cd5d2017fe87577a7448fc9192c12,yes
CGS-000014,1,0,Selective Service System Website Modernization,f2410f04fad8cf444328e209de8487e6aba19527ed46c4602165834998e1f56d,yes
CGS-000015,1,0,Selective Service System Website Modernization,57eff72e8ef6f034e9aa5ffc778ed082d806579e88d88ef1b7293559c676e637,yes
CGS-000016,11,10,Selective Service System Website Modernization,a8713a6103853fa5dbac510c0dfa371ed129347efae634e0897d4eced0548608,yes
