candidate_value,frequency,review_status
Section,5123,pending
SECTION,2137,pending
Part,1126,pending
Performance,722,pending
CONTRACT,659,pending
Contract,652,pending
Attachment,549,pending
Clauses,500,pending
DFARS,405,pending
Page,378,pending
Contractor,338,pending
Number,333,pending
Title,304,pending
Incorporated,300,pending
Reference,300,pending
CLAUSES,281,pending
PART,277,pending
Administration,272,pending
Work,266,pending
Statement,254,pending
DESCRIPTION,237,pending
PAGE,236,pending
Requirements,232,pending
Data,215,pending
Services,200,pending
Division,197,pending
SOLICITATION,193,pending
Supplies,189,pending
CONTINUATION,183,pending
Period,167,pending
DATA,160,pending
Description,159,pending
Subpart,154,pending
Inspection,154,pending
Packaging,150,pending
Marking,150,pending
Acceptance,150,pending
Deliveries,150,pending
Special,150,pending
Effective,150,pending
Novation,150,pending
PROVISIONS,149,pending
Repairs,146,pending
Product,144,pending
ADMINISTRATION,143,pending
HP135,136,pending
Project,134,pending
SCHEDULE,133,pending
EXHIBIT,132,pending
Service,130,pending
Code,130,pending
System,122,pending
National,122,pending
BLOCKS,122,pending
Definitions,118,pending
REQUIREMENTS,116,pending
Export,113,pending
Price,112,pending
Assessment,112,pending
Reporting,112,pending
NUMBER,108,pending
INSTRUCTIONS,105,pending
Defense,103,pending
Authorization,103,pending
Pages,97,pending
DWGLIST,96,pending
Template,96,pending
DOCUMENTS,95,pending
Offeror,93,pending
REPRESENTATIONS,93,pending
Proposal,92,pending
Factor,90,pending
Volume,89,pending
MECHANICAL,83,pending
Addendum,81,pending
SERVICES,79,pending
LIST,77,pending
ATTACHMENTS,77,pending
GENERAL,76,pending
Year,72,pending
Schedule,70,pending
Fiscal,69,pending
Technical,65,pending
Accessibility,64,pending
This,64,pending
VIEWS,64,pending
SPECIAL,62,pending
EVALUATION,62,pending
FACTORS,62,pending
Government,61,pending
Control,61,pending
Reform,61,pending
SUPPLIES,61,pending
Solicitation,58,pending
Award,57,pending
THIS,56,pending
Operations,56,pending
OFFERORS,56,pending
CODE,55,pending
TERMS,55,pending
CONDITIONS,55,pending
Management,55,pending
Block,54,pending
Regulations,53,pending
Vendor,53,pending
PRICE,52,pending
Please,50,pending
Conformance,49,pending
ITEM,49,pending
WORK,49,pending
SF-1449,49,pending
DETAILS,48,pending
Communications,47,pending
PACKAGING,47,pending
MARKING,47,pending
INSPECTION,47,pending
Offerors,46,pending
CERTIFICATIONS,46,pending
General,45,pending
DESCRIPTIONS,45,pending
Prices,45,pending
Acquisition,43,pending
INFORMATION,43,pending
Surge,42,pending
Baseline,42,pending
Combined,42,pending
Synopsis,42,pending
Figures,42,pending
Quoters,41,pending
ONLY,40,pending
SUMMARY,40,pending
Cover,39,pending
Provisions,39,pending
Letter-Administrative,38,pending
Report,38,pending
Federal,38,pending
Wage,38,pending
APPLIES,37,pending
Regulation,37,pending
Quote,37,pending
Clerk,37,pending
B-Supplies,36,pending
STATEMENT,36,pending
Servic,36,pending
FURNISHED,36,pending
TABLE,36,pending
CONTENTS,36,pending
February,36,pending
REFERENCE,35,pending
Questions,34,pending
Consolidated,34,pending
Appropriations,34,pending
Governme,34,pending
Past,33,pending
Exhibit,33,pending
OTHER,33,pending
Site,33,pending
Plan,32,pending
COVER,32,pending
Sudan,31,pending
Accountability,31,pending
ATTACHMENT,31,pending
PROJECT,31,pending
Department,30,pending
Contracting,30,pending
SOLICITATION/CONTRACT,30,pending
FORM,30,pending
PRICES/COSTS,30,pending
EXHIBITS,30,pending
DESCRIPTION/SPECIFICATIONS/WORK,30,pending
Determination,29,pending
ITEMS,28,pending
Salient,28,pending
Characteristics,28,pending
Instructions,27,pending
Order,27,pending
June,26,pending
PERFORMANCE,26,pending
Officer,26,pending
MODIFICATIONS,26,pending
SPECIFIC,25,pending
TASKS,25,pending
Date,25,pending
CONTRACTOR,25,pending
A001,24,pending
APPLICABLE,24,pending
Company,24,pending
Public,24,pending
Have,24,pending
INTENT,24,pending
ARRANGEMENT,24,pending
Upgrade,24,pending
HVAC,24,pending
MANAGEMENT,24,pending
John,23,pending
Amendment,23,pending
Registration,23,pending
CONTRACTING,23,pending
ACQUISITIONS,23,pending
LABOR,23,pending
Verification,22,pending
AMENDMENT,22,pending
UNIT,22,pending
CERTIFICATION,22,pending
Approach,22,pending
Selective,21,pending
Item,21,pending
McCain,21,pending
Representations,21,pending
Certifications,21,pending
Internal,21,pending
Revenue,21,pending
Resumes,21,pending
Count,21,pending
Less,21,pending
Quota,21,pending
Website,20,pending
Modernization,20,pending
Required,20,pending
ADDENDUM,20,pending
Cemetery,20,pending
Labor,20,pending
NOTICE,20,pending
Form,20,pending
ADMINISTERED,19,pending
Requirement,19,pending
Information,19,pending
United,19,pending
States,19,pending
Qualification,19,pending
SCHE,19,pending
PROCEED,19,pending
After,19,pending
Terms,19,pending
Conditions,19,pending
SECTIONS,19,pending
LINE-ITEM,19,pending
Will,19,pending
Identif,18,pending
Serv,18,pending
Produc,18,pending
W912CL26RA004,18,pending
LISTED,18,pending
INCORPORATED,18,pending
Divest,18,pending
Address,18,pending
AWARD,18,pending
Quotes,18,pending
Embassy,18,pending
RESTRICTIONS,18,pending
Accounting,18,pending
Customer,18,pending
Representative,18,pending
Submission,17,pending
PRODUCTS,17,pending
REQUISIT,17,pending
ACCEPTANCE,17,pending
DELIVERIES,17,pending
CONSTRUCTION,17,pending
REGARDING,17,pending
INTENTIONALLY,17,pending
BLANK,17,pending
Operator,17,pending
Note,17,pending
Administrative,16,pending
DEFENSE,16,pending
Scope,16,pending
SUPPLIES/SERVICES,16,pending
DIST,16,pending
FREQUENCY,16,pending
DATE,16,pending
DISTRIBUTION,16,pending
Pricing,16,pending
Changes,16,pending
DOSAR,16,pending
Prescribed,16,pending
KNOWLEDGE,16,pending
CHILD,16,pending
LEFT,16,pending
A-201,16,pending
EXTERIOR,16,pending
ELEVATIONS,16,pending
A-301,16,pending
BUILDING,16,pending
A-310,16,pending
WALL,16,pending
SECTI,16,pending
M-302,16,pending
M-303,16,pending
M-304,16,pending
MECHANI,16,pending
M-501,16,pending
M-502,16,pending
M-503,16,pending
SUBMITTAL,16,pending
PROCED,16,pending
Provide,16,pending
Appendix,15,pending
Checklist,15,pending
Checklists,15,pending
ACRs,15,pending
Construction,15,pending
W15P7T26RA0060006,15,pending
Payment,15,pending
PROCEDURES,15,pending
Offers,14,pending
Perfor,14,pending
Non-Disclosure,14,pending
Statements,14,pending
Tentage,14,pending
Tents,14,pending
Bulk,14,pending
Fuel,14,pending
Name,14,pending
Request,14,pending
GOVERNMENT,14,pending
INCORPORATES,14,pending
Furnished,14,pending
NATIONAL,14,pending
AUTHORIZATION,14,pending
FISCAL,14,pending
YEAR,14,pending
PUBLIC,14,pending
RELEASE,14,pending
Energy,14,pending
Person,13,pending
Place,13,pending
Additionally,13,pending
Scorecard,13,pending
April,13,pending
Divestment,13,pending
Iran,13,pending
Sanctions,13,pending
RFIs,13,pending
REQUISITION,13,pending
REQUEST,12,pending
SYSTEM,12,pending
AMENDMENTS,12,pending
Cardstock,12,pending
Consumables,12,pending
DEFINITIONS,12,pending
PROPERTY,12,pending
RESPO,12,pending
PUBLICATIONS,12,pending
BLICATIONS,12,pending
TECHNICAL,12,pending
Task,12,pending
TSDB,12,pending
Terrorist,12,pending
Screening,12,pending
Database,12,pending
Professional,12,pending
Conduct,12,pending
Substantiated,12,pending
Chapter,12,pending
Bavak,12,pending
Completed,12,pending
INCLUDES,12,pending
MODIFICATION,12,pending
Upgr,12,pending
COORDINATION,12,pending
Sect,12,pending
Entry,12,pending
Personnel,12,pending
Evaluation,11,pending
SOLICITATION/MODIFICATION,11,pending
AMENDMENT/MODIFICATION,11,pending
SOLICITATIONS,11,pending
Firm,11,pending
Fixed,11,pending
Veterans,11,pending
Affairs,11,pending
DISTRICT,11,pending
AGRONOMIST,11,pending
SCALE,11,pending
DESIGN,11,pending
Location,11,pending
Factors,10,pending
CATEGORY,10,pending
TITLE,10,pending
Provision,10,pending
Business,10,pending
BASIS,10,pending
UNDER,9,pending
Unit,9,pending
Inventory,9,pending
Repair,9,pending
Mexico,9,pending
Table,8,pending
Office,8,pending
Base,8,pending
QUANTITY,8,pending
AMOUNT,8,pending
Questionnaire,8,pending
Standards,8,pending
Safety,8,pending
Portal,8,pending
Prime,8,pending
Entity,8,pending
Agreement,8,pending
DEPARTMENT,8,pending
Software,8,pending
Rates,8,pending
Specific,8,pending
Total,8,pending
Design,8,pending
PAGES,7,pending
Support,7,pending
Sand,7,pending
List,7,pending
SAFETY,7,pending
Occupational,7,pending
Quantity,7,pending
Emergency,7,pending
HAZARD,7,pending
ASSESSMENT,7,pending
RIESGOS,7,pending
Interior,7,pending
WITH,7,pending
Line-Item,7,pending
Identified,7,pending
ACMs,7,pending
NESHAPSubpart,7,pending
REGISTER,7,pending
WAGE,7,pending
DETERMINATIONS,7,pending
SERVICE,7,pending
EMPLOYMENT,7,pending
STANDARDS,7,pending
Secretary,7,pending
Director,7,pending
Determinations,7,pending
Last,7,pending
Revision,7,pending
Road,6,pending
Market,6,pending
Research,6,pending
Rate,6,pending
Tables,6,pending
Unrooted,6,pending
Heig,6,pending
Height-caliper,6,pending
FIGURE,6,pending
Line,6,pending
Time,6,pending
Fill,6,pending
Paragraph,6,pending
CONTRACTORS,6,pending
SUBCONTRACTORS,6,pending
Spanish,6,pending
Desert,6,pending
DUCT,6,pending
WATER,6,pending
Counties,6,pending
Fringe,6,pending
Benefits,6,pending
Follow,6,pending
Listing,6,pending
OCCUPATION,6,pending
FOOTNOTE,6,pending
RATE,6,pending
Clerical,6,pending
Occupations,6,pending
Assistant,6,pending
Court,6,pending
Reporter,6,pending
Dispatcher,6,pending
Motor,6,pending
Vehicle,6,pending
Document,6,pending
Preparation,6,pending
Documentation,5,pending
Reverse,5,pending
Attach,5,pending
Additional,5,pending
Shee,5,pending
Commercial,5,pending
COMPLIANCE,5,pending
Email,5,pending
Ornamental,5,pending
Grass,5,pending
Termination,5,pending
Cape,5,pending
Canaveral,5,pending
FA568226Q0014,5,pending
Small,5,pending
Covered,5,pending
Associate,5,pending
Corps,5,pending
ROUND,5,pending
Specification,5,pending
INTERIOR,5,pending
LOCATION,5,pending
COORDINATE,5,pending
CENTER,5,pending
Duplicating,5,pending
Machine,5,pending
Volumes,4,pending
DESTINATION,4,pending
ORDER,4,pending
ACKNOWLEDGMENT,4,pending
PLACE,4,pending
SUBTITLE,4,pending
Telephone,4,pending
Contact,4,pending
Joplin,4,pending
Triangle,4,pending
Operational,4,pending
Dignity,4,pending
Clause,4,pending
Excel,4,pending
Notice,4,pending
Irrigation,4,pending
Paperwork,4,pending
Reduction,4,pending
Renovation,4,pending
North,4,pending
Carolina,4,pending
PAYMENT,4,pending
QUESTIONS,4,pending
ANSWERS,4,pending
EQUIPMENT,4,pending
HIPAA,4,pending
Rules,4,pending
Master,4,pending
Patient,4,pending
Index,4,pending
Equipment,4,pending
Test,4,pending
Protocol,4,pending
Speed,4,pending
Gate,4,pending
Speedgate,4,pending
Pesos,4,pending
RETURN,4,pending
