candidate_value,frequency,quality_score,proposed_labels,example_number,notice_id,opportunity_title,context_snippet
SECTION,2137,80,compliance_or_clause;buyer_process_or_document,1,4238a30a23b544cf94743e18c87feccb,Selective Service System Website Modernization,"Selective Service System Website Modernization FAQ June 18, 2026 Section 1 – Solicitation Administration & Proposal Submission Q1.1 – Proposal volume clarification - Section L 2.a states four "
SECTION,2137,80,compliance_or_clause;buyer_process_or_document,2,4238a30a23b544cf94743e18c87feccb,Selective Service System Website Modernization,"Selective Service System Website Modernization FAQ June 18, 2026 Section 1 – Solicitation Administration & Proposal Submission Q1.1 – Proposal volume clarification - Section L 2.a states four "
SECTION,2137,80,compliance_or_clause;buyer_process_or_document,3,4238a30a23b544cf94743e18c87feccb,Selective Service System Website Modernization,"| Section L 2.a, 23 A) We apologize for the confusion. Section 1 | Section L 2.a states four | Section L 2.a | Section 52.212-2 l"
SECTION,2137,80,compliance_or_clause;buyer_process_or_document,4,4238a30a23b544cf94743e18c87feccb,Selective Service System Website Modernization,it all five volumes in accordance with the proposal instructions and content requirements provided in the solicitation. Section 1 | Section L 2.a states four | Section L 2.a | Section 52.212-2 lists only four evaluation factors. Please confirm whe
SECTION,2137,80,compliance_or_clause;buyer_process_or_document,5,4238a30a23b544cf94743e18c87feccb,Selective Service System Website Modernization,it all five volumes in accordance with the proposal instructions and content requirements provided in the solicitation. Section 1 | Section L 2.a states four | Section L 2.a | Section 52.212-2 lists only four evaluation factors. Please confirm whe
DFARS,405,80,compliance_or_clause,1,dd067ed7e23d469dab6e5a622c30460b,Marketplace for Acquisition of Professional Services (MAPS),Title Effective | Part 12. No commercial orders will be used to develop commercial capabilities. Any cont | Part 42 and DFARS PGI Subpart 242.9 W15P7T26RA0060006 Page 32 of 258 Novation is not au | Part 42 and DFARS DFARS PG
DFARS,405,80,compliance_or_clause,2,dd067ed7e23d469dab6e5a622c30460b,Marketplace for Acquisition of Professional Services (MAPS),Title Effective | Part 12. No commercial orders will be used to develop commercial capabilities. Any cont | Part 42 and DFARS PGI Subpart 242.9 W15P7T26RA0060006 Page 32 of 258 Novation is not au | Part 42 and DFARS DFARS PG
DFARS,405,80,compliance_or_clause,3,dd067ed7e23d469dab6e5a622c30460b,Marketplace for Acquisition of Professional Services (MAPS),Title Effective | Part 12. No commercial orders will be used to develop commercial capabilities. Any cont | Part 42 and DFARS PGI Subpart 242.9 W15P7T26RA0060006 Page 32 of 258 Novation is not au | Part 42 and DFARS DFARS PG
DFARS,405,80,compliance_or_clause,4,dd067ed7e23d469dab6e5a622c30460b,Marketplace for Acquisition of Professional Services (MAPS),Title Effective | Part 12. No commercial orders will be used to develop commercial capabilities. Any cont | Part 42 and DFARS PGI Subpart 242.9 W15P7T26RA0060006 Page 32 of 258 Novation is not au | Part 42 and DFARS DFARS PG
DFARS,405,80,compliance_or_clause,5,dd067ed7e23d469dab6e5a622c30460b,Marketplace for Acquisition of Professional Services (MAPS),Title Effective | Part 12. No commercial orders will be used to develop commercial capabilities. Any cont | Part 42 and DFARS PGI Subpart 242.9 W15P7T26RA0060006 Page 32 of 258 Novation is not au | Part 42 and DFARS DFARS PG
SCHEDULE,133,80,contract_vehicle_or_method;deliverable_or_plan,1,4238a30a23b544cf94743e18c87feccb,Selective Service System Website Modernization,"[""instructions to offerors"", ""section l""], ""pricing_schedule"": Section 1 | Section L 2.a states four | Section L 2.a | Section 52.212-2 lists only four evaluation factors. Please c"
SCHEDULE,133,80,contract_vehicle_or_method;deliverable_or_plan,2,4238a30a23b544cf94743e18c87feccb,Selective Service System Website Modernization,"[""instructions to offerors"", ""section l""], ""pricing_schedule"": Section 1 | Section L 2.a states four | Section L 2.a | Section 52.212-2 lists only four evaluation factors. Please c"
SCHEDULE,133,80,contract_vehicle_or_method;deliverable_or_plan,3,4238a30a23b544cf94743e18c87feccb,Selective Service System Website Modernization,EST UNLESS BLOCK IS MARKED THE DEFENSE PRIORITIES REQUEST INVITATION FOR AND ALLOCATIONS FOR QUOTE FOR BID PROPOSAL SEE SCHEDULE SYSTEM - DPAS (15 CFR 700) (RFQ) (IFB) (RFP) 15.DELIVER TO CODE 16.ADMINISTERED BY CODE 90MC00 See Schedule Same As Iss
SCHEDULE,133,80,contract_vehicle_or_method;deliverable_or_plan,4,4238a30a23b544cf94743e18c87feccb,Selective Service System Website Modernization,"[""instructions to offerors"", ""submit proposal""], ""pricing_schedule"": Section II | Section III | Section IV | Section V | section 743 of Division E | Section 1634 of Pub. L. 115-91 | Sect"
SCHEDULE,133,80,contract_vehicle_or_method;deliverable_or_plan,5,4238a30a23b544cf94743e18c87feccb,Selective Service System Website Modernization,"[""instructions to offerors"", ""submit proposal""], ""pricing_schedule"": Section II | Section III | Section IV | Section V | section 743 of Division E | Section 1634 of Pub. L. 115-91 | Sect"
EXHIBIT,132,80,buyer_process_or_document,1,b9d0ecdbad264ff4a301649e05fdf09f,Socket Head Cap Screws, DELIVERED PRICES (FOB DESTINATION) REFERENCE/PR: Attachment 1. 0002 DATA REQUIREMENTS 1 EA ___NSP____ ___NSP_____ A001 EXHIBIT A | Attachment 2. 0002 DATA REQUIREMENTS 1 EA ___NSP____ ___NSP_____ A001 EXHIBIT B | EXHIBIT A | EXHIBIT B
EXHIBIT,132,80,buyer_process_or_document,2,b9d0ecdbad264ff4a301649e05fdf09f,Socket Head Cap Screws,PRICE LISTING/GSA Is this a PRICE LISTED item? Attachment 1. 0002 DATA REQUIREMENTS 1 EA ___NSP____ ___NSP_____ A001 EXHIBIT A | Attachment 2. 0002 DATA REQUIREMENTS 1 EA ___NSP____ ___NSP_____ A001 EXHIBIT B | EXHIBIT A | EXHIBIT B
EXHIBIT,132,80,buyer_process_or_document,3,b9d0ecdbad264ff4a301649e05fdf09f,Socket Head Cap Screws," Yes, include copy of price list with your quote. Attachment 1. 0002 DATA REQUIREMENTS 1 EA ___NSP____ ___NSP_____ A001 EXHIBIT A | Attachment 2. 0002 DATA REQUIREMENTS 1 EA ___NSP____ ___NSP_____ A001 EXHIBIT B | EXHIBIT A | EXHIBIT B"
EXHIBIT,132,80,buyer_process_or_document,4,b9d0ecdbad264ff4a301649e05fdf09f,Socket Head Cap Screws,"A, DUTY INCLUDED IN PRICE Yes ___ No ___ SHIP TO: Attachment 1. 0002 DATA REQUIREMENTS 1 EA ___NSP____ ___NSP_____ A001 EXHIBIT A | Attachment 2. 0002 DATA REQUIREMENTS 1 EA ___NSP____ ___NSP_____ A001 EXHIBIT B | EXHIBIT A | EXHIBIT B"
EXHIBIT,132,80,buyer_process_or_document,5,b9d0ecdbad264ff4a301649e05fdf09f,Socket Head Cap Screws,"valuation criteria"", ""lpta""], ""pricing_schedule"": Attachment 1. 0002 DATA REQUIREMENTS 1 EA ___NSP____ ___NSP_____ A001 EXHIBIT A | Attachment 2. 0002 DATA REQUIREMENTS 1 EA ___NSP____ ___NSP_____ A001 EXHIBIT B | EXHIBIT A | EXHIBIT B"
EVALUATION,62,80,buyer_process_or_document,1,4238a30a23b544cf94743e18c87feccb,Selective Service System Website Modernization,"e Volumes (I, II, III, IV, V). Section 1 | Section L 2.a states four | Section L 2.a | Section 52.212-2 lists only four evaluation factors. Please confirm whether Volume V is e | Section 2 | Section L | Section 2.4. Please clarify the level and forma"
EVALUATION,62,80,buyer_process_or_document,2,4238a30a23b544cf94743e18c87feccb,Selective Service System Website Modernization,"e Volumes (I, II, III, IV, V). Section 1 | Section L 2.a states four | Section L 2.a | Section 52.212-2 lists only four evaluation factors. Please confirm whether Volume V is e | Section 2 | Section L | Section 2.4. Please clarify the level and forma"
EVALUATION,62,80,buyer_process_or_document,3,4238a30a23b544cf94743e18c87feccb,Selective Service System Website Modernization,e apologize for the confusion. Section 1 | Section L 2.a states four | Section L 2.a | Section 52.212-2 lists only four evaluation factors. Please confirm whether Volume V is e | Section 2 | Section L | Section 2.4. Please clarify the level and forma
EVALUATION,62,80,buyer_process_or_document,4,4238a30a23b544cf94743e18c87feccb,Selective Service System Website Modernization, provided in the solicitation. Section 1 | Section L 2.a states four | Section L 2.a | Section 52.212-2 lists only four evaluation factors. Please confirm whether Volume V is e | Section 2 | Section L | Section 2.4. Please clarify the level and forma
EVALUATION,62,80,buyer_process_or_document,5,4238a30a23b544cf94743e18c87feccb,Selective Service System Website Modernization, provided in the solicitation. Section 1 | Section L 2.a states four | Section L 2.a | Section 52.212-2 lists only four evaluation factors. Please confirm whether Volume V is e | Section 2 | Section L | Section 2.4. Please clarify the level and forma
ATTACHMENT,31,80,buyer_process_or_document,1,4238a30a23b544cf94743e18c87feccb,Selective Service System Website Modernization,AGES AMENDMENT OF SOLICITATION/MODIFICATION OF CONTRACT 2. section headings | Section IV | Part 2.4 | Part 2 | Part 3 | Attachment 1 Selective Service System Website Modernization Requirement Q | Attachment 1 A5 | Attachment 1 A9 | Attachment 1 Q14 |
ATTACHMENT,31,80,buyer_process_or_document,2,4238a30a23b544cf94743e18c87feccb,Selective Service System Website Modernization,AMENDMENT/MODIFICATION NUMBER 3. section headings | Section IV | Part 2.4 | Part 2 | Part 3 | Attachment 1 Selective Service System Website Modernization Requirement Q | Attachment 1 A5 | Attachment 1 A9 | Attachment 1 Q14 |
ATTACHMENT,31,80,buyer_process_or_document,3,4238a30a23b544cf94743e18c87feccb,Selective Service System Website Modernization,ADMINISTERED BY (If other than Item 6) CODE 8. section headings | Section IV | Part 2.4 | Part 2 | Part 3 | Attachment 1 Selective Service System Website Modernization Requirement Q | Attachment 1 A5 | Attachment 1 A9 | Attachment 1 Q14 |
ATTACHMENT,31,80,buyer_process_or_document,4,4238a30a23b544cf94743e18c87feccb,Selective Service System Website Modernization,AMENDMENT OF SOLICITATION NUMBER 9B. section headings | Section IV | Part 2.4 | Part 2 | Part 3 | Attachment 1 Selective Service System Website Modernization Requirement Q | Attachment 1 A5 | Attachment 1 A9 | Attachment 1 Q14 |
ATTACHMENT,31,80,buyer_process_or_document,5,4238a30a23b544cf94743e18c87feccb,Selective Service System Website Modernization, numbered solicitation is amended as set forth in Item 14. section headings | Section IV | Part 2.4 | Part 2 | Part 3 | Attachment 1 Selective Service System Website Modernization Requirement Q | Attachment 1 A5 | Attachment 1 A9 | Attachment 1 Q14 |
AMENDMENT,22,80,buyer_process_or_document,1,4238a30a23b544cf94743e18c87feccb,Selective Service System Website Modernization,AMENDMENT OF SOLICITATION/MODIFICATION OF CONTRACT 1. section headings
AMENDMENT,22,80,buyer_process_or_document,2,4238a30a23b544cf94743e18c87feccb,Selective Service System Website Modernization,AMENDMENT/MODIFICATION NUMBER 3. section headings
AMENDMENT,22,80,buyer_process_or_document,3,4238a30a23b544cf94743e18c87feccb,Selective Service System Website Modernization,AMENDMENT OF SOLICITATION NUMBER 90MC0026R0004 181 (SEE ITEM 11) 9B. section headings
AMENDMENT,22,80,buyer_process_or_document,4,4238a30a23b544cf94743e18c87feccb,Selective Service System Website Modernization,THIS ITEM ONLY APPLIES TO AMENDMENTS OF SOLICITATIONS □ (8) � The above numbered solicitation is amended as set forth in Item 14. section headings
AMENDMENT,22,80,buyer_process_or_document,5,4238a30a23b544cf94743e18c87feccb,Selective Service System Website Modernization,"Offers must acknowledge receipt of this amendment prior to the hour and date specified in the solicitation or as amended, by one of the following methods: section headin"
Section,5123,70,compliance_or_clause;buyer_process_or_document,1,4238a30a23b544cf94743e18c87feccb,Selective Service System Website Modernization,"Selective Service System Website Modernization FAQ June 18, 2026 Section 1 – Solicitation Administration & Proposal Submission Q1.1 – Proposal volume clarification - Section L 2.a states four "
Section,5123,70,compliance_or_clause;buyer_process_or_document,2,4238a30a23b544cf94743e18c87feccb,Selective Service System Website Modernization,"Selective Service System Website Modernization FAQ June 18, 2026 Section 1 – Solicitation Administration & Proposal Submission Q1.1 – Proposal volume clarification - Section L 2.a states four "
Section,5123,70,compliance_or_clause;buyer_process_or_document,3,4238a30a23b544cf94743e18c87feccb,Selective Service System Website Modernization,"| Section L 2.a, 23 A) We apologize for the confusion. Section 1 | Section L 2.a states four | Section L 2.a | Section 52.212-2 l"
Section,5123,70,compliance_or_clause;buyer_process_or_document,4,4238a30a23b544cf94743e18c87feccb,Selective Service System Website Modernization,it all five volumes in accordance with the proposal instructions and content requirements provided in the solicitation. Section 1 | Section L 2.a states four | Section L 2.a | Section 52.212-2 lists only four evaluation factors. Please confirm whe
Section,5123,70,compliance_or_clause;buyer_process_or_document,5,4238a30a23b544cf94743e18c87feccb,Selective Service System Website Modernization,it all five volumes in accordance with the proposal instructions and content requirements provided in the solicitation. Section 1 | Section L 2.a states four | Section L 2.a | Section 52.212-2 lists only four evaluation factors. Please confirm whe
Attachment,549,70,buyer_process_or_document,1,4238a30a23b544cf94743e18c87feccb,Selective Service System Website Modernization,AGES AMENDMENT OF SOLICITATION/MODIFICATION OF CONTRACT 2. section headings | Section IV | Part 2.4 | Part 2 | Part 3 | Attachment 1 Selective Service System Website Modernization Requirement Q | Attachment 1 A5 | Attachment 1 A9 | Attachment 1 Q14 |
Attachment,549,70,buyer_process_or_document,2,4238a30a23b544cf94743e18c87feccb,Selective Service System Website Modernization,AMENDMENT/MODIFICATION NUMBER 3. section headings | Section IV | Part 2.4 | Part 2 | Part 3 | Attachment 1 Selective Service System Website Modernization Requirement Q | Attachment 1 A5 | Attachment 1 A9 | Attachment 1 Q14 |
Attachment,549,70,buyer_process_or_document,3,4238a30a23b544cf94743e18c87feccb,Selective Service System Website Modernization,ADMINISTERED BY (If other than Item 6) CODE 8. section headings | Section IV | Part 2.4 | Part 2 | Part 3 | Attachment 1 Selective Service System Website Modernization Requirement Q | Attachment 1 A5 | Attachment 1 A9 | Attachment 1 Q14 |
Attachment,549,70,buyer_process_or_document,4,4238a30a23b544cf94743e18c87feccb,Selective Service System Website Modernization,AMENDMENT OF SOLICITATION NUMBER 9B. section headings | Section IV | Part 2.4 | Part 2 | Part 3 | Attachment 1 Selective Service System Website Modernization Requirement Q | Attachment 1 A5 | Attachment 1 A9 | Attachment 1 Q14 |
