cluster_id,canonical_statement_id,normalized_text_hash,opportunity_title,cluster_size,duplicate_count,canonical_text,created_at
CLUSTER-000001,CGS-000001,d122a7f52b89c9e595d7d205562642df106d0843c7b9fb094855e96d2723b04e,Selective Service System Website Modernization,2,1,"Selective Service System Website Modernization FAQ June 18, 2026 Section 1 - Solicitation Administration & Proposal Submission Q1.1 - Proposal volume clarification - Section L 2.a states four (4) separately submitted bound Volumes but then enumerates five Volumes (I, II, III, IV, V).",2026-06-26 01:46:47
CLUSTER-000002,CGS-000005,7fb370b10c05e949752fefae3c3ec56d40b86dfef377615d9e2b73a15a94a6be,Selective Service System Website Modernization,4,3,• Volume I - Administrative Proposal • Volume II - Technical Proposal • Volume III - Past Performance • Volume IV - Price Proposal • Volume V - Contract Documentation Offerors should prepare and submit all five volumes in accordance with the proposal instructions and content requirements provided in the solicitation.,2026-06-26 01:46:47
CLUSTER-000003,CGS-000006,7440fbb3c8d0a33664a553131cde8f0b3d814e18bbf89beb5bc2dbac2afe8849,Selective Service System Website Modernization,2,1,"Q1.2) Evaluation Factors -Table 1 identifies Volume V as ""Factor 5 - Contract Documentation,"" but Section 52.212-2 lists only four evaluation factors.",2026-06-26 01:46:47
CLUSTER-000004,CGS-000007,bb2fca3ccb1e176e35c9f0ea6ce3016c8d84050703f89c84a21ca20e97410bd7,Selective Service System Website Modernization,2,1,Please confirm whether Volume V is evaluated as a separate factor or treated as an administrative/compliance volume only.,2026-06-26 01:46:47
CLUSTER-000005,CGS-000008,8a3830a9d4307cb63acc5304553f80afc3bb7516731bb3d34158765f0b363d3c,Selective Service System Website Modernization,2,1,Volume V - Contract Documentation corresponds to Evaluation Factor 5.,2026-06-26 01:46:47
CLUSTER-000006,CGS-000011,98e28c884895109bc17a6211dc54b563c6a406defd97e97f9dc814276cd69f68,Selective Service System Website Modernization,4,3,RATING BOARD (FOB) DESTINATION RATED ORDER UNDER 14.METHOD OF SOLICITATION REQUEST UNLESS BLOCK IS MARKED THE DEFENSE PRIORITIES REQUEST INVITATION FOR AND ALLOCATIONS FOR QUOTE FOR BID PROPOSAL SEE SCHEDULE SYSTEM - DPAS (15 CFR 700) (RFQ) (IFB) (RFP) 15.DELIVER TO CODE 16.ADMINISTERED BY CODE 90MC00 See Schedule Same As Issuing Office 17a.,2026-06-26 01:46:47
CLUSTER-000007,CGS-000016,a8713a6103853fa5dbac510c0dfa371ed129347efae634e0897d4eced0548608,Selective Service System Website Modernization,11,10,"Offers must acknowledge receipt of this amendment prior to the hour and date specified in the solicitation or as amended, by one of the following methods:",2026-06-26 01:46:47
CLUSTER-000008,CGS-000017,b68792c1413364ff8c04af814f8a6e4753f401e862c85d14f1bfa8c27d47df6c,Selective Service System Website Modernization,5,4,"(a) By completing items 8 and 15, and returning ___ copies of the amendment;",2026-06-26 01:46:47
CLUSTER-000009,CGS-000018,172aa400fbffe2f933403b7cd735b1be45b9612b42af99688647b8785dd070c0,Selective Service System Website Modernization,11,10,(b) By acknowledging receipt of this amendment on each copy of the offer submitted;,2026-06-26 01:46:47
CLUSTER-000010,CGS-000019,e47f3ccd8f954bb59ea9cd2f00dbb507d94cc2c41b5ebaa825f3ebb3a6a6bb7b,Selective Service System Website Modernization,10,9,or (c) By separate letter or electronic communication which includes a reference to the solicitation and amendment numbers.,2026-06-26 01:46:47
