node_lineage_id,node_id,semantic_object_v3_id,semantic_object_id,source_semantic_registry,source_graph_validation,source_staging_record,required_action,created_at
KGLIN-000001,KGNODE-000001,SPO3-000001,SPO2-000001,C:\ProcurementIntelligence\09_knowledge_graph\semantic_procurement_object_registry_v3.csv,C:\ProcurementIntelligence\09_knowledge_graph\semantic_graph_readiness_validation_v1.csv,KGSTN-000001,none,2026-06-29 04:12:22
KGLIN-000002,KGNODE-000002,SPO3-000002,SPO2-000002,C:\ProcurementIntelligence\09_knowledge_graph\semantic_procurement_object_registry_v3.csv,C:\ProcurementIntelligence\09_knowledge_graph\semantic_graph_readiness_validation_v1.csv,KGSTN-000002,none,2026-06-29 04:12:22
KGLIN-000003,KGNODE-000003,SPO3-000004,SPO2-000004,C:\ProcurementIntelligence\09_knowledge_graph\semantic_procurement_object_registry_v3.csv,C:\ProcurementIntelligence\09_knowledge_graph\semantic_graph_readiness_validation_v1.csv,KGSTN-000003,none,2026-06-29 04:12:22
KGLIN-000004,KGNODE-000004,SPO3-000006,SPO2-000006,C:\ProcurementIntelligence\09_knowledge_graph\semantic_procurement_object_registry_v3.csv,C:\ProcurementIntelligence\09_knowledge_graph\semantic_graph_readiness_validation_v1.csv,KGSTN-000004,none,2026-06-29 04:12:22
KGLIN-000005,KGNODE-000005,SPO3-000007,SPO2-000007,C:\ProcurementIntelligence\09_knowledge_graph\semantic_procurement_object_registry_v3.csv,C:\ProcurementIntelligence\09_knowledge_graph\semantic_graph_readiness_validation_v1.csv,KGSTN-000005,none,2026-06-29 04:12:22
KGLIN-000006,KGNODE-000006,SPO3-000022,SPO2-000022,C:\ProcurementIntelligence\09_knowledge_graph\semantic_procurement_object_registry_v3.csv,C:\ProcurementIntelligence\09_knowledge_graph\semantic_graph_readiness_validation_v1.csv,KGSTN-000006,none,2026-06-29 04:12:22
KGLIN-000007,KGNODE-000007,SPO3-000023,SPO2-000023,C:\ProcurementIntelligence\09_knowledge_graph\semantic_procurement_object_registry_v3.csv,C:\ProcurementIntelligence\09_knowledge_graph\semantic_graph_readiness_validation_v1.csv,KGSTN-000007,none,2026-06-29 04:12:22
KGLIN-000008,KGNODE-000008,SPO3-000024,SPO2-000025,C:\ProcurementIntelligence\09_knowledge_graph\semantic_procurement_object_registry_v3.csv,C:\ProcurementIntelligence\09_knowledge_graph\semantic_graph_readiness_validation_v1.csv,KGSTN-000008,none,2026-06-29 04:12:22
KGLIN-000009,KGNODE-000009,SPO3-000025,SPO2-000026,C:\ProcurementIntelligence\09_knowledge_graph\semantic_procurement_object_registry_v3.csv,C:\ProcurementIntelligence\09_knowledge_graph\semantic_graph_readiness_validation_v1.csv,KGSTN-000009,none,2026-06-29 04:12:22
KGLIN-000010,KGNODE-000010,SPO3-000026,SPO2-000029,C:\ProcurementIntelligence\09_knowledge_graph\semantic_procurement_object_registry_v3.csv,C:\ProcurementIntelligence\09_knowledge_graph\semantic_graph_readiness_validation_v1.csv,KGSTN-000010,none,2026-06-29 04:12:22
KGLIN-000011,KGNODE-000011,SPO3-000028,SPO2-000031,C:\ProcurementIntelligence\09_knowledge_graph\semantic_procurement_object_registry_v3.csv,C:\ProcurementIntelligence\09_knowledge_graph\semantic_graph_readiness_validation_v1.csv,KGSTN-000011,none,2026-06-29 04:12:22
KGLIN-000012,KGNODE-000012,SPO3-000029,SPO2-000032,C:\ProcurementIntelligence\09_knowledge_graph\semantic_procurement_object_registry_v3.csv,C:\ProcurementIntelligence\09_knowledge_graph\semantic_graph_readiness_validation_v1.csv,KGSTN-000012,none,2026-06-29 04:12:22
KGLIN-000013,KGNODE-000013,SPO3-000003,SPO2-000003,C:\ProcurementIntelligence\09_knowledge_graph\semantic_procurement_object_registry_v3.csv,C:\ProcurementIntelligence\09_knowledge_graph\semantic_graph_readiness_validation_v1.csv,KGSTN-000013,review_before_graph,2026-06-29 04:12:22
KGLIN-000014,KGNODE-000014,SPO3-000005,SPO2-000005,C:\ProcurementIntelligence\09_knowledge_graph\semantic_procurement_object_registry_v3.csv,C:\ProcurementIntelligence\09_knowledge_graph\semantic_graph_readiness_validation_v1.csv,KGSTN-000014,review_before_graph,2026-06-29 04:12:22
KGLIN-000015,KGNODE-000015,SPO3-000008,SPO2-000008,C:\ProcurementIntelligence\09_knowledge_graph\semantic_procurement_object_registry_v3.csv,C:\ProcurementIntelligence\09_knowledge_graph\semantic_graph_readiness_validation_v1.csv,KGSTN-000015,review_before_graph,2026-06-29 04:12:22
KGLIN-000016,KGNODE-000016,SPO3-000009,SPO2-000009,C:\ProcurementIntelligence\09_knowledge_graph\semantic_procurement_object_registry_v3.csv,C:\ProcurementIntelligence\09_knowledge_graph\semantic_graph_readiness_validation_v1.csv,KGSTN-000016,review_before_graph,2026-06-29 04:12:22
KGLIN-000017,KGNODE-000017,SPO3-000010,SPO2-000010,C:\ProcurementIntelligence\09_knowledge_graph\semantic_procurement_object_registry_v3.csv,C:\ProcurementIntelligence\09_knowledge_graph\semantic_graph_readiness_validation_v1.csv,KGSTN-000017,review_before_graph,2026-06-29 04:12:22
KGLIN-000018,KGNODE-000018,SPO3-000011,SPO2-000011,C:\ProcurementIntelligence\09_knowledge_graph\semantic_procurement_object_registry_v3.csv,C:\ProcurementIntelligence\09_knowledge_graph\semantic_graph_readiness_validation_v1.csv,KGSTN-000018,review_before_graph,2026-06-29 04:12:22
KGLIN-000019,KGNODE-000019,SPO3-000012,SPO2-000012,C:\ProcurementIntelligence\09_knowledge_graph\semantic_procurement_object_registry_v3.csv,C:\ProcurementIntelligence\09_knowledge_graph\semantic_graph_readiness_validation_v1.csv,KGSTN-000019,review_before_graph,2026-06-29 04:12:22
KGLIN-000020,KGNODE-000020,SPO3-000013,SPO2-000013,C:\ProcurementIntelligence\09_knowledge_graph\semantic_procurement_object_registry_v3.csv,C:\ProcurementIntelligence\09_knowledge_graph\semantic_graph_readiness_validation_v1.csv,KGSTN-000020,review_before_graph,2026-06-29 04:12:22
KGLIN-000021,KGNODE-000021,SPO3-000015,SPO2-000015,C:\ProcurementIntelligence\09_knowledge_graph\semantic_procurement_object_registry_v3.csv,C:\ProcurementIntelligence\09_knowledge_graph\semantic_graph_readiness_validation_v1.csv,KGSTN-000021,review_before_graph,2026-06-29 04:12:22
KGLIN-000022,KGNODE-000022,SPO3-000016,SPO2-000016,C:\ProcurementIntelligence\09_knowledge_graph\semantic_procurement_object_registry_v3.csv,C:\ProcurementIntelligence\09_knowledge_graph\semantic_graph_readiness_validation_v1.csv,KGSTN-000022,review_before_graph,2026-06-29 04:12:22
KGLIN-000023,KGNODE-000023,SPO3-000018,SPO2-000018,C:\ProcurementIntelligence\09_knowledge_graph\semantic_procurement_object_registry_v3.csv,C:\ProcurementIntelligence\09_knowledge_graph\semantic_graph_readiness_validation_v1.csv,KGSTN-000023,review_before_graph,2026-06-29 04:12:22
KGLIN-000024,KGNODE-000024,SPO3-000019,SPO2-000019,C:\ProcurementIntelligence\09_knowledge_graph\semantic_procurement_object_registry_v3.csv,C:\ProcurementIntelligence\09_knowledge_graph\semantic_graph_readiness_validation_v1.csv,KGSTN-000024,review_before_graph,2026-06-29 04:12:22
