referential_check_id,record_type,record_id,check_name,status,message,created_at
KGREF-000001,edge,KGEDGE-000001,source_node_exists,pass,KGNODE2-000003,2026-06-29 11:35:33
KGREF-000002,edge,KGEDGE-000001,target_node_exists,pass,KGNODE2-000013,2026-06-29 11:35:33
KGREF-000003,edge,KGEDGE-000001,not_self_loop,pass,KGNODE2-000003->KGNODE2-000013,2026-06-29 11:35:33
KGREF-000004,edge,KGEDGE-000002,source_node_exists,pass,KGNODE2-000003,2026-06-29 11:35:33
KGREF-000005,edge,KGEDGE-000002,target_node_exists,pass,KGNODE2-000029,2026-06-29 11:35:33
KGREF-000006,edge,KGEDGE-000002,not_self_loop,pass,KGNODE2-000003->KGNODE2-000029,2026-06-29 11:35:33
KGREF-000007,edge,KGEDGE-000003,source_node_exists,pass,KGNODE2-000006,2026-06-29 11:35:33
KGREF-000008,edge,KGEDGE-000003,target_node_exists,pass,KGNODE2-000014,2026-06-29 11:35:33
KGREF-000009,edge,KGEDGE-000003,not_self_loop,pass,KGNODE2-000006->KGNODE2-000014,2026-06-29 11:35:33
KGREF-000010,edge,KGEDGE-000004,source_node_exists,pass,KGNODE2-000019,2026-06-29 11:35:33
KGREF-000011,edge,KGEDGE-000004,target_node_exists,pass,KGNODE2-000001,2026-06-29 11:35:33
KGREF-000012,edge,KGEDGE-000004,not_self_loop,pass,KGNODE2-000019->KGNODE2-000001,2026-06-29 11:35:33
KGREF-000013,edge,KGEDGE-000005,source_node_exists,pass,KGNODE2-000005,2026-06-29 11:35:33
KGREF-000014,edge,KGEDGE-000005,target_node_exists,pass,KGNODE2-000016,2026-06-29 11:35:33
KGREF-000015,edge,KGEDGE-000005,not_self_loop,pass,KGNODE2-000005->KGNODE2-000016,2026-06-29 11:35:33
KGREF-000016,edge,KGEDGE-000006,source_node_exists,pass,KGNODE2-000005,2026-06-29 11:35:33
KGREF-000017,edge,KGEDGE-000006,target_node_exists,pass,KGNODE2-000021,2026-06-29 11:35:33
KGREF-000018,edge,KGEDGE-000006,not_self_loop,pass,KGNODE2-000005->KGNODE2-000021,2026-06-29 11:35:33
KGREF-000019,edge,KGEDGE-000007,source_node_exists,pass,KGNODE2-000025,2026-06-29 11:35:33
KGREF-000020,edge,KGEDGE-000007,target_node_exists,pass,KGNODE2-000016,2026-06-29 11:35:33
KGREF-000021,edge,KGEDGE-000007,not_self_loop,pass,KGNODE2-000025->KGNODE2-000016,2026-06-29 11:35:33
KGREF-000022,edge,KGEDGE-000008,source_node_exists,pass,KGNODE2-000025,2026-06-29 11:35:33
KGREF-000023,edge,KGEDGE-000008,target_node_exists,pass,KGNODE2-000021,2026-06-29 11:35:33
KGREF-000024,edge,KGEDGE-000008,not_self_loop,pass,KGNODE2-000025->KGNODE2-000021,2026-06-29 11:35:33
KGREF-000025,edge,KGEDGE-000009,source_node_exists,pass,KGNODE2-000022,2026-06-29 11:35:33
KGREF-000026,edge,KGEDGE-000009,target_node_exists,pass,KGNODE2-000013,2026-06-29 11:35:33
KGREF-000027,edge,KGEDGE-000009,not_self_loop,pass,KGNODE2-000022->KGNODE2-000013,2026-06-29 11:35:33
KGREF-000028,edge,KGEDGE-000010,source_node_exists,pass,KGNODE2-000022,2026-06-29 11:35:33
KGREF-000029,edge,KGEDGE-000010,target_node_exists,pass,KGNODE2-000029,2026-06-29 11:35:33
KGREF-000030,edge,KGEDGE-000010,not_self_loop,pass,KGNODE2-000022->KGNODE2-000029,2026-06-29 11:35:33
KGREF-000031,edge,KGEDGE-000011,source_node_exists,pass,KGNODE2-000004,2026-06-29 11:35:33
KGREF-000032,edge,KGEDGE-000011,target_node_exists,pass,KGNODE2-000001,2026-06-29 11:35:33
KGREF-000033,edge,KGEDGE-000011,not_self_loop,pass,KGNODE2-000004->KGNODE2-000001,2026-06-29 11:35:33
KGREF-000034,edge,KGEDGE-000012,source_node_exists,pass,KGNODE2-000012,2026-06-29 11:35:33
KGREF-000035,edge,KGEDGE-000012,target_node_exists,pass,KGNODE2-000006,2026-06-29 11:35:33
KGREF-000036,edge,KGEDGE-000012,not_self_loop,pass,KGNODE2-000012->KGNODE2-000006,2026-06-29 11:35:33
KGREF-000037,edge,KGEDGE-000013,source_node_exists,pass,KGNODE2-000017,2026-06-29 11:35:33
KGREF-000038,edge,KGEDGE-000013,target_node_exists,pass,KGNODE2-000006,2026-06-29 11:35:33
KGREF-000039,edge,KGEDGE-000013,not_self_loop,pass,KGNODE2-000017->KGNODE2-000006,2026-06-29 11:35:33
KGREF-000040,edge,KGEDGE-000014,source_node_exists,pass,KGNODE2-000020,2026-06-29 11:35:33
KGREF-000041,edge,KGEDGE-000014,target_node_exists,pass,KGNODE2-000006,2026-06-29 11:35:33
KGREF-000042,edge,KGEDGE-000014,not_self_loop,pass,KGNODE2-000020->KGNODE2-000006,2026-06-29 11:35:33
KGREF-000043,edge,KGEDGE-000015,source_node_exists,pass,KGNODE2-000023,2026-06-29 11:35:33
KGREF-000044,edge,KGEDGE-000015,target_node_exists,pass,KGNODE2-000006,2026-06-29 11:35:33
KGREF-000045,edge,KGEDGE-000015,not_self_loop,pass,KGNODE2-000023->KGNODE2-000006,2026-06-29 11:35:33
KGREF-000046,edge,KGEDGE-000016,source_node_exists,pass,KGNODE2-000024,2026-06-29 11:35:33
KGREF-000047,edge,KGEDGE-000016,target_node_exists,pass,KGNODE2-000006,2026-06-29 11:35:33
KGREF-000048,edge,KGEDGE-000016,not_self_loop,pass,KGNODE2-000024->KGNODE2-000006,2026-06-29 11:35:33
KGREF-000049,edge,KGEDGE-000017,source_node_exists,pass,KGNODE2-000028,2026-06-29 11:35:33
KGREF-000050,edge,KGEDGE-000017,target_node_exists,pass,KGNODE2-000006,2026-06-29 11:35:33
KGREF-000051,edge,KGEDGE-000017,not_self_loop,pass,KGNODE2-000028->KGNODE2-000006,2026-06-29 11:35:33
KGREF-000052,edge,KGEDGE-000018,source_node_exists,pass,KGNODE2-000002,2026-06-29 11:35:33
KGREF-000053,edge,KGEDGE-000018,target_node_exists,pass,KGNODE2-000005,2026-06-29 11:35:33
KGREF-000054,edge,KGEDGE-000018,not_self_loop,pass,KGNODE2-000002->KGNODE2-000005,2026-06-29 11:35:33
KGREF-000055,edge,KGEDGE-000019,source_node_exists,pass,KGNODE2-000002,2026-06-29 11:35:33
KGREF-000056,edge,KGEDGE-000019,target_node_exists,pass,KGNODE2-000025,2026-06-29 11:35:33
KGREF-000057,edge,KGEDGE-000019,not_self_loop,pass,KGNODE2-000002->KGNODE2-000025,2026-06-29 11:35:33
KGREF-000058,edge,KGEDGE-000020,source_node_exists,pass,KGNODE2-000012,2026-06-29 11:35:33
KGREF-000059,edge,KGEDGE-000020,target_node_exists,pass,KGNODE2-000001,2026-06-29 11:35:33
KGREF-000060,edge,KGEDGE-000020,not_self_loop,pass,KGNODE2-000012->KGNODE2-000001,2026-06-29 11:35:33
KGREF-000061,edge,KGEDGE-000021,source_node_exists,pass,KGNODE2-000017,2026-06-29 11:35:33
KGREF-000062,edge,KGEDGE-000021,target_node_exists,pass,KGNODE2-000001,2026-06-29 11:35:33
KGREF-000063,edge,KGEDGE-000021,not_self_loop,pass,KGNODE2-000017->KGNODE2-000001,2026-06-29 11:35:33
KGREF-000064,edge,KGEDGE-000022,source_node_exists,pass,KGNODE2-000020,2026-06-29 11:35:33
KGREF-000065,edge,KGEDGE-000022,target_node_exists,pass,KGNODE2-000001,2026-06-29 11:35:33
KGREF-000066,edge,KGEDGE-000022,not_self_loop,pass,KGNODE2-000020->KGNODE2-000001,2026-06-29 11:35:33
KGREF-000067,edge,KGEDGE-000023,source_node_exists,pass,KGNODE2-000023,2026-06-29 11:35:33
KGREF-000068,edge,KGEDGE-000023,target_node_exists,pass,KGNODE2-000001,2026-06-29 11:35:33
KGREF-000069,edge,KGEDGE-000023,not_self_loop,pass,KGNODE2-000023->KGNODE2-000001,2026-06-29 11:35:33
KGREF-000070,edge,KGEDGE-000024,source_node_exists,pass,KGNODE2-000024,2026-06-29 11:35:33
KGREF-000071,edge,KGEDGE-000024,target_node_exists,pass,KGNODE2-000001,2026-06-29 11:35:33
KGREF-000072,edge,KGEDGE-000024,not_self_loop,pass,KGNODE2-000024->KGNODE2-000001,2026-06-29 11:35:33
KGREF-000073,edge,KGEDGE-000025,source_node_exists,pass,KGNODE2-000028,2026-06-29 11:35:33
KGREF-000074,edge,KGEDGE-000025,target_node_exists,pass,KGNODE2-000001,2026-06-29 11:35:33
KGREF-000075,edge,KGEDGE-000025,not_self_loop,pass,KGNODE2-000028->KGNODE2-000001,2026-06-29 11:35:33
KGREF-000076,edge,KGEDGE-000026,source_node_exists,pass,KGNODE2-000022,2026-06-29 11:35:33
KGREF-000077,edge,KGEDGE-000026,target_node_exists,pass,KGNODE2-000013,2026-06-29 11:35:33
KGREF-000078,edge,KGEDGE-000026,not_self_loop,pass,KGNODE2-000022->KGNODE2-000013,2026-06-29 11:35:33
KGREF-000079,edge,KGEDGE-000027,source_node_exists,pass,KGNODE2-000022,2026-06-29 11:35:33
KGREF-000080,edge,KGEDGE-000027,target_node_exists,pass,KGNODE2-000029,2026-06-29 11:35:33
KGREF-000081,edge,KGEDGE-000027,not_self_loop,pass,KGNODE2-000022->KGNODE2-000029,2026-06-29 11:35:33
KGREF-000082,edge,KGEDGE-000028,source_node_exists,pass,KGNODE2-000004,2026-06-29 11:35:33
KGREF-000083,edge,KGEDGE-000028,target_node_exists,pass,KGNODE2-000012,2026-06-29 11:35:33
KGREF-000084,edge,KGEDGE-000028,not_self_loop,pass,KGNODE2-000004->KGNODE2-000012,2026-06-29 11:35:33
KGREF-000085,edge,KGEDGE-000029,source_node_exists,pass,KGNODE2-000004,2026-06-29 11:35:33
KGREF-000086,edge,KGEDGE-000029,target_node_exists,pass,KGNODE2-000017,2026-06-29 11:35:33
KGREF-000087,edge,KGEDGE-000029,not_self_loop,pass,KGNODE2-000004->KGNODE2-000017,2026-06-29 11:35:33
KGREF-000088,edge,KGEDGE-000030,source_node_exists,pass,KGNODE2-000004,2026-06-29 11:35:33
KGREF-000089,edge,KGEDGE-000030,target_node_exists,pass,KGNODE2-000020,2026-06-29 11:35:33
KGREF-000090,edge,KGEDGE-000030,not_self_loop,pass,KGNODE2-000004->KGNODE2-000020,2026-06-29 11:35:33
KGREF-000091,edge,KGEDGE-000031,source_node_exists,pass,KGNODE2-000004,2026-06-29 11:35:33
KGREF-000092,edge,KGEDGE-000031,target_node_exists,pass,KGNODE2-000023,2026-06-29 11:35:33
KGREF-000093,edge,KGEDGE-000031,not_self_loop,pass,KGNODE2-000004->KGNODE2-000023,2026-06-29 11:35:33
KGREF-000094,edge,KGEDGE-000032,source_node_exists,pass,KGNODE2-000004,2026-06-29 11:35:33
KGREF-000095,edge,KGEDGE-000032,target_node_exists,pass,KGNODE2-000024,2026-06-29 11:35:33
KGREF-000096,edge,KGEDGE-000032,not_self_loop,pass,KGNODE2-000004->KGNODE2-000024,2026-06-29 11:35:33
KGREF-000097,edge,KGEDGE-000033,source_node_exists,pass,KGNODE2-000004,2026-06-29 11:35:33
KGREF-000098,edge,KGEDGE-000033,target_node_exists,pass,KGNODE2-000028,2026-06-29 11:35:33
KGREF-000099,edge,KGEDGE-000033,not_self_loop,pass,KGNODE2-000004->KGNODE2-000028,2026-06-29 11:35:33
KGREF-000100,edge,KGEDGE-000034,source_node_exists,pass,KGNODE2-000004,2026-06-29 11:35:33
KGREF-000101,edge,KGEDGE-000034,target_node_exists,pass,KGNODE2-000001,2026-06-29 11:35:33
KGREF-000102,edge,KGEDGE-000034,not_self_loop,pass,KGNODE2-000004->KGNODE2-000001,2026-06-29 11:35:33
KGREF-000103,edge,KGEDGE-000035,source_node_exists,pass,KGNODE2-000011,2026-06-29 11:35:33
KGREF-000104,edge,KGEDGE-000035,target_node_exists,pass,KGNODE2-000012,2026-06-29 11:35:33
KGREF-000105,edge,KGEDGE-000035,not_self_loop,pass,KGNODE2-000011->KGNODE2-000012,2026-06-29 11:35:33
KGREF-000106,edge,KGEDGE-000036,source_node_exists,pass,KGNODE2-000011,2026-06-29 11:35:33
KGREF-000107,edge,KGEDGE-000036,target_node_exists,pass,KGNODE2-000017,2026-06-29 11:35:33
KGREF-000108,edge,KGEDGE-000036,not_self_loop,pass,KGNODE2-000011->KGNODE2-000017,2026-06-29 11:35:33
KGREF-000109,edge,KGEDGE-000037,source_node_exists,pass,KGNODE2-000011,2026-06-29 11:35:33
KGREF-000110,edge,KGEDGE-000037,target_node_exists,pass,KGNODE2-000020,2026-06-29 11:35:33
KGREF-000111,edge,KGEDGE-000037,not_self_loop,pass,KGNODE2-000011->KGNODE2-000020,2026-06-29 11:35:33
KGREF-000112,edge,KGEDGE-000038,source_node_exists,pass,KGNODE2-000011,2026-06-29 11:35:33
KGREF-000113,edge,KGEDGE-000038,target_node_exists,pass,KGNODE2-000023,2026-06-29 11:35:33
KGREF-000114,edge,KGEDGE-000038,not_self_loop,pass,KGNODE2-000011->KGNODE2-000023,2026-06-29 11:35:33
KGREF-000115,edge,KGEDGE-000039,source_node_exists,pass,KGNODE2-000011,2026-06-29 11:35:33
KGREF-000116,edge,KGEDGE-000039,target_node_exists,pass,KGNODE2-000024,2026-06-29 11:35:33
