named_requirement_id,taxonomy_id,family,category,canonical_name,matched_term,requirement_id,notice_id,opportunity_title,source_file,confidence
NREQ-000001,TAX-000037,evaluation_factor,source_selection,Past Performance,past performance,REQ-000004,4238a30a23b544cf94743e18c87feccb,Selective Service System Website Modernization,4238a30a23b544cf94743e18c87feccb_1.bin,0.8
NREQ-000002,TAX-000038,evaluation_factor,source_selection,Price,price,REQ-000004,4238a30a23b544cf94743e18c87feccb,Selective Service System Website Modernization,4238a30a23b544cf94743e18c87feccb_1.bin,0.8
NREQ-000003,TAX-000046,proposal_component,proposal_structure,Administrative Proposal,administrative proposal,REQ-000004,4238a30a23b544cf94743e18c87feccb,Selective Service System Website Modernization,4238a30a23b544cf94743e18c87feccb_1.bin,0.8
NREQ-000004,TAX-000047,proposal_component,proposal_structure,Technical Proposal,technical proposal,REQ-000004,4238a30a23b544cf94743e18c87feccb,Selective Service System Website Modernization,4238a30a23b544cf94743e18c87feccb_1.bin,0.8
NREQ-000005,TAX-000049,proposal_component,proposal_structure,Price Proposal,price proposal,REQ-000004,4238a30a23b544cf94743e18c87feccb,Selective Service System Website Modernization,4238a30a23b544cf94743e18c87feccb_1.bin,0.8
NREQ-000006,TAX-000050,proposal_component,proposal_structure,Contract Documentation,contract documentation,REQ-000004,4238a30a23b544cf94743e18c87feccb,Selective Service System Website Modernization,4238a30a23b544cf94743e18c87feccb_1.bin,0.8
NREQ-000007,TAX-000037,evaluation_factor,source_selection,Past Performance,past performance,REQ-000005,4238a30a23b544cf94743e18c87feccb,Selective Service System Website Modernization,4238a30a23b544cf94743e18c87feccb_1.bin,0.8
NREQ-000008,TAX-000038,evaluation_factor,source_selection,Price,price,REQ-000005,4238a30a23b544cf94743e18c87feccb,Selective Service System Website Modernization,4238a30a23b544cf94743e18c87feccb_1.bin,0.8
NREQ-000009,TAX-000046,proposal_component,proposal_structure,Administrative Proposal,administrative proposal,REQ-000005,4238a30a23b544cf94743e18c87feccb,Selective Service System Website Modernization,4238a30a23b544cf94743e18c87feccb_1.bin,0.8
NREQ-000010,TAX-000047,proposal_component,proposal_structure,Technical Proposal,technical proposal,REQ-000005,4238a30a23b544cf94743e18c87feccb,Selective Service System Website Modernization,4238a30a23b544cf94743e18c87feccb_1.bin,0.8
