normalized_expression_id,consolidated_expression_id,original_expression,normalized_expression,normalization_changed,expression_hash,source_count,total_frequency,source_ids,source_types,max_quality_score,max_confidence,created_at
NPE-000001,CPE-000001,national cemetery operations,national cemetery operations,no,b0969ad0bcda66480977f368f272b10bf3bdd95aa13b1ac0965d43a50c396d54,3,46,SA-000007;SP-000007;SPO-000001,filtered_alias;filtered_pattern;semantic_object_v1,20,0.86,2026-06-28 02:37:22
NPE-000002,CPE-000002,amendment of solicitation,amendment of solicitation,no,b7831edb1358b18001bb4ae3b82a4d946c40edf945338e7eead7a0762f32e746,4,40,SA-000019;SA-000064;SP-000019;SP-000064,filtered_alias;filtered_pattern,17,0.74,2026-06-28 02:37:22
NPE-000003,CPE-000003,national cemetery administration,national cemetery administration,no,78cc788339ff4467b7e47091ee3bce80fca52cc56d6a163875968da28dae1431,4,36,SA-000047;SA-000048;SP-000047;SP-000048,filtered_alias;filtered_pattern,16,0.66,2026-06-28 02:37:22
NPE-000004,CPE-000006,firm fixed price,firm fixed price,no,e0ca52afd8ac4bc0fb9ad6f6180139a1794040ea1540d4ec135eb17f1ef9c72f,3,19,SP-000055;SP-000071;SPO-000020,filtered_pattern;semantic_object_v1,20,0.78,2026-06-28 02:37:22
NPE-000005,CPE-000012,solicitation amendment or modification,solicitation amendment or modification,no,17e6a3988aea69ecb88f88f32d8f2cc3762c69075aaf8c2b11af617062e8aed9,3,18,SA-000090;SP-000083;SP-000090,filtered_alias;filtered_pattern,11,0.54,2026-06-28 02:37:22
NPE-000006,CPE-000010,unit price,unit price,no,ddf02bda9a62594826c2a4d163b06e75fccf26d520cdc692674dce31c90eb2e9,3,18,SA-000073;SP-000073;SPO-000026,filtered_alias;filtered_pattern;semantic_object_v1,20,0.78,2026-06-28 02:37:22
NPE-000007,CPE-000014,contracting officer,contracting officer,no,44d3e6326abcd76279e2fdec6630731028c78603918c4f7c9f8e083ec1000e06,3,16,SA-000092;SP-000092;SPO-000033,filtered_alias;filtered_pattern;semantic_object_v1,20,0.78,2026-06-28 02:37:22
NPE-000008,CPE-000011,evaluation factors,evaluation factors,no,7b8a8f4dfd043fe33e55fdb5a8505954bf130a6fb84fff74f1bf3740b41ac2ff,3,16,SA-000081;SP-000081;SPO-000025,filtered_alias;filtered_pattern;semantic_object_v1,20,0.78,2026-06-28 02:37:22
NPE-000009,CPE-000029,performance work statement,performance work statement,no,c32803b3daf84a845a72fb8086d45207279da4cfea306102be09df57bcf1327f,3,16,SA-000176;SP-000176;SPO-000057,filtered_alias;filtered_pattern;semantic_object_v1,20,0.86,2026-06-28 02:37:22
NPE-000010,CPE-000005,solicitation number,solicitation number,no,112f62d6f50a0eb0a593245e3dfdfbe509d38cb958b4e4a7fd1a525272125c44,2,16,SA-000051;SP-000051,filtered_alias;filtered_pattern,11,0.57,2026-06-28 02:37:22
