discovery_id,grounded_statement_id,notice_id,opportunity_title,source_file,source_statement,reason,suggested_context,status,created_at
OPDISC-000001,GSTMT-000003,4238a30a23b544cf94743e18c87feccb,Selective Service System Website Modernization,4238a30a23b544cf94743e18c87feccb_1.bin,Please confirm whether the offeror is expected to submit four bound volumes or five separate volumes.,no_optimized_plu_rule_match,,needs_review,2026-06-24 23:11:06
OPDISC-000002,GSTMT-000004,4238a30a23b544cf94743e18c87feccb,Selective Service System Website Modernization,4238a30a23b544cf94743e18c87feccb_1.bin,"The reference to ""four (4) separately electronically submitted bound Volumes"" is a typographical error.",no_optimized_plu_rule_match,,needs_review,2026-06-24 23:11:06
OPDISC-000003,GSTMT-000012,4238a30a23b544cf94743e18c87feccb,Selective Service System Website Modernization,4238a30a23b544cf94743e18c87feccb_1.bin,Please confirm whether Volume V is evaluated as a separate factor or treated as an administrative/compliance volume only.,no_optimized_plu_rule_match,,needs_review,2026-06-24 23:11:06
OPDISC-000004,GSTMT-000017,4238a30a23b544cf94743e18c87feccb,Selective Service System Website Modernization,4238a30a23b544cf94743e18c87feccb_1.bin,Evaluation of Volume V will be conducted in accordance with the evalua,no_optimized_plu_rule_match,,needs_review,2026-06-24 23:11:06
OPDISC-000005,GSTMT-000022,4238a30a23b544cf94743e18c87feccb,Selective Service System Website Modernization,4238a30a23b544cf94743e18c87feccb_4.bin,AMENDMENT OF SOLICITATION/MODIFICATION OF CONTRACT 1.,no_optimized_plu_rule_match,,needs_review,2026-06-24 23:11:06
OPDISC-000006,GSTMT-000023,4238a30a23b544cf94743e18c87feccb,Selective Service System Website Modernization,4238a30a23b544cf94743e18c87feccb_4.bin,"ADMINISTERED BY CODE SSS National Headquarters (NHQ) Selective Service System, 1501 Wilson Blvd, Suite 700 Same As Issuing Office Arlington, VA, 22209, US (Number, street, county, State and ZIP Code) (X) 8.",no_optimized_plu_rule_match,,needs_review,2026-06-24 23:11:06
OPDISC-000007,GSTMT-000024,4238a30a23b544cf94743e18c87feccb,Selective Service System Website Modernization,4238a30a23b544cf94743e18c87feccb_4.bin,AMENDMENT OF SOLICITATION NUMBER 90MC0026R0004 181 (SEE ITEM 11) 9B.,no_optimized_plu_rule_match,,needs_review,2026-06-24 23:11:06
OPDISC-000008,GSTMT-000025,4238a30a23b544cf94743e18c87feccb,Selective Service System Website Modernization,4238a30a23b544cf94743e18c87feccb_4.bin,THIS ITEM ONLY APPLIES TO AMENDMENTS OF SOLICITATIONS □ (8) � The above numbered solicitation is amended as set forth in Item 14.,no_optimized_plu_rule_match,,needs_review,2026-06-24 23:11:06
OPDISC-000009,GSTMT-000027,4238a30a23b544cf94743e18c87feccb,Selective Service System Website Modernization,4238a30a23b544cf94743e18c87feccb_4.bin,"(a) By completing items 8 and 15, and returning _____ copies of the amendment;",no_optimized_plu_rule_match,,needs_review,2026-06-24 23:11:06
OPDISC-000010,GSTMT-000028,4238a30a23b544cf94743e18c87feccb,Selective Service System Website Modernization,4238a30a23b544cf94743e18c87feccb_4.bin,(b) By acknowledging receipt of this amendment on each copy of the offer submitted;,no_optimized_plu_rule_match,,needs_review,2026-06-24 23:11:06
