discovery_id,grounded_statement_id,notice_id,opportunity_title,source_file,source_statement,reason,suggested_context,status,created_at
RDISC-000001,GSTMT-000001,4238a30a23b544cf94743e18c87feccb,Selective Service System Website Modernization,4238a30a23b544cf94743e18c87feccb_1.bin,"Selective Service System Website Modernization FAQ June 18, 2026 Section 1 – Solicitation Administration & Proposal Submission Q1.1 – Proposal volume clarification - Section L 2.a states four (4) separately submitted bound Volumes but then enumerates five Volumes (I, II, III, IV, V).",no_context_reasoning_match,,needs_review,2026-06-25 06:10:29
RDISC-000002,GSTMT-000003,4238a30a23b544cf94743e18c87feccb,Selective Service System Website Modernization,4238a30a23b544cf94743e18c87feccb_1.bin,Please confirm whether the offeror is expected to submit four bound volumes or five separate volumes.,no_context_reasoning_match,,needs_review,2026-06-25 06:10:29
RDISC-000003,GSTMT-000004,4238a30a23b544cf94743e18c87feccb,Selective Service System Website Modernization,4238a30a23b544cf94743e18c87feccb_1.bin,"The reference to ""four (4) separately electronically submitted bound Volumes"" is a typographical error.",no_context_reasoning_match,,needs_review,2026-06-25 06:10:29
RDISC-000004,GSTMT-000012,4238a30a23b544cf94743e18c87feccb,Selective Service System Website Modernization,4238a30a23b544cf94743e18c87feccb_1.bin,Please confirm whether Volume V is evaluated as a separate factor or treated as an administrative/compliance volume only.,no_context_reasoning_match,,needs_review,2026-06-25 06:10:29
RDISC-000005,GSTMT-000017,4238a30a23b544cf94743e18c87feccb,Selective Service System Website Modernization,4238a30a23b544cf94743e18c87feccb_1.bin,Evaluation of Volume V will be conducted in accordance with the evalua,no_context_reasoning_match,,needs_review,2026-06-25 06:10:29
RDISC-000006,GSTMT-000018,4238a30a23b544cf94743e18c87feccb,Selective Service System Website Modernization,4238a30a23b544cf94743e18c87feccb_2.bin,RATING BOARD (FOB) DESTINATION RATED ORDER UNDER 14.METHOD OF SOLICITATION REQUEST UNLESS BLOCK IS MARKED THE DEFENSE PRIORITIES REQUEST INVITATION FOR AND ALLOCATIONS FOR QUOTE FOR BID PROPOSAL SEE SCHEDULE SYSTEM - DPAS (15 CFR 700) (RFQ) (IFB) (RFP) 15.DELIVER TO CODE 16.ADMINISTERED BY CODE 90MC00 See Schedule Same As Issuing Office 17a.,no_context_reasoning_match,,needs_review,2026-06-25 06:10:29
RDISC-000007,GSTMT-000022,4238a30a23b544cf94743e18c87feccb,Selective Service System Website Modernization,4238a30a23b544cf94743e18c87feccb_4.bin,AMENDMENT OF SOLICITATION/MODIFICATION OF CONTRACT 1.,no_context_reasoning_match,,needs_review,2026-06-25 06:10:29
RDISC-000008,GSTMT-000023,4238a30a23b544cf94743e18c87feccb,Selective Service System Website Modernization,4238a30a23b544cf94743e18c87feccb_4.bin,"ADMINISTERED BY CODE SSS National Headquarters (NHQ) Selective Service System, 1501 Wilson Blvd, Suite 700 Same As Issuing Office Arlington, VA, 22209, US (Number, street, county, State and ZIP Code) (X) 8.",no_context_reasoning_match,,needs_review,2026-06-25 06:10:29
RDISC-000009,GSTMT-000024,4238a30a23b544cf94743e18c87feccb,Selective Service System Website Modernization,4238a30a23b544cf94743e18c87feccb_4.bin,AMENDMENT OF SOLICITATION NUMBER 90MC0026R0004 181 (SEE ITEM 11) 9B.,no_context_reasoning_match,,needs_review,2026-06-25 06:10:29
RDISC-000010,GSTMT-000025,4238a30a23b544cf94743e18c87feccb,Selective Service System Website Modernization,4238a30a23b544cf94743e18c87feccb_4.bin,THIS ITEM ONLY APPLIES TO AMENDMENTS OF SOLICITATIONS □ (8) � The above numbered solicitation is amended as set forth in Item 14.,no_context_reasoning_match,,needs_review,2026-06-25 06:10:29
RDISC-000011,GSTMT-000027,4238a30a23b544cf94743e18c87feccb,Selective Service System Website Modernization,4238a30a23b544cf94743e18c87feccb_4.bin,"(a) By completing items 8 and 15, and returning _____ copies of the amendment;",no_context_reasoning_match,,needs_review,2026-06-25 06:10:29
RDISC-000012,GSTMT-000028,4238a30a23b544cf94743e18c87feccb,Selective Service System Website Modernization,4238a30a23b544cf94743e18c87feccb_4.bin,(b) By acknowledging receipt of this amendment on each copy of the offer submitted;,no_context_reasoning_match,,needs_review,2026-06-25 06:10:29
RDISC-000013,GSTMT-000029,4238a30a23b544cf94743e18c87feccb,Selective Service System Website Modernization,4238a30a23b544cf94743e18c87feccb_4.bin,or (c) By separate letter or electronic communication which includes a reference to the solicitation and amendment numbers.,no_context_reasoning_match,,needs_review,2026-06-25 06:10:29
RDISC-000014,GSTMT-000030,4238a30a23b544cf94743e18c87feccb,Selective Service System Website Modernization,4238a30a23b544cf94743e18c87feccb_5.bin,"We are currently in the process of preparing our proposal for the Selective Service System Website Modernization Requirement, Solicitation Number 90MC0026R0004.",no_context_reasoning_match,,needs_review,2026-06-25 06:10:29
RDISC-000015,GSTMT-000031,4238a30a23b544cf94743e18c87feccb,Selective Service System Website Modernization,4238a30a23b544cf94743e18c87feccb_5.bin,"As part of our proposal, we have listed you as a reference on our performance for this type of service with your agency under the previous/current contract listed below.",no_context_reasoning_match,,needs_review,2026-06-25 06:10:29
RDISC-000016,GSTMT-000033,4238a30a23b544cf94743e18c87feccb,Selective Service System Website Modernization,4238a30a23b544cf94743e18c87feccb_5.bin,"If you will not be available on June 30, 2026, for verification of this past performance evaluation, please indicate another POC for the contacting officer/contract specialist to contact.",no_context_reasoning_match,,needs_review,2026-06-25 06:10:29
RDISC-000017,GSTMT-000035,4238a30a23b544cf94743e18c87feccb,Selective Service System Website Modernization,4238a30a23b544cf94743e18c87feccb_6.bin,CONTRACT ID CODE PAGE OF PAGES AMENDMENT OF SOLICITATION/MODIFICATION OF CONTRACT 2.,no_context_reasoning_match,,needs_review,2026-06-25 06:10:29
RDISC-000018,GSTMT-000036,4238a30a23b544cf94743e18c87feccb,Selective Service System Website Modernization,4238a30a23b544cf94743e18c87feccb_6.bin,ADMINISTERED BY (If other than Item 6) CODE 8.,no_context_reasoning_match,,needs_review,2026-06-25 06:10:29
RDISC-000019,GSTMT-000037,4238a30a23b544cf94743e18c87feccb,Selective Service System Website Modernization,4238a30a23b544cf94743e18c87feccb_6.bin,AMENDMENT OF SOLICITATION NUMBER 9B.,no_context_reasoning_match,,needs_review,2026-06-25 06:10:29
RDISC-000020,GSTMT-000038,4238a30a23b544cf94743e18c87feccb,Selective Service System Website Modernization,4238a30a23b544cf94743e18c87feccb_6.bin,THIS ITEM ONLY APPLIES TO AMENDMENTS OF SOLICITATIONS The above numbered solicitation is amended as set forth in Item 14.,no_context_reasoning_match,,needs_review,2026-06-25 06:10:29
RDISC-000021,GSTMT-000043,4238a30a23b544cf94743e18c87feccb,Selective Service System Website Modernization,4238a30a23b544cf94743e18c87feccb_6.bin,"If by virtue of this amendment you desire to change an offer already submitted, such change may be made by letter or electronic communication, provided each letter or electronic",no_context_reasoning_match,,needs_review,2026-06-25 06:10:29
RDISC-000022,GSTMT-000044,dc7183e7aab342788a9dff786e444f8a,JSCG-P Cristobal Colon Base Life Support,dc7183e7aab342788a9dff786e444f8a_1.bin,"This is a non-personal services contract under which the personnel rendering the service(s) are not subject, either by the contract's terms or by the manner of its administration, to the supervision and control usually prevailing in relationships between the Government and its employees.",no_context_reasoning_match,,needs_review,2026-06-25 06:10:29
RDISC-000023,GSTMT-000046,dc7183e7aab342788a9dff786e444f8a,JSCG-P Cristobal Colon Base Life Support,dc7183e7aab342788a9dff786e444f8a_1.bin,The United States (U.S.) Government shall not exercise any supervision or control over the Contractor’s employees performing the tasks herein.,no_context_reasoning_match,,needs_review,2026-06-25 06:10:29
RDISC-000024,GSTMT-000047,dc7183e7aab342788a9dff786e444f8a,JSCG-P Cristobal Colon Base Life Support,dc7183e7aab342788a9dff786e444f8a_1.bin,"Such contract employees shall be accountable solely to the Contractor who, in turn shall be responsible to the U.S.",no_context_reasoning_match,,needs_review,2026-06-25 06:10:29
RDISC-000025,GSTMT-000048,dc7183e7aab342788a9dff786e444f8a,JSCG-P Cristobal Colon Base Life Support,dc7183e7aab342788a9dff786e444f8a_1.bin,The Contractor shall always maintain an adequate workforce for performance of all tasks defined within this Performance Work Statement (PWS).,no_context_reasoning_match,,needs_review,2026-06-25 06:10:29
RDISC-000026,GSTMT-000049,dc7183e7aab342788a9dff786e444f8a,JSCG-P Cristobal Colon Base Life Support,dc7183e7aab342788a9dff786e444f8a_1.bin,"Unless otherwise specified, the Contractor's shall complete the services daily and be readily available for emergency support.",no_context_reasoning_match,,needs_review,2026-06-25 06:10:29
