expression_family_v2_id,family_name,domain_name,intent,expression_count,total_frequency,average_confidence,created_at
EXF2-000010,Residual Expression,Residual Unknown,Needs Review,21,132,0.35,2026-06-28 02:37:22
EXF2-000011,General Procurement Expression,Acquisition Strategy,General Procurement,18,82,0.6,2026-06-28 02:37:22
EXF2-000001,Proposal and Submission,Submission and Proposal Management,Submission Management,9,126,0.9,2026-06-28 02:37:22
EXF2-000002,Domain-Specific Operations,Domain-Specific Operations,Domain Requirement,6,106,0.9,2026-06-28 02:37:22
EXF2-000008,Evaluation and Award,Evaluation and Source Selection,Source Selection,6,44,0.9,2026-06-28 02:37:22
EXF2-000003,Acquisition Metadata,Acquisition Strategy,Acquisition Metadata,4,59,0.9,2026-06-28 02:37:22
EXF2-000005,Pricing and Payment,Commercial and Pricing,Pricing,3,34,0.9,2026-06-28 02:37:22
EXF2-000007,Technical and Performance Requirements,Technical Requirements,Requirement,2,28,0.9,2026-06-28 02:37:22
EXF2-000013,Compliance and Labor,"Legal, Compliance, and Labor",Compliance,1,3,0.9,2026-06-28 02:37:22
EXF2-000004,Contract Type,Commercial and Pricing,Commercial Structure,1,25,0.9,2026-06-28 02:37:22
EXF2-000012,Delivery and Logistics,Delivery and Logistics,Delivery,1,8,0.9,2026-06-28 02:37:22
EXF2-000009,Document Structure,Document Structure and Administrative Forms,Document Structure,1,16,0.9,2026-06-28 02:37:22
EXF2-000006,Procurement Roles,Acquisition Strategy,Procurement Role,1,22,0.9,2026-06-28 02:37:22
