reject_id,grounded_statement_id,opportunity_title,reason,source_statement
RREJ-000001,GSTMT-000002,Selective Service System Website Modernization,duplicate_statement,"Selective Service System Website Modernization FAQ June 18, 2026 Section 1 – Solicitation Administration & Proposal Submission Q1.1 – Proposal volume clarification - Section L 2.a states four (4) separately submitted bound Volumes but then enumerates five Volumes (I, II, III, IV, V)."
RREJ-000002,GSTMT-000007,Selective Service System Website Modernization,duplicate_statement,• Volume I – Administrative Proposal • Volume II – Technical Proposal • Volume III – Past Performance • Volume IV – Price Proposal • Volume V – Contract Documentation Offerors should prepare and submit all five volumes in accordance with the proposal instructions and content requirements provided in the solicitation.
RREJ-000003,GSTMT-000008,Selective Service System Website Modernization,duplicate_statement,• Volume I – Administrative Proposal • Volume II – Technical Proposal • Volume III – Past Performance • Volume IV – Price Proposal • Volume V – Contract Documentation Offerors should prepare and submit all five volumes in accordance with the proposal instructions and content requirements provided in the solicitation.
RREJ-000004,GSTMT-000009,Selective Service System Website Modernization,duplicate_statement,• Volume I – Administrative Proposal • Volume II – Technical Proposal • Volume III – Past Performance • Volume IV – Price Proposal • Volume V – Contract Documentation Offerors should prepare and submit all five volumes in accordance with the proposal instructions and content requirements provided in the solicitation.
RREJ-000005,GSTMT-000011,Selective Service System Website Modernization,duplicate_statement,"Q1.2) Evaluation Factors -Table 1 identifies Volume V as “Factor 5 – Contract Documentation,” but Section 52.212-2 lists only four evaluation factors."
RREJ-000006,GSTMT-000013,Selective Service System Website Modernization,duplicate_statement,Please confirm whether Volume V is evaluated as a separate factor or treated as an administrative/compliance volume only.
RREJ-000007,GSTMT-000015,Selective Service System Website Modernization,duplicate_statement,Volume V – Contract Documentation corresponds to Evaluation Factor 5.
RREJ-000008,GSTMT-000019,Selective Service System Website Modernization,duplicate_statement,RATING BOARD (FOB) DESTINATION RATED ORDER UNDER 14.METHOD OF SOLICITATION REQUEST UNLESS BLOCK IS MARKED THE DEFENSE PRIORITIES REQUEST INVITATION FOR AND ALLOCATIONS FOR QUOTE FOR BID PROPOSAL SEE SCHEDULE SYSTEM - DPAS (15 CFR 700) (RFQ) (IFB) (RFP) 15.DELIVER TO CODE 16.ADMINISTERED BY CODE 90MC00 See Schedule Same As Issuing Office 17a.
RREJ-000009,GSTMT-000020,Selective Service System Website Modernization,duplicate_statement,RATING BOARD (FOB) DESTINATION RATED ORDER UNDER 14.METHOD OF SOLICITATION REQUEST UNLESS BLOCK IS MARKED THE DEFENSE PRIORITIES REQUEST INVITATION FOR AND ALLOCATIONS FOR QUOTE FOR BID PROPOSAL SEE SCHEDULE SYSTEM - DPAS (15 CFR 700) (RFQ) (IFB) (RFP) 15.DELIVER TO CODE 16.ADMINISTERED BY CODE 90MC00 See Schedule Same As Issuing Office 17a.
RREJ-000010,GSTMT-000021,Selective Service System Website Modernization,duplicate_statement,RATING BOARD (FOB) DESTINATION RATED ORDER UNDER 14.METHOD OF SOLICITATION REQUEST UNLESS BLOCK IS MARKED THE DEFENSE PRIORITIES REQUEST INVITATION FOR AND ALLOCATIONS FOR QUOTE FOR BID PROPOSAL SEE SCHEDULE SYSTEM - DPAS (15 CFR 700) (RFQ) (IFB) (RFP) 15.DELIVER TO CODE 16.ADMINISTERED BY CODE 90MC00 See Schedule Same As Issuing Office 17a.
RREJ-000011,GSTMT-000034,Selective Service System Website Modernization,duplicate_statement,"If you will not be available on June 30, 2026, for verification of this past performance evaluation, please indicate another POC for the contacting officer/contract specialist to contact."
RREJ-000012,GSTMT-000039,Selective Service System Website Modernization,duplicate_statement,"Offers must acknowledge receipt of this amendment prior to the hour and date specified in the solicitation or as amended, by one of the following methods:"
RREJ-000013,GSTMT-000040,Selective Service System Website Modernization,duplicate_statement,"(a) By completing items 8 and 15, and returning copies of the amendment;"
RREJ-000014,GSTMT-000041,Selective Service System Website Modernization,duplicate_statement,(b) By acknowledging receipt of this amendment on each copy of the offer submitted;
RREJ-000015,GSTMT-000042,Selective Service System Website Modernization,duplicate_statement,or (c) By separate letter or electronic communication which includes a reference to the solicitation and amendment numbers.
RREJ-000016,GSTMT-000045,JSCG-P Cristobal Colon Base Life Support,duplicate_statement,"This is a non-personal services contract under which the personnel rendering the service(s) are not subject, either by the contract's terms or by the manner of its administration, to the supervision and control usually prevailing in relationships between the Government and its employees."
RREJ-000017,GSTMT-000057,JSCG-P Cristobal Colon Base Life Support,duplicate_statement,"As a result of this solicitation, the Government intends to award a Firm Fixed Price (FFP) contract resulting from this solicitation to the responsible offeror whose quote conforms to these instructions and will be most advantageous to the Government, considering the lowest price technically acce"
RREJ-000018,GSTMT-000058,JSCG-P Cristobal Colon Base Life Support,duplicate_statement,"As a result of this solicitation, the Government intends to award a Firm Fixed Price (FFP) contract resulting from this solicitation to the responsible offeror whose quote conforms to these instructions and will be most advantageous to the Government, considering the lowest price technically acce"
