promotion_log_id,pkv_version,source_type,source_id,official_registry_id,promotion_action,promotion_reason,created_at
RPL-000001,PKV-1.2,candidate_family,CEF-000001,OPR-000001,promote,high_confidence_and_expression_count,2026-06-27 11:09:39
RPL-000002,PKV-1.2,candidate_family,CEF-000002,OPR-000002,promote,recommended_action_approved,2026-06-27 11:09:39
RPL-000003,PKV-1.2,candidate_family,CEF-000003,OPR-000003,promote,recommended_action_approved,2026-06-27 11:09:39
RPL-000004,PKV-1.2,candidate_family,CEF-000004,OPR-000004,promote,recommended_action_approved,2026-06-27 11:09:39
RPL-000005,PKV-1.2,candidate_family,CEF-000005,OPR-000005,promote,recommended_action_approved,2026-06-27 11:09:39
RPL-000006,PKV-1.2,candidate_family,CEF-000006,OPR-000006,promote,recommended_action_approved,2026-06-27 11:09:39
RPL-000007,PKV-1.2,candidate_family,CEF-000007,OPR-000007,promote,recommended_action_approved,2026-06-27 11:09:39
RPL-000008,PKV-1.2,candidate_family,CEF-000008,OPR-000008,promote,recommended_action_approved,2026-06-27 11:09:39
RPL-000009,PKV-1.2,candidate_family,CEF-000009,OPR-000009,promote,recommended_action_approved,2026-06-27 11:09:39
RPL-000010,PKV-1.2,candidate_family,CEF-000010,OPR-000010,promote,recommended_action_approved,2026-06-27 11:09:39
RPL-000011,PKV-1.2,candidate_family,CEF-000011,OPR-000011,promote,recommended_action_approved,2026-06-27 11:09:39
RPL-000012,PKV-1.2,candidate_family,CEF-000012,OPR-000012,promote,recommended_action_approved,2026-06-27 11:09:39
RPL-000013,PKV-1.2,candidate_family,CEF-000013,,hold,requires_review,2026-06-27 11:09:39
RPL-000014,PKV-1.2,candidate_family,CEF-000014,,hold,requires_review,2026-06-27 11:09:39
RPL-000015,PKV-1.2,candidate_family,CEF-000015,,hold,low_confidence,2026-06-27 11:09:39
RPL-000016,PKV-1.2,candidate_subfamily,CESF-000001,OPR-000013,promote,recommended_action_approved,2026-06-27 11:09:39
RPL-000017,PKV-1.2,candidate_subfamily,CESF-000002,OPR-000014,promote,recommended_action_approved,2026-06-27 11:09:39
RPL-000018,PKV-1.2,candidate_subfamily,CESF-000003,OPR-000015,promote,recommended_action_approved,2026-06-27 11:09:39
RPL-000019,PKV-1.2,candidate_subfamily,CESF-000004,OPR-000016,promote,recommended_action_approved,2026-06-27 11:09:39
RPL-000020,PKV-1.2,candidate_subfamily,CESF-000005,OPR-000017,promote,recommended_action_approved,2026-06-27 11:09:39
RPL-000021,PKV-1.2,candidate_subfamily,CESF-000006,OPR-000018,promote,recommended_action_approved,2026-06-27 11:09:39
RPL-000022,PKV-1.2,candidate_subfamily,CESF-000007,OPR-000019,promote,recommended_action_approved,2026-06-27 11:09:39
RPL-000023,PKV-1.2,candidate_subfamily,CESF-000008,OPR-000020,promote,recommended_action_approved,2026-06-27 11:09:39
RPL-000024,PKV-1.2,candidate_subfamily,CESF-000009,OPR-000021,promote,recommended_action_approved,2026-06-27 11:09:39
RPL-000025,PKV-1.2,candidate_subfamily,CESF-000010,OPR-000022,promote,recommended_action_approved,2026-06-27 11:09:39
RPL-000026,PKV-1.2,candidate_subfamily,CESF-000011,,hold,requires_review,2026-06-27 11:09:39
RPL-000027,PKV-1.2,candidate_subfamily,CESF-000012,,hold,requires_review,2026-06-27 11:09:39
RPL-000028,PKV-1.2,candidate_subfamily,CESF-000013,,hold,requires_review,2026-06-27 11:09:39
RPL-000029,PKV-1.2,candidate_subfamily,CESF-000014,,hold,requires_review,2026-06-27 11:09:39
RPL-000030,PKV-1.2,candidate_subfamily,CESF-000015,,hold,requires_review,2026-06-27 11:09:39
