filtered_alias_id,candidate_alias,suggested_family,frequency,original_confidence,quality_score,adjusted_confidence,quality_hits,review_status,created_at
SA-000007,national cemetery,Unclassified,17,0.98,13,0.71,cemetery,quality_pending_review,2026-06-27 17:34:06
SA-000011,of solicitation,Administrative,16,0.98,13,0.71,solicitation,quality_pending_review,2026-06-27 17:34:06
SA-000013,accounting clerk,Unclassified,15,0.95,10,0.64,,quality_pending_review,2026-06-27 17:34:06
SA-000014,customer service,Unclassified,15,0.95,10,0.64,,quality_pending_review,2026-06-27 17:34:06
SA-000015,service representative,Unclassified,15,0.95,10,0.64,,quality_pending_review,2026-06-27 17:34:06
SA-000016,customer service representative,Unclassified,15,0.95,11,0.66,,quality_pending_review,2026-06-27 17:34:06
SA-000018,amendment of,Administrative,13,0.89,13,0.66,amendment,quality_pending_review,2026-06-27 17:34:06
SA-000019,amendment of solicitation,Administrative,13,0.89,17,0.73,amendment;solicitation,quality_pending_review,2026-06-27 17:34:06
SA-000024,administered by,Unclassified,11,0.83,13,0.63,nist,quality_pending_review,2026-06-27 17:34:06
SA-000026,interior design,Unclassified,11,0.83,10,0.58,,quality_pending_review,2026-06-27 17:34:06
SA-000027,data entry,Unclassified,11,0.83,10,0.58,,quality_pending_review,2026-06-27 17:34:06
SA-000037,entry operator,Unclassified,10,0.8,10,0.57,,quality_pending_review,2026-06-27 17:34:06
SA-000038,general clerk,Unclassified,10,0.8,10,0.57,,quality_pending_review,2026-06-27 17:34:06
SA-000039,data entry operator,Unclassified,10,0.8,11,0.58,,quality_pending_review,2026-06-27 17:34:06
SA-000041,the offeror,Unclassified,9,0.77,12,0.58,offeror,quality_pending_review,2026-06-27 17:34:06
SA-000047,cemetery administration,Unclassified,9,0.77,15,0.64,cemetery;nist,quality_pending_review,2026-06-27 17:34:06
SA-000048,national cemetery administration,Unclassified,9,0.77,16,0.65,cemetery;nist,quality_pending_review,2026-06-27 17:34:06
SA-000051,solicitation number,Administrative,8,0.74,11,0.55,solicitation,quality_pending_review,2026-06-27 17:34:06
SA-000061,offerors shall,Unclassified,7,0.71,10,0.52,offeror,quality_pending_review,2026-06-27 17:34:06
