new_concept_candidate_id,source_type,source_id,candidate_concept,suggested_domain,domain_similarity,registry_similarity,frequency,quality_score,review_status,created_at
SNCC-000001,filtered_pattern,SP-000013,accounting clerk,,0.0,0.2732,15,10,pending_review,2026-06-27 18:48:00
SNCC-000002,filtered_pattern,SP-000014,customer service,,0.0,0.24,15,10,pending_review,2026-06-27 18:48:00
SNCC-000003,filtered_pattern,SP-000015,service representative,,0.0,0.2667,15,10,pending_review,2026-06-27 18:48:00
SNCC-000004,filtered_pattern,SP-000016,customer service representative,,0.0,0.28,15,11,pending_review,2026-06-27 18:48:00
SNCC-000005,filtered_pattern,SP-000018,amendment of,,0.0,0.3167,13,13,pending_review,2026-06-27 18:48:00
SNCC-000006,filtered_pattern,SP-000024,administered by,,0.0,0.3316,11,13,pending_review,2026-06-27 18:48:00
SNCC-000007,filtered_pattern,SP-000026,interior design,,0.0,0.28,11,10,pending_review,2026-06-27 18:48:00
SNCC-000008,filtered_pattern,SP-000027,data entry,,0.0,0.3,11,10,pending_review,2026-06-27 18:48:00
SNCC-000009,filtered_pattern,SP-000038,general clerk,,0.0,0.3161,10,10,pending_review,2026-06-27 18:48:00
SNCC-000010,filtered_pattern,SP-000040,section 1,,0.0,0.3267,9,9,pending_review,2026-06-27 18:48:00
SNCC-000011,filtered_pattern,SP-000041,the offeror,,0.0,0.3267,9,12,pending_review,2026-06-27 18:48:00
SNCC-000012,filtered_pattern,SP-000045,please provide,,0.0,0.2188,9,9,pending_review,2026-06-27 18:48:00
SNCC-000013,filtered_pattern,SP-000049,small business,,0.0,0.2882,9,9,pending_review,2026-06-27 18:48:00
SNCC-000014,filtered_pattern,SP-000055,fixed price,,0.0,0.2545,8,8,pending_review,2026-06-27 18:48:00
SNCC-000015,filtered_pattern,SP-000057,additional information,,0.0,0.3733,8,8,pending_review,2026-06-27 18:48:00
SNCC-000016,filtered_pattern,SP-000059,clerk ii,,0.0,0.28,8,8,pending_review,2026-06-27 18:48:00
SNCC-000017,filtered_pattern,SP-000060,clerk iii,,0.0,0.271,8,8,pending_review,2026-06-27 18:48:00
SNCC-000018,filtered_pattern,SP-000061,offerors shall,,0.0,0.2513,7,10,pending_review,2026-06-27 18:48:00
SNCC-000019,filtered_pattern,SP-000071,firm fixed price,,0.0,0.2667,7,8,pending_review,2026-06-27 18:48:00
SNCC-000020,filtered_pattern,SP-000073,unit price,,0.0,0.28,7,15,pending_review,2026-06-27 18:48:00
SNCC-000021,filtered_pattern,SP-000081,evaluation factors,Evaluation and Source Selection,0.2,0.3231,6,14,pending_review,2026-06-27 18:48:00
SNCC-000022,filtered_pattern,SP-000082,quote for,,0.0,0.25,6,9,pending_review,2026-06-27 18:48:00
SNCC-000023,filtered_pattern,SP-000092,contracting officer,,0.0,0.3667,6,14,pending_review,2026-06-27 18:48:00
SNCC-000024,filtered_pattern,SP-000096,administered by if,,0.0,0.3415,6,10,pending_review,2026-06-27 18:48:00
SNCC-000025,filtered_pattern,SP-000100,administered by if other,,0.0,0.3277,6,11,pending_review,2026-06-27 18:48:00
SNCC-000026,filtered_pattern,SP-000101,by if other than,,0.0,0.28,6,8,pending_review,2026-06-27 18:48:00
SNCC-000027,filtered_pattern,SP-000102,if other than item,,0.0,0.315,6,8,pending_review,2026-06-27 18:48:00
SNCC-000028,filtered_pattern,SP-000109,a firm fixed price,,0.0,0.2605,6,8,pending_review,2026-06-27 18:48:00
SNCC-000029,filtered_pattern,SP-000115,1 qty 1 ton,,0.0,0.28,6,8,pending_review,2026-06-27 18:48:00
SNCC-000030,filtered_pattern,SP-000116,qty 1 ton each,,0.0,0.28,6,8,pending_review,2026-06-27 18:48:00
SNCC-000031,filtered_pattern,SP-000122,the same,,0.0,0.25,6,9,pending_review,2026-06-27 18:48:00
SNCC-000032,filtered_pattern,SP-000127,table of contents,,0.0,0.293,6,10,pending_review,2026-06-27 18:48:00
SNCC-000033,filtered_pattern,SP-000151,fringe benefits required follow,,0.0,0.2247,6,8,pending_review,2026-06-27 18:48:00
SNCC-000034,filtered_pattern,SP-000152,benefits required follow the,,0.0,0.2872,6,8,pending_review,2026-06-27 18:48:00
SNCC-000035,filtered_pattern,SP-000153,required follow the occupational,,0.0,0.2471,6,8,pending_review,2026-06-27 18:48:00
SNCC-000036,filtered_pattern,SP-000154,follow the occupational listing,,0.0,0.308,6,8,pending_review,2026-06-27 18:48:00
SNCC-000037,filtered_pattern,SP-000155,the occupational listing occupation,,0.0,0.3244,6,8,pending_review,2026-06-27 18:48:00
SNCC-000038,filtered_pattern,SP-000156,occupational listing occupation code,,0.0,0.3128,6,8,pending_review,2026-06-27 18:48:00
SNCC-000039,filtered_pattern,SP-000157,listing occupation code title,,0.0,0.3316,6,8,pending_review,2026-06-27 18:48:00
SNCC-000040,filtered_pattern,SP-000158,occupation code title footnote,,0.0,0.3273,6,8,pending_review,2026-06-27 18:48:00
SNCC-000041,filtered_pattern,SP-000159,code title footnote rate,,0.0,0.293,6,8,pending_review,2026-06-27 18:48:00
SNCC-000042,filtered_pattern,SP-000160,title footnote rate 01000,,0.0,0.2227,6,8,pending_review,2026-06-27 18:48:00
