governance_score_id,semantic_object_id,semantic_object_type,canonical_name,domain_name,confidence_score,evidence_score,domain_score,type_score,entity_bonus,penalty,governance_score,promotion_status,graph_status,created_at
SGOV-000001,SPO2-000001,Submission Instruction,Solicitation Amendment,Submission and Proposal Management,0.902,0.95,1.0,1.0,0.0,0.0,0.896,promote_to_semantic_registry,graph_ready,2026-06-28 22:06:51
SGOV-000002,SPO2-000002,Domain Specific Requirement,National Cemetery Operations,Domain-Specific Operations,0.89,1.0,1.0,1.0,0.0,0.0,0.901,promote_to_semantic_registry,graph_ready,2026-06-28 22:06:51
SGOV-000003,SPO2-000003,Acquisition Metadata,Solicitation Number,Acquisition Strategy,0.777,0.47,1.0,1.0,0.0,0.0,0.744,promote_after_review,graph_candidate,2026-06-28 22:06:51
SGOV-000004,SPO2-000004,Contract Type,Firm Fixed Price,Commercial and Pricing,0.805,0.47,1.0,1.0,0.0,0.0,0.756,promote_after_review,graph_candidate,2026-06-28 22:06:51
SGOV-000005,SPO2-000005,Pricing Structure,Unit Price,Commercial and Pricing,0.79,0.47,1.0,1.0,0.0,0.0,0.75,promote_after_review,graph_candidate,2026-06-28 22:06:51
SGOV-000006,SPO2-000006,Procurement Role,Contracting Officer,Acquisition Strategy,0.802,0.47,1.0,1.0,0.0,0.0,0.755,promote_after_review,graph_candidate,2026-06-28 22:06:51
SGOV-000007,SPO2-000007,Technical Requirement,Performance Work Statement,Technical Requirements,0.811,0.47,1.0,1.0,0.0,0.0,0.759,promote_after_review,graph_candidate,2026-06-28 22:06:51
SGOV-000008,SPO2-000008,Evaluation Factor,Evaluation Factors,Evaluation and Source Selection,0.74,0.47,1.0,1.0,0.0,0.0,0.727,promote_after_review,graph_candidate,2026-06-28 22:06:51
SGOV-000009,SPO2-000009,Document Structure Object,Table of Contents,Document Structure and Administrative Forms,0.704,0.47,1.0,1.0,0.0,0.0,0.711,promote_after_review,graph_candidate,2026-06-28 22:06:51
SGOV-000010,SPO2-000010,Supplier Qualification,Past Performance,Supplier Eligibility and Qualifications,0.734,0.47,1.0,1.0,0.0,0.0,0.724,promote_after_review,graph_candidate,2026-06-28 22:06:51
SGOV-000011,SPO2-000011,Acquisition Metadata,Request for Information,Acquisition Strategy,0.761,0.47,1.0,1.0,0.0,0.0,0.736,promote_after_review,graph_candidate,2026-06-28 22:06:51
SGOV-000012,SPO2-000012,Administrative Service Labor Category,Administrative Support and Clerical,Performance and Operations,0.78,0.47,1.0,1.0,0.06,0.0,0.805,promote_after_review,graph_candidate,2026-06-28 22:06:51
