qa_metric_id,metric_name,metric_value,status,created_at
W8B-P2-QA-000001,source_canonical_expressions,74,info,2026-06-28 17:16:16
W8B-P2-QA-000002,eligible_or_review_expressions,46,pass,2026-06-28 17:16:16
W8B-P2-QA-000003,ineligible_expressions,28,info,2026-06-28 17:16:16
W8B-P2-QA-000004,semantic_rules_created,40,pass,2026-06-28 17:16:16
W8B-P2-QA-000005,semantic_objects_v2,36,pass,2026-06-28 17:16:16
W8B-P2-QA-000006,interpreted_objects,20,pass,2026-06-28 17:16:16
W8B-P2-QA-000007,uninterpreted_objects,16,review,2026-06-28 17:16:16
W8B-P2-QA-000008,object_evidence_rows,46,pass,2026-06-28 17:16:16
W8B-P2-QA-000009,confidence_rows,36,pass,2026-06-28 17:16:16
W8B-P2-QA-000010,review_queue_rows,36,info,2026-06-28 17:16:16
W8B-P2-QA-000011,interpretation_coverage_pct,55.56,pass,2026-06-28 17:16:16
W8B-P2-QA-000012,review_rate_pct,100.0,review,2026-06-28 17:16:16
