:START_ID,:END_ID,:TYPE,edge_id,relationship_type,confidence:float,evidence_basis
KGNODE2-000003,KGNODE2-000013,HAS_PRICING_STRUCTURE,KGEDGE-000001,has_pricing_structure,0.72,semantic_object_relationship_registry_v1
KGNODE2-000003,KGNODE2-000029,HAS_PRICING_STRUCTURE,KGEDGE-000002,has_pricing_structure,0.72,semantic_object_relationship_registry_v1
KGNODE2-000006,KGNODE2-000014,USES_EVALUATION_FACTOR,KGEDGE-000003,uses_evaluation_factor,0.72,semantic_object_relationship_registry_v1
KGNODE2-000019,KGNODE2-000001,REQUIRES_SUBMISSION_INSTRUCTION,KGEDGE-000004,requires_submission_instruction,0.72,semantic_object_relationship_registry_v1
KGNODE2-000005,KGNODE2-000016,REQUIRES_SUPPLIER_CAPABILITY,KGEDGE-000005,requires_supplier_capability,0.72,semantic_object_relationship_registry_v1
KGNODE2-000005,KGNODE2-000021,REQUIRES_SUPPLIER_CAPABILITY,KGEDGE-000006,requires_supplier_capability,0.72,semantic_object_relationship_registry_v1
KGNODE2-000025,KGNODE2-000016,REQUIRES_SUPPLIER_CAPABILITY,KGEDGE-000007,requires_supplier_capability,0.72,semantic_object_relationship_registry_v1
KGNODE2-000025,KGNODE2-000021,REQUIRES_SUPPLIER_CAPABILITY,KGEDGE-000008,requires_supplier_capability,0.72,semantic_object_relationship_registry_v1
KGNODE2-000022,KGNODE2-000013,AFFECTS_PRICE,KGEDGE-000009,affects_price,0.72,semantic_object_relationship_registry_v1
KGNODE2-000022,KGNODE2-000029,AFFECTS_PRICE,KGEDGE-000010,affects_price,0.72,semantic_object_relationship_registry_v1
KGNODE2-000004,KGNODE2-000001,ISSUES_OR_RECEIVES,KGEDGE-000011,issues_or_receives,0.72,semantic_object_relationship_registry_v1
KGNODE2-000012,KGNODE2-000006,SHAPES_SOURCE_SELECTION,KGEDGE-000012,shapes_source_selection,0.72,semantic_object_relationship_registry_v1
KGNODE2-000017,KGNODE2-000006,SHAPES_SOURCE_SELECTION,KGEDGE-000013,shapes_source_selection,0.72,semantic_object_relationship_registry_v1
KGNODE2-000020,KGNODE2-000006,SHAPES_SOURCE_SELECTION,KGEDGE-000014,shapes_source_selection,0.72,semantic_object_relationship_registry_v1
KGNODE2-000023,KGNODE2-000006,SHAPES_SOURCE_SELECTION,KGEDGE-000015,shapes_source_selection,0.72,semantic_object_relationship_registry_v1
KGNODE2-000024,KGNODE2-000006,SHAPES_SOURCE_SELECTION,KGEDGE-000016,shapes_source_selection,0.72,semantic_object_relationship_registry_v1
KGNODE2-000028,KGNODE2-000006,SHAPES_SOURCE_SELECTION,KGEDGE-000017,shapes_source_selection,0.72,semantic_object_relationship_registry_v1
KGNODE2-000002,KGNODE2-000005,SPECIALIZES_REQUIREMENT,KGEDGE-000018,specializes_requirement,0.72,semantic_object_relationship_registry_v1
KGNODE2-000002,KGNODE2-000025,SPECIALIZES_REQUIREMENT,KGEDGE-000019,specializes_requirement,0.72,semantic_object_relationship_registry_v1
KGNODE2-000012,KGNODE2-000001,DEFINES_SUBMISSION_CONTEXT,KGEDGE-000020,defines_submission_context,0.74,domain_inference
KGNODE2-000017,KGNODE2-000001,DEFINES_SUBMISSION_CONTEXT,KGEDGE-000021,defines_submission_context,0.74,domain_inference
KGNODE2-000020,KGNODE2-000001,DEFINES_SUBMISSION_CONTEXT,KGEDGE-000022,defines_submission_context,0.74,domain_inference
KGNODE2-000023,KGNODE2-000001,DEFINES_SUBMISSION_CONTEXT,KGEDGE-000023,defines_submission_context,0.74,domain_inference
KGNODE2-000024,KGNODE2-000001,DEFINES_SUBMISSION_CONTEXT,KGEDGE-000024,defines_submission_context,0.74,domain_inference
KGNODE2-000028,KGNODE2-000001,DEFINES_SUBMISSION_CONTEXT,KGEDGE-000025,defines_submission_context,0.74,domain_inference
KGNODE2-000022,KGNODE2-000013,AFFECTS_PRICING,KGEDGE-000026,affects_pricing,0.68,delivery_pricing_inference
KGNODE2-000022,KGNODE2-000029,AFFECTS_PRICING,KGEDGE-000027,affects_pricing,0.68,delivery_pricing_inference
