product,customer,customer_pain,willingness_to_pay,market_size,data_readiness,automation,recurring_revenue,competitive_advantage,ease_of_delivery,total_score
Renewal Watch,Government Contractors,10,9,10,9,10,9,9,8,74
Procurement Weekly,Broad Market,8,8,9,10,10,10,8,10,73
Procurement Terminal,Enterprise,10,10,10,8,10,10,10,5,73
Department Buyer Intelligence,BD Teams,9,8,9,10,10,8,9,9,72
Competitive Intelligence,Vendors,10,9,9,8,8,9,9,7,69
Supplier Market Intelligence,Investors,8,8,8,9,9,8,8,8,66
Category Intelligence,Suppliers,8,8,8,9,9,8,8,8,66
Forecasting Intelligence,Enterprise,9,10,9,5,8,10,10,4,65
Procurement Risk Intelligence,Media/Watchdogs,8,7,8,6,8,7,9,6,59
Benchmarking Intelligence,Departments,7,7,7,8,8,7,7,7,58
