asset_class,product_name,target_customer,supporting_assets
Buyer Intelligence,Department Buyer Intelligence,Government Contractors,66
Buyer Intelligence,Federal Buyer Scorecards,Sales Teams,66
Buyer Intelligence,Buyer Benchmark Reports,Government Departments,66
Category Market Intelligence,Category Opportunity Reports,Suppliers,36
Category Market Intelligence,Industry Demand Tracker,Associations,36
Category Market Intelligence,Market Growth Intelligence,Investors,36
Contract Amendment Intelligence,Contract Risk Monitor,Media,20
Contract Amendment Intelligence,Amendment Watch,Auditors,20
Contract Amendment Intelligence,Supplier Expansion Tracker,Investors,20
Geographic Intelligence,Regional Spend Monitor,Economic Agencies,14
Geographic Intelligence,Supplier Geography Intelligence,Suppliers,14
Geographic Intelligence,Foreign Supplier Tracker,Policy Groups,14
Procurement Process Intelligence,Procurement Method Intelligence,Consultants,20
Procurement Process Intelligence,Competition Intelligence,Vendors,20
Procurement Process Intelligence,Sole Source Monitor,Media,20
Relationship Intelligence,Buyer Contact Intelligence,BD Teams,78
Relationship Intelligence,Capture Management Intelligence,Capture Managers,78
Relationship Intelligence,Relationship Mapping Service,Enterprise,78
Semantic Intelligence,AI Opportunity Matching,Contractors,24
Semantic Intelligence,Sector Intelligence Briefings,Researchers,24
Semantic Intelligence,Tender Discovery Engine,Sales Teams,24
Supplier Intelligence,Supplier Market Share Intelligence,Investors,56
Supplier Intelligence,Competitive Intelligence,Vendors,56
Supplier Intelligence,Supplier Scorecards,Suppliers,56
Timing Intelligence,Renewal Watch,Contractors,24
Timing Intelligence,Procurement Calendar,Sales Teams,24
Timing Intelligence,Expiry Intelligence,Vendors,24
