product_name,target_customer,economic_score,revenue_potential,recurring_revenue,automation,strategic_moat,competition,support_effort,build_effort,churn_resistance
Renewal Watch,Contractors,64,9,10,9,8,7,7,7,7
Capture Management Intelligence,Capture Managers,59,8,8,8,7,7,7,7,7
Relationship Mapping Service,Enterprise,59,8,8,8,7,7,7,7,7
Amendment Watch,Auditors,59,8,8,8,7,7,7,7,7
Department Buyer Intelligence,Government Contractors,59,8,8,8,7,7,7,7,7
Buyer Benchmark Reports,Government Departments,59,8,8,8,7,7,7,7,7
Category Opportunity Reports,Suppliers,59,8,8,8,7,7,7,7,7
Market Growth Intelligence,Investors,59,8,8,8,7,7,7,7,7
Industry Demand Tracker,Associations,59,8,8,8,7,7,7,7,7
Contract Risk Monitor,Media,59,8,8,8,7,7,7,7,7
Federal Buyer Scorecards,Sales Teams,59,8,8,8,7,7,7,7,7
AI Opportunity Matching,Contractors,59,8,8,8,7,7,7,7,7
Supplier Geography Intelligence,Suppliers,59,8,8,8,7,7,7,7,7
Supplier Expansion Tracker,Investors,59,8,8,8,7,7,7,7,7
Regional Spend Monitor,Economic Agencies,59,8,8,8,7,7,7,7,7
Sole Source Monitor,Media,59,8,8,8,7,7,7,7,7
Competition Intelligence,Vendors,59,8,8,8,7,7,7,7,7
Procurement Method Intelligence,Consultants,59,8,8,8,7,7,7,7,7
Foreign Supplier Tracker,Policy Groups,59,8,8,8,7,7,7,7,7
Competitive Intelligence,Vendors,59,8,8,8,7,7,7,7,7
Sector Intelligence Briefings,Researchers,59,8,8,8,7,7,7,7,7
Supplier Market Share Intelligence,Investors,59,8,8,8,7,7,7,7,7
Tender Discovery Engine,Sales Teams,59,8,8,8,7,7,7,7,7
Procurement Calendar,Sales Teams,59,8,8,8,7,7,7,7,7
Supplier Scorecards,Suppliers,59,8,8,8,7,7,7,7,7
Expiry Intelligence,Vendors,59,8,8,8,7,7,7,7,7
Buyer Contact Intelligence,BD Teams,55,8,8,8,7,7,5,6,6
