supplier_master_name,renewal_count,renewal_value
Wcg International Consultants Ltd.; Lifemark Health Corp IN Joint Venture,2,1387002931.26
Oracle Canada,9,746826458.91
Ellisdon Civil Ltd.,2,666782009.54
Babcock International Group,1,665452127.92
Vfs Global,5,615179409.16
Deloitte Inc.,14,559139286.53
ADGA Group Consultants Inc,7,539710617.09
Orenda Aerospace Corporation,3,505989549.53
General Dynamics Mission Systems - Canada,2,447413596.42
PWC / PRICEWATERHOUSECOOPERS,15,403179272.82
General Dynamics Land Systems - Canada,4,399697186.73
Moderna Biopharma Canada Corporation,1,360542979.65
Accenture,7,355593333.56
United States Department OF The Navy (navsea),15,355190325.0
Medavie Blue Cross,1,311462995.0
Standard Aero Ltd,1,289215534.56
Heddle Marine Service Inc,2,278555650.0
C3 Fuel Nunavik Inc.,2,256416785.86
Calian Ltd.,22,247896059.26
IBM Canada Ltd,18,225519560.06
Pfizer Canada Inc,1,218379736.4
General Dynamics Ordnance And Tactical Systems - Canada Inc,22,209948598.0
International Airfinance Corporation,1,204000000.0
"Infosys Public Services, Inc",1,203399661.77
Ontario Shipyards,4,191334534.88
Aecom,10,178704229.61
Sirva Canada LP,2,174842147.94
Raytheon Canada Ltd,5,165028063.12
Atlantic Towing Ltd,1,159979076.6
Merck Canada Inc,2,147689048.62
United States Department OF The Navy (navair),19,146365890.0
ST Johns Dockyard Ltd,4,141635390.98
Garda Canada Security Corporation,5,131852317.97
Manteena Security (aust) Pty Ltd,4,131219437.76
Chantier Naval Forillon,2,127516532.0
D/b/a Emergent Biosolutions,5,125839445.67
United States Department OF The Air Force (afsac),14,125192208.0
Teksystems,12,121814565.49
General Electric Canada,1,115000000.0
Gec Aviation Inc,1,115000000.0
Canadensys Aerospace Corporation,3,103718121.66
"Pcl Constructors West Coast Inc., Pcl Constructors Canada Inc., In Joint Venture",1,101851571.62
Glaxosmithkline Inc,4,101628599.42
Zeidler Architecture,1,101621997.35
Pomerleau Inc,2,96966479.67
Modis Canada Inc,8,96220799.67
Imp Group Ltd - Aerospace Division,4,95619202.48
LE Groupe Harnois Inc,2,93846104.8
Mercedes-benz Canada Inc,4,92055795.0
Systematix IT Solutions Inc,5,90471812.77
Veritaaq Technology House Inc,8,78912628.26
L3HARRIS Mas,1,78706802.0
Daimler Truck AG,2,74594314.31
Randstad Interim Inc,7,73982824.05
Sanexen Environmental Services Inc.,1,72448172.66
Lockheed Martin Canada Inc,4,70962344.75
Ford Of Canada,1,70000000.0
MDA Systems Ltd,8,69212756.2
Rohde And Schwarz,3,69161478.18
United States Department OF The Air Force (afsat),7,68760061.0
Pylon Electronics Inc,1,66823490.45
"Zodiac Hurricane Technologies, Inc",2,64248153.79
MDA Geospatial Services,2,64110848.11
"Harris Corporation, RF Communications Division",4,63870258.7
Rheinmetall Canada Inc,2,63857116.0
"Colliers Project Leaders Inc, Tiree Facility Solutions Inc IN Joint Venture",6,61507687.28
Cbn,1,61124570.95
Sanofi Pasteur Ltd/sanofi Pasteur Limitee,2,60204284.3
Ebc Inc,1,59999000.0
Arup Canada Inc,1,59645049.43
Emergent Biodefense Operations Lansing,2,59341212.4
Baxters Canada Inc,1,57640358.88
General Motors OF Canada Ltd,1,56000000.0
"Bluewave Energy, Ultramar, Columbia Fuels",3,54933723.84
