supplier_master_id,supplier_master_name,supplier_master_match_status,contract_number,reference_number,title,buyer_department,procurement_category,award_date,contract_start_date,clean_contract_end_date,days_until_end,clean_contract_value,quality_tier,opportunity_score,_value,_days
SUP6C483777BD96,Oracle Canada,high_exact_master_name,EN578-150979/001/XL,EN578-150979/001/XL,Amend 154 - ORACLE MandS MASTER CONTRACT - Oracle Canada ULC,Public Services and Procurement Canada,Goods,2015-04-20,2015-04-20,2027-03-31,287,738956684.76,gold,500,738956684.76,287
SUP08DDC1888667,Wcg International Consultants Ltd.; Lifemark Health Corp IN Joint Venture,review_multiple_stripped_name_matches_best_count,51019-184018/001/STJ,51019-184018/001/STJ,WCG INTERNATIONAL CONSULTANTS LTD; LIFEMARK HEALTH CORP IN JOINT VENTURE (51019-184018/001/STJ~000),Veterans Affairs Canada,Services,2021-06-29,,2026-12-31,197,693501465.63,gold,500,693501465.63,197
SUP08DDC1888667,Wcg International Consultants Ltd.; Lifemark Health Corp IN Joint Venture,review_multiple_stripped_name_matches_best_count,51019-184018/001/STJ,51019-184018/001/STJ,Rehabilitation Services - WCG International Consultants Ltd.; Lifemark Health Corp IN JOINT VENTURE,Veterans Affairs Canada,Services,2021-06-29,2021-06-29,2026-12-31,197,693501465.63,gold,500,693501465.63,197
SUP9024156C62C4,Babcock International Group,high_exact_master_name,W8483-065814/004/SLE,W8483-065814/004/SLE,Amend 019 - HMCS VICTORIA EDWP II - Babcock Canada Inc.,Department of National Defence,Goods,2023-05-05,2023-05-05,2027-02-05,233,665452127.92,gold,500,665452127.92,233
SUP1B09E8171132,Ellisdon Civil Ltd.,medium_unique_stripped_name,EH900-190297/001/FG,EH900-190297/001/FG,Amend 038 and 039 - Construction of Other Buildings - EllisDon Corporation,Public Services and Procurement Canada,Services,2018-09-26,2018-09-27,2026-12-31,197,633471081.1,gold,500,633471081.1,197
SUP99A652AD9354,Orenda Aerospace Corporation,review_multiple_stripped_name_matches_best_count,W8485-13DL02/001/BB,W8485-13DL02/001/BB,ORENDA AEROSPACE CORPORATION (W8485-13DL02/001/BB~012),Department of National Defence,Goods,2017-01-17,,2027-03-31,287,470450655.0,gold,470.45,470450655.0,287
SUPBE9DCB6F0FD3,Deloitte Inc.,medium_unique_normalized_name,47064-165038/001/EL,47064-165038/001/EL,CARM Solution - Informatics Professional Services - Deloitte Inc.,Public Services and Procurement Canada,Services,2018-02-07,2018-02-07,2027-02-06,234,454815463.47,gold,454.82,454815463.47,234
SUP6654F6A5FB05,General Dynamics Mission Systems - Canada,high_exact_master_name,W8482-168150/001/FX,W8482-168150/001/FX,GENERAL DYNAMICS MISSION SYSTEMS - CANADA (W8482-168150/001/FX~000),Department of National Defence,Goods,2020-10-30,,2026-10-31,136,416491787.42,gold,416.49,416491787.42,136
SUPB1B606F4BB41,General Dynamics Land Systems - Canada,high_exact_master_name,CW2392537,CW2392537,Light Armoured Vehicle Reconnaissance Surveillance System (LRSS),Department of National Defence,Goods,2015-02-01,2015-02-01,2026-10-31,136,372991343.73,gold,372.99,372991343.73,136
SUP6D53716709C6,Moderna Biopharma Canada Corporation,medium_unique_stripped_name,CW2407275,CW2407275,COVID-19 Vaccines,Public Services and Procurement Canada,Goods,2025-06-30,2025-06-30,2027-03-31,287,360542979.65,gold,360.54,360542979.65,287
SUP585D8D584792,Medavie Blue Cross,review_multiple_stripped_name_matches_best_count,51019-072007/001/PWB,51019-072007/001/PWB,Federal Health Claims Process,Veterans Affairs Canada,Services,2014-01-06,2014-01-06,2026-07-31,44,311462995.0,gold,311.46,311462995.0,44
SUPE87E6A65FD32,Standard Aero Ltd,medium_unique_stripped_name,W8485-15QF01/001/BF,W8485-15QF01/001/BF,STANDARD AERO LTD (W8485-15QF01/001/BF~013),Department of National Defence,Goods,2017-01-17,,2027-03-31,287,289215534.56,gold,289.22,289215534.56,287
SUP56CD153E47A2,C3 Fuel Nunavik Inc.,medium_unique_stripped_name,CW2395431,CW2395431,E60HL-250052 Bulk Aviation 2025-2027,Public Services and Procurement Canada,Goods,2025-03-07,2025-04-01,2027-03-31,287,255496514.46,gold,255.5,255496514.46,287
SUPF6DC17CD0F31,ADGA Group Consultants Inc,review_multiple_stripped_name_matches_best_count,W8486-207088/001/IPS,W8486-207088/001/IPS,ADGA GROUP CONSULTANTS INC (W8486-207088/001/IPS~000),Department of National Defence,Services,2022-03-03,,2027-03-02,258,245475777.0,gold,245.48,245475777.0,258
SUPF6DC17CD0F31,ADGA Group Consultants Inc,review_multiple_stripped_name_matches_best_count,W8486-207088/001/IPS,W8486-207088/001/IPS,Amend 001 - LC4ISR Prof Svcs - ADGA Group Consultants Inc.,Department of National Defence,Services,2022-03-03,2022-03-03,2027-03-02,258,245475777.0,gold,245.48,245475777.0,258
SUP3F0E61A1C3EC,Vfs Global,review_multiple_stripped_name_matches_best_count,B8694-150140/002/XQ,B8694-150140/002/XQ,VAC GLOBAL CONTRACT - Region 2,Public Services and Procurement Canada,Services,2018-02-22,2018-02-22,2026-10-31,136,224689518.16,gold,224.69,224689518.16,136
SUPF09202F8A19E,Pfizer Canada Inc,review_multiple_stripped_name_matches_best_count,CW2407284,CW2407284,COVID-19 Vaccines,Public Services and Procurement Canada,Goods,2025-06-30,2025-06-30,2027-03-31,287,218379736.4,gold,218.38,218379736.4,287
SUPE635F9AF0982,International Airfinance Corporation,medium_unique_stripped_name,W847A-230341/001/STT,W847A-230341/001/STT,INTERNATIONAL AIRFINANCE CORPORATION (W847A-230341/001/STT~000),Department of National Defence,Goods,2023-06-30,,2026-12-31,197,204000000.0,gold,204.0,204000000.0,197
SUP0D6C9B637449,"Infosys Public Services, Inc",review_multiple_stripped_name_matches_best_count,EN578-131350/001/XN,EN578-131350/001/XN,Amend 032 - e-Procurement Solution (EPS),Public Services and Procurement Canada,Services,2018-07-10,2018-07-04,2026-07-03,16,203399661.77,gold,203.4,203399661.77,16
SUP50328E233FE0,United States Department OF The Navy (navsea),medium_unique_stripped_name,W847S-200104/001/USW,W847S-200104/001/USW,UNITED STATES DEPARTMENT OF THE NAVY (NAVSEA) (W847S-200104/001/USW~000),Department of National Defence,Services,2020-05-20,,2027-05-20,337,185169814.0,gold,185.17,185169814.0,337
SUPNAME1800D2341480,PWC / PRICEWATERHOUSECOOPERS,low_synthetic_name_only,CW2247514,CW2247514,In-Service Support for the Defence Resource Information Management System (DRMIS),Department of National Defence,Services,2022-11-15,2022-11-15,2026-11-14,150,180800000.0,gold,180.8,180800000.0,150
SUP1C8505FCD4C8,Atlantic Towing Ltd,review_multiple_stripped_name_matches_best_count,F7017-160056/001/MB,F7017-160056/001/MB,Amend 011 - Emergency Towing Vessels - Atlantic Towing Limited,Fisheries and Oceans Canada,Services,2018-08-09,2018-08-09,2026-11-08,144,159979076.6,gold,159.98,159979076.6,144
SUP3F0E61A1C3EC,Vfs Global,review_multiple_stripped_name_matches_best_count,B8694-150140/001/XQ,B8694-150140/001/XQ,VAC GLOBAL CONTRACT - Region 1,Public Services and Procurement Canada,Services,2018-02-22,2018-02-22,2026-10-31,136,159767642.0,gold,159.77,159767642.0,136
SUP595FC5CD364B,Sirva Canada LP,review_multiple_stripped_name_matches_best_count,W6369-150002/001/ZL,W6369-150002/001/ZL,Amend 007 - RELOCATION ASSISTANCE - CAF - Brookfield Global Relocation Services Limited,Department of National Defence,Services,2016-08-25,2016-08-25,2026-11-30,166,157126250.0,gold,157.13,157126250.0,166
SUPFC0E74E2BA90,Merck Canada Inc,review_multiple_stripped_name_matches_best_count,CW2355553,CW2355553,"MMR, MMRV and Varicella vaccins",Public Services and Procurement Canada,Goods,2024-03-25,2024-04-01,2027-03-31,287,147474248.62,gold,147.47,147474248.62,287
SUP83C3F8A054C3,Aecom,high_exact_master_name,EZ897-212881/001/FAR,EZ897-212881/001/FAR,Remediation Plan Design and Support Services (Quality Assurance),Public Services and Procurement Canada,Services,2022-03-04,2022-03-04,2027-03-31,287,145725000.0,gold,145.72,145725000.0,287
SUPAABAD6F923A3,Ontario Shipyards,high_exact_master_name,F7049-200041/001/MP,F7049-200041/001/MP,Amend 008 - CCGS Terry Fox VLE - Ontario Shipyards Inc.,Fisheries and Oceans Canada,Goods,2022-10-27,2022-10-27,2027-05-03,320,143519660.72,gold,143.52,143519660.72,320
SUPBE0942CD2343,Heddle Marine Service Inc,review_multiple_stripped_name_matches_best_count,F7049-200041/001/MD,F7049-200041/001/MD,HEDDLE MARINE SERVICE INC (F7049-200041/001/MD~000),Fisheries and Oceans Canada,Services and Goods,2022-10-27,,2026-06-28,11,139277825.0,gold,139.28,139277825.0,11
