source_file,source_path,estimated_file_rows,column_name,likely_type,sample_population_pct_first_500,commercial_asset_class,commercial_value_score,commercial_use_case,sample_values
all_canadabuys_award_notices_2022_08_08_onwards.csv,C:\ProcurementIntelligence\data\raw\canadabuys_award_notices\all_canadabuys_award_notices_2022_08_08_onwards.csv,738670,contractAmount-montantContrat,numeric,100.0,spend_intelligence,10,"Spend ranking, market share, contract value analysis.",215000.0 | 1500000.0 | 250000.0 | 1500000.0 | 1.0
all_canadabuys_award_notices_2022_08_08_onwards.csv,C:\ProcurementIntelligence\data\raw\canadabuys_award_notices\all_canadabuys_award_notices_2022_08_08_onwards.csv,738670,totalContractValue-valeurTotaleContrat,numeric,98.2,spend_intelligence,10,"Spend ranking, market share, contract value analysis.",0.0 | 0.0 | 0.0 | 0.0 | 0.0
all_canadabuys_contract_history_2023_06_01_onwards.csv,C:\ProcurementIntelligence\data\raw\canadabuys_contract_history\all_canadabuys_contract_history_2023_06_01_onwards.csv,311541,contractAmount-montantContrat,numeric,100.0,spend_intelligence,10,"Spend ranking, market share, contract value analysis.",366870.0 | 18576135.0 | 549180.0 | 595000.0 | 148940954.0
all_canadabuys_contract_history_2023_06_01_onwards.csv,C:\ProcurementIntelligence\data\raw\canadabuys_contract_history\all_canadabuys_contract_history_2023_06_01_onwards.csv,311541,totalContractValue-valeurTotaleContrat,numeric,100.0,spend_intelligence,10,"Spend ranking, market share, contract value analysis.",366870.0 | 18576135.0 | 549180.0 | 595000.0 | 103130475.56
legacy_award_notices_2012_to_2022_08_prior_to_canadabuys.csv,C:\ProcurementIntelligence\data\raw\canadabuys_award_notices\legacy_award_notices_2012_to_2022_08_prior_to_canadabuys.csv,1964356,contractAmount-montantContrat,numeric,100.0,spend_intelligence,10,"Spend ranking, market share, contract value analysis.",503756.03 | 203400.0 | 141250.0 | 209050.0 | 31696.5
legacy_award_notices_2012_to_2022_08_prior_to_canadabuys.csv,C:\ProcurementIntelligence\data\raw\canadabuys_award_notices\legacy_award_notices_2012_to_2022_08_prior_to_canadabuys.csv,1964356,totalContractValue-valeurTotaleContrat,empty_or_unknown,0.0,spend_intelligence,10,"Spend ranking, market share, contract value analysis.",
legacy_contract_history_2009_01_to_2023_05_prior_to_canadabuys.csv,C:\ProcurementIntelligence\data\raw\canadabuys_contract_history\legacy_contract_history_2009_01_to_2023_05_prior_to_canadabuys.csv,3345293,contractAmount-montantContrat,numeric,100.0,spend_intelligence,10,"Spend ranking, market share, contract value analysis.",0.0 | 0.0 | 0.0 | 0.0 | 0.0
legacy_contract_history_2009_01_to_2023_05_prior_to_canadabuys.csv,C:\ProcurementIntelligence\data\raw\canadabuys_contract_history\legacy_contract_history_2009_01_to_2023_05_prior_to_canadabuys.csv,3345293,totalContractValue-valeurTotaleContrat,numeric,100.0,spend_intelligence,10,"Spend ranking, market share, contract value analysis.",0.0 | 0.0 | 0.0 | 0.0 | 0.0
all_canadabuys_award_notices_2022_08_08_onwards.csv,C:\ProcurementIntelligence\data\raw\canadabuys_award_notices\all_canadabuys_award_notices_2022_08_08_onwards.csv,738670,contractingEntityAddressCity-entiteContractanteAdresseVille-eng,text,100.0,buyer_intelligence,9,"Buyer intelligence, department profiles, procurement behaviour.",Regina | Regina | Regina | Regina | Regina
all_canadabuys_award_notices_2022_08_08_onwards.csv,C:\ProcurementIntelligence\data\raw\canadabuys_award_notices\all_canadabuys_award_notices_2022_08_08_onwards.csv,738670,contractingEntityAddressCity-entiteContractanteAdresseVille-fra,text,100.0,buyer_intelligence,9,"Buyer intelligence, department profiles, procurement behaviour.",Regina | Regina | Regina | Regina | Regina
all_canadabuys_award_notices_2022_08_08_onwards.csv,C:\ProcurementIntelligence\data\raw\canadabuys_award_notices\all_canadabuys_award_notices_2022_08_08_onwards.csv,738670,contractingEntityAddressCountry-entiteContractanteAdressePays-eng,text,100.0,buyer_intelligence,9,"Buyer intelligence, department profiles, procurement behaviour.",Canada | Canada | Canada | Canada | Canada
all_canadabuys_award_notices_2022_08_08_onwards.csv,C:\ProcurementIntelligence\data\raw\canadabuys_award_notices\all_canadabuys_award_notices_2022_08_08_onwards.csv,738670,contractingEntityAddressCountry-entiteContractanteAdressePays-fra,text,100.0,buyer_intelligence,9,"Buyer intelligence, department profiles, procurement behaviour.",Canada | Canada | Canada | Canada | Canada
all_canadabuys_award_notices_2022_08_08_onwards.csv,C:\ProcurementIntelligence\data\raw\canadabuys_award_notices\all_canadabuys_award_notices_2022_08_08_onwards.csv,738670,contractingEntityAddressLine-ligneAdresseEntiteContractante-eng,text,100.0,buyer_intelligence,9,"Buyer intelligence, department profiles, procurement behaviour.",1800 Hamilton Street | 1800 Hamilton Street | 1800 Hamilton Street | 1800 Hamilton Street | 1800 Hamilton Street
all_canadabuys_award_notices_2022_08_08_onwards.csv,C:\ProcurementIntelligence\data\raw\canadabuys_award_notices\all_canadabuys_award_notices_2022_08_08_onwards.csv,738670,contractingEntityAddressLine-ligneAdresseEntiteContractante-fra,text,100.0,buyer_intelligence,9,"Buyer intelligence, department profiles, procurement behaviour.",1800 Hamilton Street | 1800 Hamilton Street | 1800 Hamilton Street | 1800 Hamilton Street | 1800 Hamilton Street
all_canadabuys_award_notices_2022_08_08_onwards.csv,C:\ProcurementIntelligence\data\raw\canadabuys_award_notices\all_canadabuys_award_notices_2022_08_08_onwards.csv,738670,contractingEntityAddressPostalCode-entiteContractanteAdresseCodePostal,text,100.0,buyer_intelligence,9,"Buyer intelligence, department profiles, procurement behaviour.",S4P 4L3 | S4P 4L3 | S4P 4L3 | S4P 4L3 | S4P 4L3
all_canadabuys_award_notices_2022_08_08_onwards.csv,C:\ProcurementIntelligence\data\raw\canadabuys_award_notices\all_canadabuys_award_notices_2022_08_08_onwards.csv,738670,contractingEntityAddressProvince-entiteContractanteAdresseProvince-eng,text,100.0,buyer_intelligence,9,"Buyer intelligence, department profiles, procurement behaviour.",Saskatchewan | Saskatchewan | Saskatchewan | Saskatchewan | Saskatchewan
all_canadabuys_award_notices_2022_08_08_onwards.csv,C:\ProcurementIntelligence\data\raw\canadabuys_award_notices\all_canadabuys_award_notices_2022_08_08_onwards.csv,738670,contractingEntityAddressProvince-entiteContractanteAdresseProvince-fra,text,100.0,buyer_intelligence,9,"Buyer intelligence, department profiles, procurement behaviour.",Saskatchewan | Saskatchewan | Saskatchewan | Saskatchewan | Saskatchewan
all_canadabuys_award_notices_2022_08_08_onwards.csv,C:\ProcurementIntelligence\data\raw\canadabuys_award_notices\all_canadabuys_award_notices_2022_08_08_onwards.csv,738670,contractingEntityName-nomEntitContractante-eng,text,100.0,buyer_intelligence,9,"Buyer intelligence, department profiles, procurement behaviour.",Farm Credit Canada (FCC) | Farm Credit Canada (FCC) | Farm Credit Canada (FCC) | Farm Credit Canada (FCC) | Farm Credit Canada (FCC)
all_canadabuys_award_notices_2022_08_08_onwards.csv,C:\ProcurementIntelligence\data\raw\canadabuys_award_notices\all_canadabuys_award_notices_2022_08_08_onwards.csv,738670,contractingEntityName-nomEntitContractante-fra,text,100.0,buyer_intelligence,9,"Buyer intelligence, department profiles, procurement behaviour.",Farm Credit Canada (FCC) | Farm Credit Canada (FCC) | Farm Credit Canada (FCC) | Farm Credit Canada (FCC) | Farm Credit Canada (FCC)
all_canadabuys_contract_history_2023_06_01_onwards.csv,C:\ProcurementIntelligence\data\raw\canadabuys_contract_history\all_canadabuys_contract_history_2023_06_01_onwards.csv,311541,contractingEntityAddressCity-entiteContractanteAdresseVille-eng,empty_or_unknown,0.0,buyer_intelligence,9,"Buyer intelligence, department profiles, procurement behaviour.",
all_canadabuys_contract_history_2023_06_01_onwards.csv,C:\ProcurementIntelligence\data\raw\canadabuys_contract_history\all_canadabuys_contract_history_2023_06_01_onwards.csv,311541,contractingEntityAddressCity-entiteContractanteAdresseVille-fra,empty_or_unknown,0.0,buyer_intelligence,9,"Buyer intelligence, department profiles, procurement behaviour.",
all_canadabuys_contract_history_2023_06_01_onwards.csv,C:\ProcurementIntelligence\data\raw\canadabuys_contract_history\all_canadabuys_contract_history_2023_06_01_onwards.csv,311541,contractingEntityAddressCountry-entiteContractanteAdressePays-eng,empty_or_unknown,0.0,buyer_intelligence,9,"Buyer intelligence, department profiles, procurement behaviour.",
all_canadabuys_contract_history_2023_06_01_onwards.csv,C:\ProcurementIntelligence\data\raw\canadabuys_contract_history\all_canadabuys_contract_history_2023_06_01_onwards.csv,311541,contractingEntityAddressCountry-entiteContractanteAdressePays-fra,empty_or_unknown,0.0,buyer_intelligence,9,"Buyer intelligence, department profiles, procurement behaviour.",
all_canadabuys_contract_history_2023_06_01_onwards.csv,C:\ProcurementIntelligence\data\raw\canadabuys_contract_history\all_canadabuys_contract_history_2023_06_01_onwards.csv,311541,contractingEntityAddressLine-ligneAdresseEntiteContractante-eng,empty_or_unknown,0.0,buyer_intelligence,9,"Buyer intelligence, department profiles, procurement behaviour.",
all_canadabuys_contract_history_2023_06_01_onwards.csv,C:\ProcurementIntelligence\data\raw\canadabuys_contract_history\all_canadabuys_contract_history_2023_06_01_onwards.csv,311541,contractingEntityAddressLine-ligneAdresseEntiteContractante-fra,empty_or_unknown,0.0,buyer_intelligence,9,"Buyer intelligence, department profiles, procurement behaviour.",
all_canadabuys_contract_history_2023_06_01_onwards.csv,C:\ProcurementIntelligence\data\raw\canadabuys_contract_history\all_canadabuys_contract_history_2023_06_01_onwards.csv,311541,contractingEntityAddressPostalCode-entiteContractanteAdresseCodePostal,empty_or_unknown,0.0,buyer_intelligence,9,"Buyer intelligence, department profiles, procurement behaviour.",
all_canadabuys_contract_history_2023_06_01_onwards.csv,C:\ProcurementIntelligence\data\raw\canadabuys_contract_history\all_canadabuys_contract_history_2023_06_01_onwards.csv,311541,contractingEntityAddressProvince-entiteContractanteAdresseProvince-eng,empty_or_unknown,0.0,buyer_intelligence,9,"Buyer intelligence, department profiles, procurement behaviour.",
all_canadabuys_contract_history_2023_06_01_onwards.csv,C:\ProcurementIntelligence\data\raw\canadabuys_contract_history\all_canadabuys_contract_history_2023_06_01_onwards.csv,311541,contractingEntityAddressProvince-entiteContractanteAdresseProvince-fra,empty_or_unknown,0.0,buyer_intelligence,9,"Buyer intelligence, department profiles, procurement behaviour.",
all_canadabuys_contract_history_2023_06_01_onwards.csv,C:\ProcurementIntelligence\data\raw\canadabuys_contract_history\all_canadabuys_contract_history_2023_06_01_onwards.csv,311541,contractingEntityName-nomEntitContractante-eng,text,100.0,buyer_intelligence,9,"Buyer intelligence, department profiles, procurement behaviour.",Public Works and Government Services Canada | Public Works and Government Services Canada | Public Works and Government Services Canada | Public Works and Government Services Canada | Public Works and Government Services Canada
all_canadabuys_contract_history_2023_06_01_onwards.csv,C:\ProcurementIntelligence\data\raw\canadabuys_contract_history\all_canadabuys_contract_history_2023_06_01_onwards.csv,311541,contractingEntityName-nomEntitContractante-fra,text,100.0,buyer_intelligence,9,"Buyer intelligence, department profiles, procurement behaviour.",Travaux publics et Services gouvernementaux Canada | Travaux publics et Services gouvernementaux Canada | Travaux publics et Services gouvernementaux Canada | Travaux publics et Services gouvernementaux Canada | Travaux publics et Services gouvernementaux Canada
all_canadabuys_tender_notices_2022_08_08_onwards.csv,C:\ProcurementIntelligence\data\raw\canadabuys_tender_notices\all_canadabuys_tender_notices_2022_08_08_onwards.csv,1357393,contractingEntityAddressCity-entiteContractanteAdresseVille-eng,text,95.0,buyer_intelligence,9,"Buyer intelligence, department profiles, procurement behaviour.",Ottawa | Montreal | Bedford | Bedford | Bedford
all_canadabuys_tender_notices_2022_08_08_onwards.csv,C:\ProcurementIntelligence\data\raw\canadabuys_tender_notices\all_canadabuys_tender_notices_2022_08_08_onwards.csv,1357393,contractingEntityAddressCity-entiteContractanteAdresseVille-fra,text,95.0,buyer_intelligence,9,"Buyer intelligence, department profiles, procurement behaviour.",Ottawa | Montreal | Bedford | Bedford | Bedford
all_canadabuys_tender_notices_2022_08_08_onwards.csv,C:\ProcurementIntelligence\data\raw\canadabuys_tender_notices\all_canadabuys_tender_notices_2022_08_08_onwards.csv,1357393,contractingEntityAddressCountry-entiteContractanteAdressePays-eng,text,95.0,buyer_intelligence,9,"Buyer intelligence, department profiles, procurement behaviour.",Canada | Canada | Canada | Canada | Canada
all_canadabuys_tender_notices_2022_08_08_onwards.csv,C:\ProcurementIntelligence\data\raw\canadabuys_tender_notices\all_canadabuys_tender_notices_2022_08_08_onwards.csv,1357393,contractingEntityAddressCountry-entiteContractanteAdressePays-fra,text,95.0,buyer_intelligence,9,"Buyer intelligence, department profiles, procurement behaviour.",Canada | Canada | Canada | Canada | Canada
all_canadabuys_tender_notices_2022_08_08_onwards.csv,C:\ProcurementIntelligence\data\raw\canadabuys_tender_notices\all_canadabuys_tender_notices_2022_08_08_onwards.csv,1357393,contractingEntityAddressLine-ligneAdresseEntiteContractante-eng,text,95.0,buyer_intelligence,9,"Buyer intelligence, department profiles, procurement behaviour.","150 Slater | 3 Place Ville-Marie, Suite 500 | 175 Western Parkway, Suite 100 | 175 Western Parkway, Suite 100 | 175 Western Parkway, Suite 100"
all_canadabuys_tender_notices_2022_08_08_onwards.csv,C:\ProcurementIntelligence\data\raw\canadabuys_tender_notices\all_canadabuys_tender_notices_2022_08_08_onwards.csv,1357393,contractingEntityAddressLine-ligneAdresseEntiteContractante-fra,text,95.0,buyer_intelligence,9,"Buyer intelligence, department profiles, procurement behaviour.","150 Slater | 3 Place Ville-Marie, Suite 500 | 175 Western Parkway, Suite 100 | 175 Western Parkway, Suite 100 | 175 Western Parkway, Suite 100"
all_canadabuys_tender_notices_2022_08_08_onwards.csv,C:\ProcurementIntelligence\data\raw\canadabuys_tender_notices\all_canadabuys_tender_notices_2022_08_08_onwards.csv,1357393,contractingEntityAddressPostalCode-entiteContractanteAdresseCodePostal,text,95.0,buyer_intelligence,9,"Buyer intelligence, department profiles, procurement behaviour.",K1A 1K3 | H3B 2C9 | B4B 0V1 | B4B 0V1 | B4B 0V1
all_canadabuys_tender_notices_2022_08_08_onwards.csv,C:\ProcurementIntelligence\data\raw\canadabuys_tender_notices\all_canadabuys_tender_notices_2022_08_08_onwards.csv,1357393,contractingEntityAddressProvince-entiteContractanteAdresseProvince-eng,text,95.0,buyer_intelligence,9,"Buyer intelligence, department profiles, procurement behaviour.",Ontario | Quebec | Nova Scotia | Nova Scotia | Nova Scotia
