evidence_id,opportunity_id,source_node_id,source_node_name,source_node_type,source_category,relationship_type,target_node_id,target_node_name,target_node_type,target_category,confidence,evidence_basis,created_at
OPPEV-000001,OPPINT-000001,KGNODE2-000003,Firm Fixed Price,Contract Type,Commercial,has_pricing_structure,KGNODE2-000013,Unit Price,Pricing Structure,Commercial,0.72,semantic_object_relationship_registry_v1,2026-06-30 11:19:16
OPPEV-000002,OPPINT-000001,KGNODE2-000003,Firm Fixed Price,Contract Type,Commercial,has_pricing_structure,KGNODE2-000029,Payment and Invoice,Pricing Structure,Commercial,0.72,semantic_object_relationship_registry_v1,2026-06-30 11:19:16
OPPEV-000003,OPPINT-000001,KGNODE2-000006,Award Basis,Evaluation Method,Evaluation,uses_evaluation_factor,KGNODE2-000014,Evaluation Factors,Evaluation Factor,Evaluation,0.72,semantic_object_relationship_registry_v1,2026-06-30 11:19:16
OPPEV-000004,OPPINT-000001,KGNODE2-000019,Proposal Volume,Proposal Structure,Proposal,requires_submission_instruction,KGNODE2-000001,Solicitation Amendment,Submission Instruction,Submission,0.72,semantic_object_relationship_registry_v1,2026-06-30 11:19:16
OPPEV-000005,OPPINT-000001,KGNODE2-000005,Performance Work Statement,Technical Requirement,Technical,requires_supplier_capability,KGNODE2-000016,Past Performance,Supplier Qualification,Supplier,0.72,semantic_object_relationship_registry_v1,2026-06-30 11:19:16
OPPEV-000006,OPPINT-000001,KGNODE2-000005,Performance Work Statement,Technical Requirement,Technical,requires_supplier_capability,KGNODE2-000021,Small Business Set-Aside,Supplier Qualification,Supplier,0.72,semantic_object_relationship_registry_v1,2026-06-30 11:19:16
OPPEV-000007,OPPINT-000001,KGNODE2-000025,Statement of Work,Technical Requirement,Technical,requires_supplier_capability,KGNODE2-000016,Past Performance,Supplier Qualification,Supplier,0.72,semantic_object_relationship_registry_v1,2026-06-30 11:19:16
OPPEV-000008,OPPINT-000001,KGNODE2-000025,Statement of Work,Technical Requirement,Technical,requires_supplier_capability,KGNODE2-000021,Small Business Set-Aside,Supplier Qualification,Supplier,0.72,semantic_object_relationship_registry_v1,2026-06-30 11:19:16
OPPEV-000009,OPPINT-000001,KGNODE2-000022,Place of Performance,Delivery Requirement,Delivery,affects_price,KGNODE2-000013,Unit Price,Pricing Structure,Commercial,0.72,semantic_object_relationship_registry_v1,2026-06-30 11:19:16
OPPEV-000010,OPPINT-000001,KGNODE2-000022,Place of Performance,Delivery Requirement,Delivery,affects_price,KGNODE2-000029,Payment and Invoice,Pricing Structure,Commercial,0.72,semantic_object_relationship_registry_v1,2026-06-30 11:19:16
OPPEV-000011,OPPINT-000001,KGNODE2-000004,Contracting Officer,Procurement Role,Acquisition,issues_or_receives,KGNODE2-000001,Solicitation Amendment,Submission Instruction,Submission,0.72,semantic_object_relationship_registry_v1,2026-06-30 11:19:16
OPPEV-000012,OPPINT-000001,KGNODE2-000012,Solicitation Number,Acquisition Metadata,Acquisition,shapes_source_selection,KGNODE2-000006,Award Basis,Evaluation Method,Evaluation,0.72,semantic_object_relationship_registry_v1,2026-06-30 11:19:16
OPPEV-000013,OPPINT-000001,KGNODE2-000017,Request for Information,Acquisition Metadata,Acquisition,shapes_source_selection,KGNODE2-000006,Award Basis,Evaluation Method,Evaluation,0.72,semantic_object_relationship_registry_v1,2026-06-30 11:19:16
OPPEV-000014,OPPINT-000001,KGNODE2-000020,Combined Synopsis Solicitation,Acquisition Metadata,Acquisition,shapes_source_selection,KGNODE2-000006,Award Basis,Evaluation Method,Evaluation,0.72,semantic_object_relationship_registry_v1,2026-06-30 11:19:16
OPPEV-000015,OPPINT-000001,KGNODE2-000023,Method of Solicitation,Acquisition Metadata,Acquisition,shapes_source_selection,KGNODE2-000006,Award Basis,Evaluation Method,Evaluation,0.72,semantic_object_relationship_registry_v1,2026-06-30 11:19:16
OPPEV-000016,OPPINT-000001,KGNODE2-000024,Request for Proposal,Acquisition Metadata,Acquisition,shapes_source_selection,KGNODE2-000006,Award Basis,Evaluation Method,Evaluation,0.72,semantic_object_relationship_registry_v1,2026-06-30 11:19:16
OPPEV-000017,OPPINT-000001,KGNODE2-000028,Request for Quotation,Acquisition Metadata,Acquisition,shapes_source_selection,KGNODE2-000006,Award Basis,Evaluation Method,Evaluation,0.72,semantic_object_relationship_registry_v1,2026-06-30 11:19:16
OPPEV-000018,OPPINT-000001,KGNODE2-000002,National Cemetery Operations,Domain Specific Requirement,Domain,specializes_requirement,KGNODE2-000005,Performance Work Statement,Technical Requirement,Technical,0.72,semantic_object_relationship_registry_v1,2026-06-30 11:19:16
OPPEV-000019,OPPINT-000001,KGNODE2-000002,National Cemetery Operations,Domain Specific Requirement,Domain,specializes_requirement,KGNODE2-000025,Statement of Work,Technical Requirement,Technical,0.72,semantic_object_relationship_registry_v1,2026-06-30 11:19:16
OPPEV-000020,OPPINT-000001,KGNODE2-000012,Solicitation Number,Acquisition Metadata,Acquisition,defines_submission_context,KGNODE2-000001,Solicitation Amendment,Submission Instruction,Submission,0.74,domain_inference,2026-06-30 11:19:16
OPPEV-000021,OPPINT-000001,KGNODE2-000017,Request for Information,Acquisition Metadata,Acquisition,defines_submission_context,KGNODE2-000001,Solicitation Amendment,Submission Instruction,Submission,0.74,domain_inference,2026-06-30 11:19:16
OPPEV-000022,OPPINT-000001,KGNODE2-000020,Combined Synopsis Solicitation,Acquisition Metadata,Acquisition,defines_submission_context,KGNODE2-000001,Solicitation Amendment,Submission Instruction,Submission,0.74,domain_inference,2026-06-30 11:19:16
