dataset_folder,file_name,row_count,date_field,non_empty_values,valid_dates,earliest_date,latest_date
canadabuys_award_notices,all_canadabuys_award_notices_2022_08_08_onwards.csv,25885,publicationDate-datePublication,25885,25885,2022-08-08,2026-06-16
canadabuys_award_notices,all_canadabuys_award_notices_2022_08_08_onwards.csv,25885,contractAwardDate-dateAttributionContrat,25885,25885,1996-02-15,2040-12-31
canadabuys_award_notices,all_canadabuys_award_notices_2022_08_08_onwards.csv,25885,amendmentDate-dateModification,11254,11254,2019-08-13,2027-03-17
canadabuys_award_notices,all_canadabuys_award_notices_2022_08_08_onwards.csv,25885,contractStartDate-contratDateDebut,22744,22744,2002-05-02,2029-07-31
canadabuys_award_notices,all_canadabuys_award_notices_2022_08_08_onwards.csv,25885,contractEndDate-dateFinContrat,22744,22744,2019-08-31,2999-01-01
canadabuys_award_notices,legacy_award_notices_2012_to_2022_08_prior_to_canadabuys.csv,106416,publicationDate-datePublication,106416,106416,2012-02-03,2022-08-05
canadabuys_award_notices,legacy_award_notices_2012_to_2022_08_prior_to_canadabuys.csv,106416,contractAwardDate-dateAttributionContrat,106416,106416,1998-02-06,2026-02-06
canadabuys_award_notices,legacy_award_notices_2012_to_2022_08_prior_to_canadabuys.csv,106416,amendmentDate-dateModification,4925,4925,2013-09-12,2026-06-30
canadabuys_award_notices,legacy_award_notices_2012_to_2022_08_prior_to_canadabuys.csv,106416,contractStartDate-contratDateDebut,5616,5616,2000-07-31,2026-03-30
canadabuys_award_notices,legacy_award_notices_2012_to_2022_08_prior_to_canadabuys.csv,106416,contractEndDate-dateFinContrat,5616,5616,2017-06-30,3103-01-05
canadabuys_contract_history,all_canadabuys_contract_history_2023_06_01_onwards.csv,20221,publicationDate-datePublication,20215,20215,2022-12-02,2026-06-16
canadabuys_contract_history,all_canadabuys_contract_history_2023_06_01_onwards.csv,20221,contractAwardDate-dateAttributionContrat,19916,19916,2023-06-01,2026-06-15
canadabuys_contract_history,all_canadabuys_contract_history_2023_06_01_onwards.csv,20221,amendmentDate-dateModification,9576,9576,2022-12-14,2027-02-03
canadabuys_contract_history,all_canadabuys_contract_history_2023_06_01_onwards.csv,20221,contractStartDate-contratDateDebut,18456,18456,2005-10-24,2029-07-31
canadabuys_contract_history,all_canadabuys_contract_history_2023_06_01_onwards.csv,20221,contractEndDate-dateFinContrat,20221,20221,2006-12-31,3000-12-31
canadabuys_contract_history,legacy_contract_history_2009_01_to_2023_05_prior_to_canadabuys.csv,484981,publicationDate-datePublication,40424,40424,2021-03-23,2026-05-28
canadabuys_contract_history,legacy_contract_history_2009_01_to_2023_05_prior_to_canadabuys.csv,484981,contractAwardDate-dateAttributionContrat,415941,415941,2009-01-01,2023-05-31
canadabuys_contract_history,legacy_contract_history_2009_01_to_2023_05_prior_to_canadabuys.csv,484981,amendmentDate-dateModification,302030,302030,2009-01-01,2027-03-17
canadabuys_contract_history,legacy_contract_history_2009_01_to_2023_05_prior_to_canadabuys.csv,484981,contractStartDate-contratDateDebut,17226,17226,2009-01-06,2028-07-04
canadabuys_contract_history,legacy_contract_history_2009_01_to_2023_05_prior_to_canadabuys.csv,484981,contractEndDate-dateFinContrat,484981,484981,1959-01-01,9999-09-09
canadabuys_tender_notices,all_canadabuys_tender_notices_2022_08_08_onwards.csv,28048,publicationDate-datePublication,28048,28048,2022-08-08,2026-06-16
canadabuys_tender_notices,all_canadabuys_tender_notices_2022_08_08_onwards.csv,28048,amendmentDate-dateModification,25912,25912,2022-08-08,2026-06-15
canadabuys_tender_notices,all_canadabuys_tender_notices_2022_08_08_onwards.csv,28048,tenderClosingDate-appelOffresDateCloture,28048,28048,2020-12-23,2100-12-31
canadabuys_tender_notices,all_canadabuys_tender_notices_2022_08_08_onwards.csv,28048,expectedContractStartDate-dateDebutContratPrevue,15056,15056,2013-11-28,2100-01-01
canadabuys_tender_notices,all_canadabuys_tender_notices_2022_08_08_onwards.csv,28048,expectedContractEndDate-dateFinContratPrevue,13847,13847,2022-05-25,2126-07-31
canadabuys_tender_notices,archived_2009_2022_legacy_tender_notices.csv,71309,publicationDate-datePublication,71309,71309,2010-03-16,2022-08-05
canadabuys_tender_notices,archived_2009_2022_legacy_tender_notices.csv,71309,amendmentDate-dateModification,45417,45417,2013-04-22,2025-11-27
canadabuys_tender_notices,archived_2009_2022_legacy_tender_notices.csv,71309,tenderClosingDate-appelOffresDateCloture,71307,71307,2012-01-10,2129-12-04
canadabuys_tender_notices,archived_2009_2022_legacy_tender_notices.csv,71309,expectedContractStartDate-dateDebutContratPrevue,509,509,2020-09-01,2025-09-30
canadabuys_tender_notices,archived_2009_2022_legacy_tender_notices.csv,71309,expectedContractEndDate-dateFinContratPrevue,559,559,2021-08-09,2045-12-31
