file_name,file_path,file_size_bytes,detected_file_type
5f4071db397f4714a047d288a033de87_1.bin,C:\ProcurementIntelligence\data\raw\sam_gov_opportunities\documents_sample\5f4071db397f4714a047d288a033de87_1.bin,26302,docx
6b408e7c185a4f70a8ed51e4fb0b3c2b_1.bin,C:\ProcurementIntelligence\data\raw\sam_gov_opportunities\documents_sample\6b408e7c185a4f70a8ed51e4fb0b3c2b_1.bin,14767,docx
441459c8d2a34c49a903966dc6678ca5_1.bin,C:\ProcurementIntelligence\data\raw\sam_gov_opportunities\documents_sample\441459c8d2a34c49a903966dc6678ca5_1.bin,284850,pdf
441459c8d2a34c49a903966dc6678ca5_2.bin,C:\ProcurementIntelligence\data\raw\sam_gov_opportunities\documents_sample\441459c8d2a34c49a903966dc6678ca5_2.bin,274863,pdf
441459c8d2a34c49a903966dc6678ca5_4.bin,C:\ProcurementIntelligence\data\raw\sam_gov_opportunities\documents_sample\441459c8d2a34c49a903966dc6678ca5_4.bin,12238,pdf
441459c8d2a34c49a903966dc6678ca5_5.bin,C:\ProcurementIntelligence\data\raw\sam_gov_opportunities\documents_sample\441459c8d2a34c49a903966dc6678ca5_5.bin,34289,pdf
6934753cfbdf45f1b93928b67e93355a_1.bin,C:\ProcurementIntelligence\data\raw\sam_gov_opportunities\documents_sample\6934753cfbdf45f1b93928b67e93355a_1.bin,567009,pdf
71ca1faee86e4a5e9cbbaf154af5bd47_1.bin,C:\ProcurementIntelligence\data\raw\sam_gov_opportunities\documents_sample\71ca1faee86e4a5e9cbbaf154af5bd47_1.bin,504747,pdf
b9d0ecdbad264ff4a301649e05fdf09f_1.bin,C:\ProcurementIntelligence\data\raw\sam_gov_opportunities\documents_sample\b9d0ecdbad264ff4a301649e05fdf09f_1.bin,344183,pdf
b9d0ecdbad264ff4a301649e05fdf09f_2.bin,C:\ProcurementIntelligence\data\raw\sam_gov_opportunities\documents_sample\b9d0ecdbad264ff4a301649e05fdf09f_2.bin,188791,pdf
b9d0ecdbad264ff4a301649e05fdf09f_3.bin,C:\ProcurementIntelligence\data\raw\sam_gov_opportunities\documents_sample\b9d0ecdbad264ff4a301649e05fdf09f_3.bin,181351,pdf
b9d0ecdbad264ff4a301649e05fdf09f_4.bin,C:\ProcurementIntelligence\data\raw\sam_gov_opportunities\documents_sample\b9d0ecdbad264ff4a301649e05fdf09f_4.bin,343867,pdf
b9d0ecdbad264ff4a301649e05fdf09f_5.bin,C:\ProcurementIntelligence\data\raw\sam_gov_opportunities\documents_sample\b9d0ecdbad264ff4a301649e05fdf09f_5.bin,177648,pdf
dc7183e7aab342788a9dff786e444f8a_1.bin,C:\ProcurementIntelligence\data\raw\sam_gov_opportunities\documents_sample\dc7183e7aab342788a9dff786e444f8a_1.bin,1577492,pdf
dc7183e7aab342788a9dff786e444f8a_2.bin,C:\ProcurementIntelligence\data\raw\sam_gov_opportunities\documents_sample\dc7183e7aab342788a9dff786e444f8a_2.bin,128447,pdf
dc7183e7aab342788a9dff786e444f8a_4.bin,C:\ProcurementIntelligence\data\raw\sam_gov_opportunities\documents_sample\dc7183e7aab342788a9dff786e444f8a_4.bin,3581715,pdf
dc7183e7aab342788a9dff786e444f8a_5.bin,C:\ProcurementIntelligence\data\raw\sam_gov_opportunities\documents_sample\dc7183e7aab342788a9dff786e444f8a_5.bin,154050,pdf
dc7183e7aab342788a9dff786e444f8a_6.bin,C:\ProcurementIntelligence\data\raw\sam_gov_opportunities\documents_sample\dc7183e7aab342788a9dff786e444f8a_6.bin,4023590,pdf
441459c8d2a34c49a903966dc6678ca5_3.bin,C:\ProcurementIntelligence\data\raw\sam_gov_opportunities\documents_sample\441459c8d2a34c49a903966dc6678ca5_3.bin,15384,xlsx
dc7183e7aab342788a9dff786e444f8a_3.bin,C:\ProcurementIntelligence\data\raw\sam_gov_opportunities\documents_sample\dc7183e7aab342788a9dff786e444f8a_3.bin,25440,xlsx
