issue_type,contract_number,supplier,value
zero_value,W8486-21XA32/001/BK,Hfi Pyrotechnics,0.0
zero_value,E60QD-250036/001/QD,Rmus,0.0
zero_value,M7594-234222/001/BM,Colt,0.0
zero_value,F7047-230003/001/ERD,Protek Industries,0.0
zero_value,F7047-230001/001/ERD,Keystone Supplies,0.0
zero_value,W8482-229876/001/QT,Rheinmetall,0.0
zero_value,F7047-231212/001/ERD,Go Deep International,0.0
zero_value,M7594-242010/001/QD,Competition Composites,0.0
zero_value,FP859-221035/001/QF,British Divers Marine Life Rescue,0.0
zero_value,F7047-231214/001/ERD,Felix Technology,0.0
zero_value,F7047-231214/002/ERD,Spx Aids To Navigation,0.0
zero_value,W8476-226536/002/QD,Thales Land And Joint Systems Optronics Business Unit,0.0
zero_value,E60QD-233104/001/QD,Motorola Solutions,0.0
zero_value,E60QD-244292/001/QD,Motorola Solutions,0.0
zero_value,EP921-230630/001/FK,Annis Osullivan Vollebekk,0.0
zero_value,E60QD-259830/001/QD,L3Harris Technologies,0.0
zero_value,F7047-220060/001/ERD,Coast Containers,0.0
zero_value,F7047-220060/002/ERD,Felix Technology,0.0
zero_value,CW2412105,Iconic Enterprises,0.0
zero_value,CW2449113,Plant Products Biobest,0.0
zero_value,CW2353158,2086370 Ontario,0.0
zero_value,CW2353163,Team Jp Contracting,0.0
zero_value,CW2353166,Ainger Group,0.0
zero_value,CW2354186,Livingstone Landscaping,0.0
zero_value,CW2328535,Veseris,0.0
zero_value,CW2340832,1469210 Ab Ldt,0.0
zero_value,CW2324691,Apple Ridge Lumber,0.0
zero_value,CW2324697,Fiready,0.0
zero_value,CW2383725,Lefebvre And Benoit,0.0
zero_value,CW2398468,Lefebvre And Benoit,0.0
zero_value,CW2398470,Materiaux Bomat,0.0
zero_value,CW2409925,Canac Marquis Grenier,0.0
zero_value,CW2409933,Lefebvre And Benoit,0.0
zero_value,CW2428690,Canac Marquis Grenier,0.0
zero_value,CW2366352,Materiaux Bomat,0.0
zero_value,CW2366355,Lefebvre And Benoit,0.0
zero_value,CW2352499,Materiaux Bomat,0.0
zero_value,CW2352501,Lefebvre And Benoit,0.0
zero_value,CW2369297,Goodfellow,0.0
zero_value,CW2383728,Canac Marquis Grenier,0.0
zero_value,CW2357624,Goodfellow,0.0
zero_value,CW2355743,Ennadai Woodworks,0.0
zero_value,CW2411316,Woodsource,0.0
zero_value,CW2449872,B And S Trucking,0.0
zero_value,CW2450616,Fiready,0.0
zero_value,CW2350785,Triden Distributors,0.0
zero_value,CW2450151,Fine Cotton Factory,0.0
