contract_number,reference_number,supplier_name_master,buyer_department_master,clean_contract_value,value_quality_issue,quality_score,quality_tier,title
F7017-251202/001/NQ,F7017-251202/001/NQ,CHANTIER DAVIE CANADA,Fisheries and Oceans Canada,3741746400.0,large_over_1b_valid_but_review,85,silver,CHANTIER DAVIE CANADA INC (F7017-251202/001/NQ ~000)
F7013-220451/001/NQ,F7013-220451/001/NQ,VANCOUVER SHIPYARDS,Fisheries and Oceans Canada,1077025778.16,large_over_1b_valid_but_review,85,silver,VANCOUVER SHIPYARDS CO LTD (F7013-220451/001/NQ~000)
W8486-21XA32/001/BK,W8486-21XA32/001/BK,Hfi Pyrotechnics,Department of National Defence,0.0,zero_or_missing_value,40,review,HFI PYROTECHNICS INC (W8486-21XA32/001/BK~000)
W847A-190247/001/RPS,W847A-190247/001/RPS,General Atomics Aeronautical Systems,Department of National Defence,1803148326.97,large_over_1b_valid_but_review,85,silver,"GENERAL ATOMICS AERONAUTICAL SYSTEMS, INC (W847A-190247/001/RPS~000)"
E60QD-250036/001/QD,E60QD-250036/001/QD,Rmus,Public Services and Procurement Canada,0.0,zero_or_missing_value,40,review,RMUS CANADA (E60QD-250036/001/QD~000)
M7594-234222/001/BM,M7594-234222/001/BM,Colt,Royal Canadian Mounted Police,0.0,zero_or_missing_value,40,review,COLT CANADA (M7594-234222/001/BM~000)
F7047-230003/001/ERD,F7047-230003/001/ERD,Protek Industries,Fisheries and Oceans Canada,0.0,zero_or_missing_value,40,review,PROTEK INDUSTRIES LTD (F7047-230003/001/ERD~000)
F7047-230001/001/ERD,F7047-230001/001/ERD,Keystone Supplies,Fisheries and Oceans Canada,0.0,zero_or_missing_value,40,review,KEYSTONE SUPPLIES CO CANADA LTD (F7047-230001/001/ERD~000)
W8482-229876/001/QT,W8482-229876/001/QT,Rheinmetall,Department of National Defence,0.0,zero_or_missing_value,40,review,RHEINMETALL CANADA INC (W8482-229876/001/QT~000)
F7047-231212/001/ERD,F7047-231212/001/ERD,Go Deep International,Fisheries and Oceans Canada,0.0,zero_or_missing_value,40,review,GO DEEP INTERNATIONAL INC (F7047-231212/001/ERD~000)
M7594-242010/001/QD,M7594-242010/001/QD,Competition Composites,Royal Canadian Mounted Police,0.0,zero_or_missing_value,40,review,COMPETITION COMPOSITES INC (M7594-242010/001/QD~000)
FP859-221035/001/QF,FP859-221035/001/QF,British Divers Marine Life Rescue,Fisheries and Oceans Canada,0.0,zero_or_missing_value,40,review,BRITISH DIVERS MARINE LIFE RESCUE (FP859-221035/001/QF~000)
F7047-231214/001/ERD,F7047-231214/001/ERD,Felix Technology,Fisheries and Oceans Canada,0.0,zero_or_missing_value,40,review,FELIX TECHNOLOGY INC (F7047-231214/001/ERD~000)
F7047-231214/002/ERD,F7047-231214/002/ERD,Spx Aids To Navigation,Fisheries and Oceans Canada,0.0,zero_or_missing_value,40,review,"SPX AIDS TO NAVIGATION, LLC (F7047-231214/002/ERD~000)"
W8476-226536/002/QD,W8476-226536/002/QD,Thales Land And Joint Systems Optronics Business Unit,Department of National Defence,0.0,zero_or_missing_value,40,review,"THALES CANADA, LAND & JOINT SYSTEMS, OPTRONICS BUSINESS UNIT (W8476-226536/002/QD~000)"
E60QD-233104/001/QD,E60QD-233104/001/QD,Motorola Solutions,Public Services and Procurement Canada,0.0,zero_or_missing_value,40,review,MOTOROLA SOLUTIONS CANADA INC (E60QD-233104/001/QD~000)
E60QD-244292/001/QD,E60QD-244292/001/QD,Motorola Solutions,Public Services and Procurement Canada,0.0,zero_or_missing_value,40,review,MOTOROLA SOLUTIONS CANADA INC (E60QD-244292/001/QD~000)
EP921-230630/001/FK,EP921-230630/001/FK,Annis Osullivan Vollebekk,Public Services and Procurement Canada,0.0,zero_or_missing_value,40,review,"ANNIS, OSULLIVAN, VOLLEBEKK LTD (EP921-230630/001/FK~000)"
E60QD-259830/001/QD,E60QD-259830/001/QD,L3Harris Technologies,Public Services and Procurement Canada,0.0,zero_or_missing_value,40,review,"L3HARRIS TECHNOLOGIES, INC (E60QD-259830/001/QD ~000)"
F7047-220060/001/ERD,F7047-220060/001/ERD,Coast Containers,Fisheries and Oceans Canada,0.0,zero_or_missing_value,40,review,COAST CONTAINERS LTD (F7047-220060/001/ERD~000)
F7047-220060/002/ERD,F7047-220060/002/ERD,Felix Technology,Fisheries and Oceans Canada,0.0,zero_or_missing_value,40,review,FELIX TECHNOLOGY INC (F7047-220060/002/ERD~000)
CW2412105,CW2412105,Iconic Enterprises,Department of National Defence,0.0,zero_or_missing_value,40,review,W690D-250235 Vegetation Control RISO
CW2449113,CW2449113,Plant Products Biobest,Agriculture and Agri-Food Canada,0.0,zero_or_missing_value,40,review,01R11-260756 - Biological Insect Pest Control
CW2353158,CW2353158,2086370 Ontario,Public Services and Procurement Canada,0.0,zero_or_missing_value,40,review,W3713-24KN01 Responsive Maintenance Services - CFHA - Kingston
CW2353163,CW2353163,Team Jp Contracting,Public Services and Procurement Canada,0.0,zero_or_missing_value,40,review,W3713-24KN01 Responsive Maintenance Services - CFHA - Kingston
CW2353166,CW2353166,Ainger Group,Public Services and Procurement Canada,0.0,zero_or_missing_value,40,review,W3713-24KN01 Responsive Maintenance Services - CFHA - Kingston
CW2354186,CW2354186,Livingstone Landscaping,Department of National Defence,0.0,zero_or_missing_value,40,review,W3721-24-SL04 - Responsive Maintenance Services - CFHA - Shilo
CW2328535,CW2328535,Veseris,Parks Canada Agency (PC),0.0,zero_or_missing_value,40,review,5P315-230048 Herbicide
CW2340832,CW2340832,1469210 Ab Ldt,Parks Canada Agency (PC),0.0,zero_or_missing_value,40,review,5P423-230126 (RISO) - Firewood
CW2324691,CW2324691,Apple Ridge Lumber,Parks Canada Agency (PC),0.0,zero_or_missing_value,40,review,5P132-220171 RISO Firewood - Fundy National Park
CW2324697,CW2324697,Fiready,Parks Canada Agency (PC),0.0,zero_or_missing_value,40,review,5P132-220171 RISO Firewood - Fundy National Park
CW2383725,CW2383725,Lefebvre And Benoit,Public Services and Procurement Canada,0.0,zero_or_missing_value,40,review,E6QUE-240001 - RMSO - Wood and Construction Materials
CW2398468,CW2398468,Lefebvre And Benoit,Public Services and Procurement Canada,0.0,zero_or_missing_value,40,review,E6QUE-250001 - Standing offer for wood and construction materials
CW2398470,CW2398470,Materiaux Bomat,Public Services and Procurement Canada,0.0,zero_or_missing_value,40,review,E6QUE-250001 - Standing offer for wood and construction materials
CW2409925,CW2409925,Canac Marquis Grenier,Public Services and Procurement Canada,0.0,zero_or_missing_value,40,review,E6QUE-250001 - Standing offer for wood and construction materials
CW2409933,CW2409933,Lefebvre And Benoit,Public Services and Procurement Canada,0.0,zero_or_missing_value,40,review,E6QUE-250001 - Standing offer for wood and construction materials
CW2428690,CW2428690,Canac Marquis Grenier,Public Services and Procurement Canada,0.0,zero_or_missing_value,40,review,E6QUE-250001 - Standing offer for wood and construction materials
CW2366352,CW2366352,Materiaux Bomat,Public Services and Procurement Canada,0.0,zero_or_missing_value,40,review,E6QUE-240001 - RMSO - Wood and Construction Materials
CW2366355,CW2366355,Lefebvre And Benoit,Public Services and Procurement Canada,0.0,zero_or_missing_value,40,review,E6QUE-240001 - RMSO - Wood and Construction Materials
CW2352499,CW2352499,Materiaux Bomat,Public Services and Procurement Canada,0.0,zero_or_missing_value,40,review,E6QUE-240001 - RMSO - Wood and Construction Materials
CW2352501,CW2352501,Lefebvre And Benoit,Public Services and Procurement Canada,0.0,zero_or_missing_value,40,review,E6QUE-240001 - RMSO - Wood and Construction Materials
CW2369297,CW2369297,Goodfellow,Fisheries and Oceans Canada,0.0,zero_or_missing_value,40,review,F2563-240007 Lumber for Helicopter Pads
CW2383728,CW2383728,Canac Marquis Grenier,Public Services and Procurement Canada,0.0,zero_or_missing_value,40,review,E6QUE-240001 - RMSO - Wood and Construction Materials
CW2357624,CW2357624,Goodfellow,Parks Canada Agency (PC),0.0,zero_or_missing_value,40,review,5P315-240331 Douglas Fir Timber
CW2355743,CW2355743,Ennadai Woodworks,Parks Canada Agency (PC),0.0,zero_or_missing_value,40,review,5P315-240331 Douglas Fir Timber
CW2411316,CW2411316,Woodsource,Parks Canada Agency (PC),0.0,zero_or_missing_value,40,review,5P315-240331 Douglas Fir Timber
CW2449872,CW2449872,B And S Trucking,Parks Canada Agency (PC),0.0,zero_or_missing_value,40,review,5P114-250241 N.L Firewood
CW2450616,CW2450616,Fiready,Parks Canada Agency (PC),0.0,zero_or_missing_value,40,review,5P119-250293 P.E.I Firewood
CW2350785,CW2350785,Triden Distributors,Correctional Service of Canada,0.0,zero_or_missing_value,40,review,21C11-241356 Vinyl
CW2450151,CW2450151,Fine Cotton Factory,Correctional Service of Canada,0.0,zero_or_missing_value,40,review,SO - 21C31-255912 - Fleece Fabric
CW2353429,CW2353429,Cox S Bazar Trading,Correctional Service of Canada,0.0,zero_or_missing_value,40,review,21C31-233959 Tibular knit fabric and Neck Band (Collar)
CW2358219,CW2358219,Ctl Leather,Correctional Service of Canada,0.0,zero_or_missing_value,40,review,21C11-246091 Leather
CW2305637,CW2305637,Flex Knit,CORCAN,0.0,zero_or_missing_value,40,review,21C81-230341 Flame Resistant Polyester Fleece
CW2417923,CW2417923,Flex Knit,Correctional Service of Canada,0.0,zero_or_missing_value,40,review,"21C11-250126-Rib, knit and lycra fabric"
